parallelism,metric,h0,dnn,ratio,evidence
TP,Total calls WAPE,0.1333636837345788,0.0781430750891944,0.5859396868844385,Phase34D six-model fresh-blind
TP,Total bytes WAPE,0.034879392300309,1.1852422302521968e-16,3.3981160567459097e-15,Phase34D six-model fresh-blind
TP,Histogram TV,0.2021365087760149,0.1902518281483277,0.941204680442678,Phase34D six-model fresh-blind
TP,Payload EMD,0.0212559573207765,0.0200648525519287,0.9439637203409528,Phase34D six-model fresh-blind
PP,Total calls WAPE,0.1001876755551507,0.0452819607697958,0.45197136792408427,Phase34D six-model fresh-blind
PP,Total bytes WAPE,0.034879392300309,1.4179063030711234e-16,4.065169171707622e-15,Phase34D six-model fresh-blind
PP,Histogram TV,0.2334072572342334,0.1287044674517616,0.551415877024773,Phase34D six-model fresh-blind
PP,Payload EMD,0.0342372268742315,0.0171027429511469,0.4995364552734616,Phase34D six-model fresh-blind
PD,Total calls WAPE,0.0118206962360079,0.0096260781473809,0.8143410468545998,Phase50 six-model fresh-blind
PD,Total bytes WAPE,0.0219385786309688,0.0217635434849568,0.992021582211123,Phase50 six-model fresh-blind
PD,Histogram TV,0.1320830275347862,0.1163406494170924,0.8808145269569341,Phase50 six-model fresh-blind
PD,Payload EMD,0.0144278053532943,0.0132020781922989,0.9150441019281197,Phase50 six-model fresh-blind
