phase,curve_id,knots,placement_variance_knots,runtime_variance_knots
Phase39,phase39_tp2_l1_physical,27,0,10
Phase39,phase39_tp2_l2_physical,27,0,15
Phase39,phase39_tp2_l3_physical,27,2,13
Phase39,phase39_tp4_l1_physical,27,0,16
Phase39,phase39_tp4_l2_physical,27,7,18
Phase39,phase39_tp4_l3_physical,27,1,21
Phase39,phase39_tp8_l1_physical,27,0,1
Phase39,phase39_tp8_l2_physical,27,2,15
Phase39,phase39_tp8_l3_physical,27,1,15
Phase39,phase39_pp_l1_physical,27,0,0
Phase39,phase39_pp_l2_physical,27,2,13
Phase39,phase39_pp_l3_physical,27,1,12
Phase51,deepseek-v2-lite__l1,12,0,0
Phase51,deepseek-v2-lite__l2,12,0,0
Phase51,deepseek-v2-lite__l3,12,0,0
Phase51,llama-3.2-3b-instruct__l1,24,5,6
Phase51,llama-3.2-3b-instruct__l2,24,0,3
Phase51,llama-3.2-3b-instruct__l3,24,0,0
Phase51,mixtral-8x7b-instruct-v0.1__l1,24,0,5
Phase51,mixtral-8x7b-instruct-v0.1__l2,24,0,0
Phase51,mixtral-8x7b-instruct-v0.1__l3,24,0,0
Phase51,qwen2.5-14b-instruct__l1,24,0,15
Phase51,qwen2.5-14b-instruct__l2,24,0,0
Phase51,qwen2.5-14b-instruct__l3,24,0,0
Phase51,qwen3-30b-a3b__l1,24,0,6
Phase51,qwen3-30b-a3b__l2,24,0,0
Phase51,qwen3-30b-a3b__l3,24,0,0
Phase51,qwen3-8b__l1,24,0,0
Phase51,qwen3-8b__l2,24,0,0
Phase51,qwen3-8b__l3,24,0,16
