parallelism,group,position,label,selection_field,eligibility_rule,target_quantile,profile_id,segment,configuration,hfull_center_bin,hfull_width_bins,hfull_normalized_entropy,hfull_nonzero_call_bins,hfull_total_calls_per_1000,hfull_total_logical_bytes_per_1000,selection_uses_prediction_error
TP,message_scale,1,small,center,Hfull normalized entropy >= 0.25,0.0,phase34_burstgpt_2_blind_confirmation_04,burstgpt_2,TP4 / balanced,0.7042066909572706,1.1011837671243099,0.42197629308979784,6,708639.8713826366,146410084424.43732,False
TP,message_scale,2,medium,center,Hfull normalized entropy >= 0.25,0.5,phase34_burstgpt_2_blind_confirmation_02,burstgpt_2,TP4 / balanced,1.192179700499168,1.1901587895794499,0.46080413714921753,6,713382.1138211383,282278137756.09753,False
TP,message_scale,3,large,center,Hfull normalized entropy >= 0.25,1.0,phase34_burstgpt_3_blind_confirmation_03,burstgpt_3,TP4 / balanced,1.7015624999999999,0.7925418339707692,0.2812731530390079,5,1297777.7777777775,497266915555.55554,False
TP,distribution_width,1,dispersed,width,all Hfull profiles,0.9,phase34_burstgpt_2_blind_confirmation_02,burstgpt_2,TP4 / balanced,1.192179700499168,1.1901587895794499,0.46080413714921753,6,713382.1138211383,282278137756.09753,False
TP,distribution_width,2,moderate,width,all Hfull profiles,0.5,phase34_burstgpt_3_blind_confirmation_03,burstgpt_3,TP4 / balanced,1.7015624999999999,0.7925418339707692,0.2812731530390079,5,1297777.7777777775,497266915555.55554,False
TP,distribution_width,3,concentrated,width,all Hfull profiles,0.1,phase34_burstgpt_1_blind_confirmation_01,burstgpt_1,TP4 / balanced,1.9880208333333333,0.664863895519957,0.11695345412408674,4,1229473.6842105265,614576846596.4912,False
PP,message_scale,1,small,center,Hfull normalized entropy >= 0.16,0.0,phase34_burstgpt_3_blind_confirmation_03,burstgpt_3,PP4 / mb4,0.9712153518123667,0.7184907886153374,0.1938405285195893,7,52111.11111111111,13623751111.11111,False
PP,message_scale,2,medium,center,Hfull normalized entropy >= 0.16,0.5,phase34_burstgpt_1_blind_confirmation_04,burstgpt_1,PP4 / mb4,1.1414860168790333,0.960069004322675,0.16209835210950735,6,62947.916666666664,42714197333.33333,False
PP,message_scale,3,large,center,Hfull normalized entropy >= 0.16,1.0,phase34_burstgpt_2_blind_confirmation_01,burstgpt_2,PP4 / mb4,1.884803921568625,1.6610655697772625,0.2839367916631687,6,7515.7894736842045,4192568589.473685,False
PP,distribution_width,1,dispersed,width,all Hfull profiles,0.9,phase34_burstgpt_1_blind_confirmation_03,burstgpt_1,PP4 / mb4,1.3648167539267018,1.2945709604561968,0.23681665791305417,8,18948.4126984127,13890316190.476189,False
PP,distribution_width,2,moderate,width,all Hfull profiles,0.5,phase34_burstgpt_1_blind_confirmation_04,burstgpt_1,PP4 / mb4,1.1414860168790333,0.960069004322675,0.16209835210950735,6,62947.916666666664,42714197333.33333,False
PP,distribution_width,3,concentrated,width,all Hfull profiles,0.1,phase34_burstgpt_2_blind_confirmation_03,burstgpt_2,PP4 / mb4,1.1163515883843305,0.7145150033884181,0.0807576652862889,5,59317.919075144506,11163375722.543352,False
PD,message_scale,1,small,center,Hfull normalized entropy >= 0.25,0.0,phase49_burstgpt_2_fresh_blind_067,burstgpt_2,P1→D1,6.17117117117117,0.6241949607925451,0.2742712428377731,8,1032.558139534888,24800384595.348835,False
PD,message_scale,2,medium,center,Hfull normalized entropy >= 0.25,0.5,phase49_burstgpt_3_fresh_blind_011,burstgpt_3,P1→D1,7.401263823064771,0.708868431589518,0.3940336450831817,6,1161.4678899082598,101908059126.60553,False
PD,message_scale,3,large,center,Hfull normalized entropy >= 0.25,1.0,phase49_burstgpt_3_fresh_blind_041,burstgpt_3,P1→D1,8.485714285714286,0.8407965125464092,0.38384636415856443,5,1981.1320754716983,595691635924.5283,False
PD,distribution_width,1,dispersed,width,all Hfull profiles,0.9,phase49_burstgpt_1_fresh_blind_011,burstgpt_1,P1→D1,8.175862068965516,0.9649567338572279,0.47314978479949843,6,1450.0,277479014400.0,False
PD,distribution_width,2,moderate,width,all Hfull profiles,0.5,phase49_burstgpt_3_fresh_blind_074,burstgpt_3,P1→D1,6.782208588957054,0.6352063811665432,0.37458641213243854,5,1044.871794871796,33509848615.38461,False
PD,distribution_width,3,concentrated,width,all Hfull profiles,0.1,phase49_burstgpt_2_fresh_blind_016,burstgpt_2,P1→D1,6.948019801980197,0.3785996077311991,0.1426977944499431,6,1049.3506493506522,36384480748.051926,False
