repeat_id,payload_bytes_per_call,group_level_calls,kernel_time_total_us,kernel_time_median_us,kernel_time_p95_us,kernel_time_p99_us,kernel_time_max_us
0,8388608,73,1537.655,21.024,21.2732,23.46424,23.488
1,8388608,73,4848.783,23.584,297.1115999999993,439.69820000000016,532.157
2,8388608,73,1717.625,23.519,23.84,24.302080000000004,25.408
3,8388608,73,1717.172,23.487,23.936,24.50176,25.792
4,8388608,73,1539.993,20.992,22.073599999999985,23.58784,23.68
5,8388608,73,1717.147,23.488,23.8208,24.446720000000003,25.76
6,8388608,73,1716.8229999999999,23.52,23.904,24.404480000000003,25.28
7,8388608,73,1715.8319999999999,23.488,23.8528,24.524800000000003,25.792
8,8388608,73,1718.869,23.52,23.936,24.38528,25.376
9,8388608,73,1715.164,23.488,23.8528,24.48128,25.472
