model,batch_size,input_len,left_chunk_size,right_chunk_size,left_calls,right_calls,total_payload_bytes,relative_total_payload_gap,calls_ratio,histogram_tv,left_histogram_json,right_histogram_json
deepseek-v2-lite,1,2047,1024,2048,110,55,461148160,0.0,2.0,1.0,"{""4190208"":55,""4194304"":55}","{""8384512"":55}"
deepseek-v2-lite,1,2048,1024,2048,110,55,461373440,0.0,2.0,1.0,"{""4194304"":110}","{""8388608"":55}"
deepseek-v2-lite,1,2049,1024,2048,165,110,461598720,0.0,1.5,0.6666666666666666,"{""4096"":55,""4194304"":110}","{""4096"":55,""8388608"":55}"
deepseek-v2-lite,1,4095,2048,4096,110,55,922521600,0.0,2.0,1.0,"{""8384512"":55,""8388608"":55}","{""16773120"":55}"
deepseek-v2-lite,1,4096,2048,4096,110,55,922746880,0.0,2.0,1.0,"{""8388608"":110}","{""16777216"":55}"
deepseek-v2-lite,1,4097,2048,4096,165,110,922972160,0.0,1.5,0.6666666666666666,"{""4096"":55,""8388608"":110}","{""4096"":55,""16777216"":55}"
deepseek-v2-lite,4,2047,1024,2048,110,55,1844592640,0.0,2.0,1.0,"{""16760832"":55,""16777216"":55}","{""33538048"":55}"
deepseek-v2-lite,4,2048,1024,2048,110,55,1845493760,0.0,2.0,1.0,"{""16777216"":110}","{""33554432"":55}"
deepseek-v2-lite,4,2049,1024,2048,165,110,1846394880,0.0,1.5,0.6666666666666666,"{""16384"":55,""16777216"":110}","{""16384"":55,""33554432"":55}"
deepseek-v2-lite,4,4095,2048,4096,110,55,3690086400,0.0,2.0,1.0,"{""33538048"":55,""33554432"":55}","{""67092480"":55}"
deepseek-v2-lite,4,4096,2048,4096,110,55,3690987520,0.0,2.0,1.0,"{""33554432"":110}","{""67108864"":55}"
deepseek-v2-lite,4,4097,2048,4096,165,110,3691888640,0.0,1.5,0.6666666666666666,"{""16384"":55,""33554432"":110}","{""16384"":55,""67108864"":55}"
qwen3-8b,1,2047,1024,2048,146,73,1224138752,0.0,2.0,1.0,"{""8380416"":73,""8388608"":73}","{""16769024"":73}"
qwen3-8b,1,2048,1024,2048,146,73,1224736768,0.0,2.0,1.0,"{""8388608"":146}","{""16777216"":73}"
qwen3-8b,1,2049,1024,2048,219,146,1225334784,0.0,1.5,0.6666666666666666,"{""8192"":73,""8388608"":146}","{""8192"":73,""16777216"":73}"
qwen3-8b,1,4095,2048,4096,146,73,2448875520,0.0,2.0,1.0,"{""16769024"":73,""16777216"":73}","{""33546240"":73}"
qwen3-8b,1,4096,2048,4096,146,73,2449473536,0.0,2.0,1.0,"{""16777216"":146}","{""33554432"":73}"
qwen3-8b,1,4097,2048,4096,219,146,2450071552,0.0,1.5,0.6666666666666666,"{""8192"":73,""16777216"":146}","{""8192"":73,""33554432"":73}"
qwen3-8b,4,2047,1024,2048,146,73,4896555008,0.0,2.0,1.0,"{""33521664"":73,""33554432"":73}","{""67076096"":73}"
qwen3-8b,4,2048,1024,2048,146,73,4898947072,0.0,2.0,1.0,"{""33554432"":146}","{""67108864"":73}"
qwen3-8b,4,2049,1024,2048,219,146,4901339136,0.0,1.5,0.6666666666666666,"{""32768"":73,""33554432"":146}","{""32768"":73,""67108864"":73}"
qwen3-8b,4,4095,2048,4096,146,73,9795502080,0.0,2.0,1.0,"{""67076096"":73,""67108864"":73}","{""134184960"":73}"
qwen3-8b,4,4096,2048,4096,146,73,9797894144,0.0,2.0,1.0,"{""67108864"":146}","{""134217728"":73}"
qwen3-8b,4,4097,2048,4096,219,146,9800286208,0.0,1.5,0.6666666666666666,"{""32768"":73,""67108864"":146}","{""32768"":73,""134217728"":73}"
