model,chunk_size,tp,batch_size,input_len,output_len,repeat_count,prefill_supports,prefill_calls,prefill_total_payload_bytes,histogram_json
deepseek-v2-lite,1024,2,1,1023,8,3,1,55,230461440,"{""4190208"":55}"
deepseek-v2-lite,1024,2,1,1024,8,3,1,55,230686720,"{""4194304"":55}"
deepseek-v2-lite,1024,2,1,1025,8,3,2,110,230912000,"{""4096"":55,""4194304"":55}"
deepseek-v2-lite,1024,2,1,2047,8,3,2,110,461148160,"{""4190208"":55,""4194304"":55}"
deepseek-v2-lite,1024,2,1,2048,8,3,1,110,461373440,"{""4194304"":110}"
deepseek-v2-lite,1024,2,1,2049,8,3,2,165,461598720,"{""4096"":55,""4194304"":110}"
deepseek-v2-lite,1024,2,4,1023,8,3,1,55,921845760,"{""16760832"":55}"
deepseek-v2-lite,1024,2,4,1024,8,3,1,55,922746880,"{""16777216"":55}"
deepseek-v2-lite,1024,2,4,1025,8,3,2,110,923648000,"{""16384"":55,""16777216"":55}"
deepseek-v2-lite,1024,2,4,2047,8,3,2,110,1844592640,"{""16760832"":55,""16777216"":55}"
deepseek-v2-lite,1024,2,4,2048,8,3,1,110,1845493760,"{""16777216"":110}"
deepseek-v2-lite,1024,2,4,2049,8,3,2,165,1846394880,"{""16384"":55,""16777216"":110}"
deepseek-v2-lite,2048,2,1,2047,8,3,1,55,461148160,"{""8384512"":55}"
deepseek-v2-lite,2048,2,1,2048,8,3,1,55,461373440,"{""8388608"":55}"
deepseek-v2-lite,2048,2,1,2049,8,3,2,110,461598720,"{""4096"":55,""8388608"":55}"
deepseek-v2-lite,2048,2,1,4095,8,3,2,110,922521600,"{""8384512"":55,""8388608"":55}"
deepseek-v2-lite,2048,2,1,4096,8,3,1,110,922746880,"{""8388608"":110}"
deepseek-v2-lite,2048,2,1,4097,8,3,2,165,922972160,"{""4096"":55,""8388608"":110}"
deepseek-v2-lite,2048,2,4,2047,8,3,1,55,1844592640,"{""33538048"":55}"
deepseek-v2-lite,2048,2,4,2048,8,3,1,55,1845493760,"{""33554432"":55}"
deepseek-v2-lite,2048,2,4,2049,8,3,2,110,1846394880,"{""16384"":55,""33554432"":55}"
deepseek-v2-lite,2048,2,4,4095,8,3,2,110,3690086400,"{""33538048"":55,""33554432"":55}"
deepseek-v2-lite,2048,2,4,4096,8,3,1,110,3690987520,"{""33554432"":110}"
deepseek-v2-lite,2048,2,4,4097,8,3,2,165,3691888640,"{""16384"":55,""33554432"":110}"
deepseek-v2-lite,4096,2,1,4095,8,3,1,55,922521600,"{""16773120"":55}"
deepseek-v2-lite,4096,2,1,4096,8,3,1,55,922746880,"{""16777216"":55}"
deepseek-v2-lite,4096,2,1,4097,8,3,2,110,922972160,"{""4096"":55,""16777216"":55}"
deepseek-v2-lite,4096,2,1,8191,8,3,2,110,1845268480,"{""16773120"":55,""16777216"":55}"
deepseek-v2-lite,4096,2,1,8192,8,3,1,110,1845493760,"{""16777216"":110}"
deepseek-v2-lite,4096,2,1,8193,8,3,2,165,1845719040,"{""4096"":55,""16777216"":110}"
deepseek-v2-lite,4096,2,4,4095,8,3,1,55,3690086400,"{""67092480"":55}"
deepseek-v2-lite,4096,2,4,4096,8,3,1,55,3690987520,"{""67108864"":55}"
deepseek-v2-lite,4096,2,4,4097,8,3,2,110,3691888640,"{""16384"":55,""67108864"":55}"
deepseek-v2-lite,4096,2,4,8191,8,3,2,110,7381073920,"{""67092480"":55,""67108864"":55}"
deepseek-v2-lite,4096,2,4,8192,8,3,1,110,7381975040,"{""67108864"":110}"
deepseek-v2-lite,4096,2,4,8193,8,3,2,165,7382876160,"{""16384"":55,""67108864"":110}"
qwen3-8b,1024,2,1,1023,8,3,1,73,611770368,"{""8380416"":73}"
