timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/31 08:30:06.789, 0, P0, 36, 279.99 W, 1965 MHz, 3996 MHz, 49 %, 158191 MiB
2026/07/31 08:30:06.792, 1, P0, 34, 282.47 W, 1965 MHz, 3996 MHz, 17 %, 158191 MiB
2026/07/31 08:30:06.795, 2, P0, 36, 236.74 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:06.797, 3, P0, 33, 239.44 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:06.799, 4, P0, 34, 235.84 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:06.802, 5, P0, 36, 244.44 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:06.804, 6, P0, 33, 242.48 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:06.807, 7, P0, 37, 243.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:07.809, 0, P0, 39, 324.35 W, 1965 MHz, 3996 MHz, 78 %, 158191 MiB
2026/07/31 08:30:07.809, 1, P0, 35, 321.04 W, 1965 MHz, 3996 MHz, 27 %, 158191 MiB
2026/07/31 08:30:07.809, 2, P0, 36, 236.76 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:07.809, 3, P0, 33, 239.16 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:07.809, 4, P0, 33, 235.85 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:07.809, 5, P0, 36, 244.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:07.809, 6, P0, 33, 242.38 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:07.809, 7, P0, 37, 243.29 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:08.809, 0, P0, 37, 338.58 W, 1965 MHz, 3996 MHz, 82 %, 158191 MiB
2026/07/31 08:30:08.809, 1, P0, 35, 333.01 W, 1965 MHz, 3996 MHz, 16 %, 158191 MiB
2026/07/31 08:30:08.809, 2, P0, 36, 236.85 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:08.809, 3, P0, 33, 239.10 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:08.809, 4, P0, 33, 235.84 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:08.809, 5, P0, 36, 244.34 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:08.809, 6, P0, 33, 242.38 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:08.809, 7, P0, 37, 243.32 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:09.810, 0, P0, 44, 383.59 W, 1965 MHz, 3996 MHz, 74 %, 159103 MiB
2026/07/31 08:30:09.815, 1, P0, 37, 384.83 W, 1965 MHz, 3996 MHz, 37 %, 159103 MiB
2026/07/31 08:30:09.816, 2, P0, 36, 237.09 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 08:30:09.817, 3, P0, 33, 239.37 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 08:30:09.817, 4, P0, 34, 235.87 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:09.829, 5, P0, 36, 244.26 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:09.829, 6, P0, 33, 242.36 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:09.830, 7, P0, 37, 243.31 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:30:10.831, 0, P0, 40, 445.52 W, 1957 MHz, 3996 MHz, 86 %, 159103 MiB
