timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/31 08:34:29.230, 0, P0, 37, 243.88 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:34:29.232, 1, P0, 34, 241.13 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:34:29.233, 2, P0, 37, 237.41 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 08:34:29.235, 3, P0, 33, 239.82 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 08:34:29.236, 4, P0, 34, 235.90 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:34:29.238, 5, P0, 36, 244.58 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:34:29.239, 6, P0, 33, 242.48 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:34:29.240, 7, P0, 37, 243.39 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:34:30.242, 0, P0, 37, 244.07 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:34:30.242, 1, P0, 34, 241.05 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:34:30.242, 2, P0, 37, 237.46 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 08:34:30.242, 3, P0, 33, 239.88 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 08:34:30.242, 4, P0, 34, 235.89 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:34:30.242, 5, P0, 36, 244.58 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:34:30.242, 6, P0, 33, 242.52 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:34:30.242, 7, P0, 37, 243.41 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:34:31.242, 0, P0, 37, 243.57 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:34:31.242, 1, P0, 34, 240.47 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:34:31.242, 2, P0, 37, 237.41 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 08:34:31.242, 3, P0, 33, 239.82 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
