timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/31 08:24:46.256, 0, P0, 36, 243.26 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:46.258, 1, P0, 33, 240.59 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:46.260, 2, P0, 36, 236.51 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 08:24:46.262, 3, P0, 33, 239.06 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 08:24:46.264, 4, P0, 34, 235.88 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:46.266, 5, P0, 36, 244.40 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:46.268, 6, P0, 33, 242.41 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:46.270, 7, P0, 37, 243.39 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:47.272, 0, P0, 36, 243.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:47.272, 1, P0, 33, 240.55 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:47.272, 2, P0, 36, 236.51 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 08:24:47.272, 3, P0, 33, 239.03 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 08:24:47.272, 4, P0, 34, 235.86 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:47.272, 5, P0, 36, 244.42 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:47.272, 6, P0, 33, 242.45 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:47.272, 7, P0, 37, 243.36 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:48.272, 0, P0, 36, 243.31 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:48.272, 1, P0, 33, 240.55 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:48.272, 2, P0, 36, 236.92 W, 1965 MHz, 3996 MHz, 3 %, 16961 MiB
2026/07/31 08:24:48.272, 3, P0, 33, 239.50 W, 1965 MHz, 3996 MHz, 3 %, 16961 MiB
2026/07/31 08:24:48.272, 4, P0, 34, 235.84 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:48.272, 5, P0, 36, 244.49 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:48.272, 6, P0, 33, 242.40 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:48.272, 7, P0, 37, 243.33 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 08:24:49.272, 0, P0, 36, 243.74 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
