comparison,model,batch_size,input_len,logical_payload_bytes,left_workload_id,right_workload_id,left_split,right_split,both_test,left_case,right_case,left_calls,right_calls,left_payload_supports,right_payload_supports,left_post_us,right_post_us,measured_time_ratio_max_over_min,measured_absolute_difference_us,total_bytes_only_left_us,total_bytes_only_right_us,total_bytes_only_time_ratio_max_over_min,three_hard_bins_left_us,three_hard_bins_right_us,three_hard_bins_time_ratio_max_over_min,continuous_histogram_left_us,continuous_histogram_right_us,continuous_histogram_time_ratio_max_over_min,continuous_histogram_dnn_residual_left_us,continuous_histogram_dnn_residual_right_us,continuous_histogram_dnn_residual_time_ratio_max_over_min
chunked_prefill,deepseek-v2-lite,1,2047,461148160,deepseek-v2-lite-chunk-c1024-b1-l2047-m8-9fe316,deepseek-v2-lite-chunk-c2048-b1-l2047-m8-9fe316,validation,train,False,c1024,c2048,110,55,2,1,1689.9736328125,1285.119140625,1.3150326529185494,404.8544921875,1436.0404405099878,1436.0404405099878,1.0,1756.8734570399706,1198.1877923193058,1.4662755440357385,1877.8743457405076,1334.7174997824834,1.40694517457555,1682.7435298320454,1285.4884162058943,1.3090304888150182
chunked_prefill,deepseek-v2-lite,1,2048,461373440,deepseek-v2-lite-chunk-c1024-b1-l2048-m8-9fe316,deepseek-v2-lite-chunk-c2048-b1-l2048-m8-9fe316,train,test,False,c1024,c2048,110,55,1,1,1711.3798828125,1285.02783203125,1.3317842930353603,426.35205078125,1436.6641027648511,1436.6641027648511,1.0,1757.6961064691732,1198.7340891550334,1.4662935861848578,1878.1319266062683,1334.996477560658,1.406844106463893,1735.9835904719384,1285.7803447100132,1.3501400901127176
chunked_prefill,deepseek-v2-lite,1,2049,461598720,deepseek-v2-lite-chunk-c1024-b1-l2049-m8-9fe316,deepseek-v2-lite-chunk-c2048-b1-l2049-m8-9fe316,train,train,False,c1024,c2048,165,110,2,2,1989.68359375,1591.77197265625,1.2499802911027136,397.91162109375,1437.2877312252608,1437.2877312252608,1.0,2012.1839771176103,1372.292695048264,1.4662935861848634,2298.570158993907,1755.4347099482968,1.3094022500339004,1944.971161525158,1553.2683616369088,1.2521797324677715
chunked_prefill,deepseek-v2-lite,1,4095,922521600,deepseek-v2-lite-chunk-c2048-b1-l4095-m8-9fe316,deepseek-v2-lite-chunk-c4096-b1-l4095-m8-9fe316,validation,train,False,c2048,c4096,110,55,2,1,2572.36865234375,2062.8203125,1.2470153782935225,509.54833984375,2660.009522370686,2660.009522370686,1.0,2402.233021686848,2288.6532375193337,1.0496273451589473,2669.7139773431413,2082.601779871863,1.2819128472594514,2558.3036696681725,2075.9308249624783,1.232364604304391
chunked_prefill,deepseek-v2-lite,1,4096,922746880,deepseek-v2-lite-chunk-c2048-b1-l4096-m8-9fe316,deepseek-v2-lite-chunk-c4096-b1-l4096-m8-9fe316,validation,test,False,c2048,c4096,110,55,1,1,2565.01318359375,2059.4599609375,1.2454785391535914,505.55322265625,2660.5870008510265,2660.5870008510265,1.0,2402.780524558088,2289.1748539518367,1.0496273451589477,2669.992955121316,2082.8652267137636,1.2818846466287652,2550.702589454149,2076.190210418324,1.228549569617813
chunked_prefill,deepseek-v2-lite,1,4097,922972160,deepseek-v2-lite-chunk-c2048-b1-l4097-m8-9fe316,deepseek-v2-lite-chunk-c4096-b1-l4097-m8-9fe316,train,train,False,c2048,c4096,165,110,2,2,2859.39453125,2306.1025390625,1.2399251476529876,553.2919921875,2661.164463685211,2661.164463685211,1.0,2750.6668839121153,2620.6128266366504,1.0496273451589486,3090.4311875089547,2503.3034591014025,1.2345411724946485,2877.275188228468,2311.841807500489,1.2445813458747477
chunked_prefill,deepseek-v2-lite,4,2047,1844592640,deepseek-v2-lite-chunk-c1024-b4-l2047-m8-0d8dda,deepseek-v2-lite-chunk-c2048-b4-l2047-m8-0d8dda,train,train,False,c1024,c2048,110,55,2,1,4123.0146484375,4684.26513671875,1.1361262416309743,561.25048828125,4925.0553930956485,4925.0553930956485,1.0,4586.40338076788,4369.554015452356,1.0496273451589486,4164.676279884322,4618.12837471066,1.1088805141990372,4184.684565100307,4741.217164105731,1.132992723907276
chunked_prefill,deepseek-v2-lite,4,2048,1845493760,deepseek-v2-lite-chunk-c1024-b4-l2048-m8-0d8dda,deepseek-v2-lite-chunk-c2048-b4-l2048-m8-0d8dda,train,validation,False,c1024,c2048,110,55,1,1,4125.47607421875,4680.95361328125,1.1346456818726531,555.4775390625,4927.194309988339,4927.194309988339,1.0,4588.494486748446,4371.546252021096,1.0496273451589466,4165.730453427527,4619.189444067483,1.1088546164255189,4220.569327879302,4742.390890364795,1.123637718503653
chunked_prefill,deepseek-v2-lite,4,2049,1846394880,deepseek-v2-lite-chunk-c1024-b4-l2049-m8-0d8dda,deepseek-v2-lite-chunk-c2048-b4-l2049-m8-0d8dda,train,train,False,c1024,c2048,165,110,2,2,4482.052734375,5021.58203125,1.1203754906177459,539.529296875,4929.333110979301,4929.333110979301,1.0,4955.87815629584,4721.559684161388,1.0496273451589484,4563.352978429702,5016.811969069658,1.0993696943417242,4445.670515103464,4936.188319569209,1.1103360680462684
chunked_prefill,deepseek-v2-lite,4,4095,3690086400,deepseek-v2-lite-chunk-c2048-b4-l4095-m8-0d8dda,deepseek-v2-lite-chunk-c4096-b4-l4095-m8-0d8dda,train,validation,False,c2048,c4096,110,55,2,1,9358.98291015625,8369.2412109375,1.1182594304875915,989.74169921875,9122.789222188196,9122.789222188196,1.0,8760.468952545687,8346.26593233342,1.0496273451589466,9237.317818778141,8206.679796335753,1.1255852607899437,9528.549484330591,8562.739326464543,1.112792194301776
chunked_prefill,deepseek-v2-lite,4,4096,3690987520,deepseek-v2-lite-chunk-c2048-b4-l4096-m8-0d8dda,deepseek-v2-lite-chunk-c4096-b4-l4096-m8-0d8dda,train,train,False,c2048,c4096,110,55,1,1,9327.78515625,8366.49267578125,1.1148979049789207,961.29248046875,9124.769746850412,9124.769746850412,1.0,8762.465587287426,8348.168164350285,1.0496273451589466,9238.378888134966,8207.94398346863,1.125541171667558,9691.865019178531,8564.086182304189,1.1316870023102583
chunked_prefill,deepseek-v2-lite,4,4097,3691888640,deepseek-v2-lite-chunk-c2048-b4-l4097-m8-0d8dda,deepseek-v2-lite-chunk-c4096-b4-l4097-m8-0d8dda,train,test,False,c2048,c4096,165,110,2,2,9694.615234375,8703.27783203125,1.113903913155026,991.33740234375,9126.750217852445,9126.750217852445,1.0,9464.043582213084,9016.5749071447,1.0496273451589484,9636.00141313714,8605.566508470805,1.1197405079203138,9812.208879360674,8940.701613482157,1.0974763842430806
chunked_prefill,qwen3-8b,1,2047,1224138752,qwen3-8b-chunk-c1024-b1-l2047-m8-9fe316,qwen3-8b-chunk-c2048-b1-l2047-m8-9fe316,train,train,False,c1024,c2048,146,73,2,1,3423.7236328125,2735.03515625,1.251802421986692,688.6884765625,3420.6068837325565,3420.6068837325565,1.0,3190.900074441654,3039.5603251242383,1.0497900133997933,3543.068091216756,2763.8307929863195,1.2819410291714965,3358.7055018486512,2755.7756229600172,1.2187877249022976
chunked_prefill,qwen3-8b,1,2048,1224736768,qwen3-8b-chunk-c1024-b1-l2048-m8-9fe316,qwen3-8b-chunk-c2048-b1-l2048-m8-9fe316,test,test,True,c1024,c2048,146,73,1,1,3434.44384765625,2743.62353515625,1.2517912183096422,690.8203125,3422.092429226152,3422.092429226152,1.0,3192.3549203575717,3040.94616981446,1.049790013399793,3543.808831342837,2764.5302100019044,1.2818846466287652,3378.5116429624095,2756.4971535275995,1.2256539567395501
chunked_prefill,qwen3-8b,1,2049,1225334784,qwen3-8b-chunk-c1024-b1-l2049-m8-9fe316,qwen3-8b-chunk-c2048-b1-l2049-m8-9fe316,validation,train,False,c1024,c2048,219,146,2,2,3808.0791015625,3139.998046875,1.2127647994406843,668.0810546875,3423.5778942223096,3423.5778942223096,1.0,3669.9549641748804,3495.894338230141,1.049790013399793,4101.845030693704,3322.5664093527707,1.2345411724946485,3879.246764009173,3151.4939596581585,1.23092311572444
chunked_prefill,qwen3-8b,1,4095,2448875520,qwen3-8b-chunk-c2048-b1-l4095-m8-9fe316,qwen3-8b-chunk-c4096-b1-l4095-m8-9fe316,train,validation,False,c2048,c4096,146,73,2,1,5491.6533203125,6303.0419921875,1.1477494343777745,811.388671875,6336.065915561519,6336.065915561519,1.0,6094.924215880125,5805.850825482168,1.049790013399793,5528.361002988224,6130.22009298585,1.1088675449509005,5472.282011978454,6369.1244520208775,1.163888198393156
chunked_prefill,qwen3-8b,1,4096,2449473536,qwen3-8b-chunk-c2048-b1-l4096-m8-9fe316,qwen3-8b-chunk-c4096-b1-l4096-m8-9fe316,validation,train,False,c2048,c4096,146,73,1,1,5501.34375,6284.48095703125,1.1423538034741512,783.13720703125,6337.44145263685,6337.44145263685,1.0,6096.313335287088,5807.174060976155,1.049790013399793,5529.060420003809,6130.9241712168405,1.1088546164255186,5497.996734979046,6369.787533601504,1.158565172124603
chunked_prefill,qwen3-8b,1,4097,2450071552,qwen3-8b-chunk-c2048-b1-l4097-m8-9fe316,qwen3-8b-chunk-c4096-b1-l4097-m8-9fe316,train,train,False,c2048,c4096,219,146,2,2,5866.7724609375,6682.6064453125,1.1390601032862677,815.833984375,6338.816952443474,6338.816952443474,1.0,7008.3671603458115,6675.970499708692,1.049790013399793,6087.096619354675,6688.960370567706,1.0988753405522318,5960.497609108714,6644.088735758544,1.1146869223813092
chunked_prefill,qwen3-8b,4,2047,4896555008,qwen3-8b-chunk-c1024-b4-l2047-m8-0d8dda,qwen3-8b-chunk-c2048-b4-l2047-m8-0d8dda,train,train,False,c1024,c2048,146,73,2,1,12741.3173828125,11276.11181640625,1.1299389000625588,1465.20556640625,11731.339814905643,11731.339814905643,1.0,11636.58179106159,11084.675642299155,1.049790013399793,12259.030997431159,10890.823944234127,1.1256293426652437,12596.729082751808,11484.559294850247,1.096840441095573
chunked_prefill,qwen3-8b,4,2048,4898947072,qwen3-8b-chunk-c1024-b4-l2048-m8-0d8dda,qwen3-8b-chunk-c2048-b4-l2048-m8-0d8dda,train,train,False,c1024,c2048,146,73,1,1,12814.82080078125,11237.298828125,1.1403826664027112,1577.52197265625,11736.434653219034,11736.434653219034,1.0,11641.887326524702,11089.729543932235,1.049790013399793,12261.848342433681,10894.180196240182,1.1255411716675578,12892.344337335737,11488.247966096784,1.122220235442568
chunked_prefill,qwen3-8b,4,2049,4901339136,qwen3-8b-chunk-c1024-b4-l2049-m8-0d8dda,qwen3-8b-chunk-c2048-b4-l2049-m8-0d8dda,train,train,False,c1024,c2048,219,146,2,2,13061.9296875,11715.0380859375,1.1149711671171845,1346.8916015625,11741.529215457913,11741.529215457913,1.0,12626.978173875621,12028.098965223124,1.049790013399793,12803.076433912496,11435.408287718998,1.1195994154106679,13035.823621154605,11808.217869551176,1.1039619835241141
chunked_prefill,qwen3-8b,4,4095,9795502080,qwen3-8b-chunk-c2048-b4-l4095-m8-0d8dda,qwen3-8b-chunk-c4096-b4-l4095-m8-0d8dda,validation,test,False,c2048,c4096,146,73,2,1,22916.4853515625,21303.6640625,1.0757062862205702,1612.8212890625,21730.220657286438,21730.220657286438,1.0,22226.98377074815,21172.790259992133,1.049790013399793,21785.00414047431,19961.609009051466,1.091345098012692,23079.70458529976,21356.153788704225,1.0807051126175709
chunked_prefill,qwen3-8b,4,4096,9797894144,qwen3-8b-chunk-c2048-b4-l4096-m8-0d8dda,qwen3-8b-chunk-c4096-b4-l4096-m8-0d8dda,train,train,False,c2048,c4096,146,73,1,1,23035.36328125,21377.5087890625,1.077551341858679,1657.8544921875,21734.938209877648,21734.938209877648,1.0,22232.04961462569,21177.61583826291,1.0497900133997928,21788.360392480365,19964.804258573513,1.0913385430825728,23459.48384598332,21359.611093135303,1.0983104394406735
chunked_prefill,qwen3-8b,4,4097,9800286208,qwen3-8b-chunk-c2048-b4-l4097-m8-0d8dda,qwen3-8b-chunk-c4096-b4-l4097-m8-0d8dda,train,validation,False,c2048,c4096,219,146,2,2,23635.0869140625,21858.9111328125,1.0812563704778402,1776.17578125,21739.65563465193,21739.65563465193,1.0,24113.23846132766,22969.582634184026,1.0497900133997913,22329.58848395918,20506.03235005233,1.0889277897731493,23672.374558872034,22088.93835236664,1.0716845771963388
mixed_decode,deepseek-v2-lite,8,512,55869440,deepseek-v2-lite-mixed-balanced,deepseek-v2-lite-mixed-bimodal,train,test,False,balanced,bimodal,3465,3465,3,3,21891.82373046875,22109.64501953125,1.00994989233169,217.8212890625,21781.931715256247,21781.931715256247,1.0,23118.845719396737,23118.845719396737,1.0,20300.6797200309,20058.567271010565,1.0120702762938731,21482.03397758019,18064.70427818802,1.1891716380609885
mixed_decode,deepseek-v2-lite,8,512,55869440,deepseek-v2-lite-mixed-balanced,deepseek-v2-lite-mixed-staircase,train,validation,False,balanced,staircase,3465,3465,3,6,21891.82373046875,21084.54296875,1.0382877998785767,807.28076171875,21781.931715256247,21781.931715256247,1.0,23118.845719396737,23118.845719396737,1.0,20300.6797200309,20237.564651526747,1.0031187086781903,21482.03397758019,21005.636238430954,1.0226795196175797
mixed_decode,deepseek-v2-lite,8,512,55869440,deepseek-v2-lite-mixed-bimodal,deepseek-v2-lite-mixed-staircase,test,validation,False,bimodal,staircase,3465,3465,3,6,22109.64501953125,21084.54296875,1.0486186516966758,1025.10205078125,21781.931715256247,21781.931715256247,1.0,23118.845719396737,23118.845719396737,1.0,20058.567271010565,20237.564651526747,1.0089237370794113,18064.70427818802,21005.636238430954,1.1627998950303284
mixed_decode,qwen3-8b,8,512,148307968,qwen3-8b-mixed-balanced,qwen3-8b-mixed-bimodal,validation,train,False,balanced,bimodal,4599,4599,3,3,25425.71435546875,24564.85888671875,1.0350441853836754,860.85546875,24680.178593523535,24680.178593523535,1.0,23232.581207052208,23232.581207052124,1.0000000000000036,26236.462074872168,26490.224373189954,1.009672123382856,27947.282355708925,24186.41762073863,1.155494906023021
mixed_decode,qwen3-8b,8,512,148307968,qwen3-8b-mixed-balanced,qwen3-8b-mixed-staircase,validation,test,False,balanced,staircase,4599,4599,3,6,25425.71435546875,25383.18408203125,1.0016755294883437,42.5302734375,24680.178593523535,24680.178593523535,1.0,23232.581207052208,23232.581207052124,1.0000000000000036,26236.462074872168,26699.951437634943,1.0176658484455752,27947.282355708925,27757.45256548525,1.0068388765062581
