timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/31 09:56:04.903, 0, P0, 41, 649.39 W, 1965 MHz, 3996 MHz, 0 %, 160243 MiB
2026/07/31 09:56:04.905, 1, P0, 38, 664.04 W, 1965 MHz, 3996 MHz, 46 %, 160243 MiB
2026/07/31 09:56:04.908, 2, P0, 36, 236.86 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:56:04.910, 3, P0, 33, 239.14 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:56:04.913, 4, P0, 33, 235.76 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:56:04.915, 5, P0, 36, 244.15 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:56:04.918, 6, P0, 33, 242.25 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:56:04.920, 7, P0, 37, 243.23 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:56:05.923, 0, P0, 50, 679.23 W, 1620 MHz, 3996 MHz, 95 %, 160243 MiB
2026/07/31 09:56:05.923, 1, P0, 47, 646.84 W, 1522 MHz, 3996 MHz, 60 %, 160243 MiB
2026/07/31 09:56:05.923, 2, P0, 36, 236.85 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:56:05.923, 3, P0, 33, 239.30 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:56:05.923, 4, P0, 33, 235.85 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:56:05.923, 5, P0, 36, 244.15 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:56:05.923, 6, P0, 33, 242.29 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:56:05.923, 7, P0, 37, 243.29 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:56:06.923, 0, P0, 38, 258.24 W, 1965 MHz, 3996 MHz, 0 %, 159773 MiB
2026/07/31 09:56:06.923, 1, P0, 35, 289.59 W, 1965 MHz, 3996 MHz, 0 %, 159773 MiB
2026/07/31 09:56:06.923, 2, P0, 36, 236.87 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:56:06.923, 3, P0, 33, 239.28 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:56:06.923, 4, P0, 33, 235.75 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:56:06.923, 5, P0, 36, 244.16 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:56:06.923, 6, P0, 33, 242.36 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:56:06.923, 7, P0, 37, 243.29 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
