timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/31 09:52:18.805, 0, P0, 36, 243.26 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:18.808, 1, P0, 33, 240.60 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:18.809, 2, P0, 36, 236.74 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:18.811, 3, P0, 33, 239.25 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:18.813, 4, P0, 33, 235.73 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:18.815, 5, P0, 36, 244.21 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:18.817, 6, P0, 33, 242.34 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:18.819, 7, P0, 37, 243.16 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:19.821, 0, P0, 36, 243.17 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:19.821, 1, P0, 33, 240.49 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:19.821, 2, P0, 36, 236.70 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:19.821, 3, P0, 33, 239.16 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:19.821, 4, P0, 33, 235.68 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:19.821, 5, P0, 36, 244.14 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:19.821, 6, P0, 33, 242.38 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:19.821, 7, P0, 37, 243.23 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:20.821, 0, P0, 36, 243.09 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:20.821, 1, P0, 33, 240.46 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:20.821, 2, P0, 36, 236.66 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:20.821, 3, P0, 33, 239.18 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:20.821, 4, P0, 33, 235.70 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:20.821, 5, P0, 36, 244.15 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:20.821, 6, P0, 33, 242.33 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:20.821, 7, P0, 37, 243.17 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:21.821, 0, P0, 36, 243.30 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:21.822, 1, P0, 33, 240.61 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:21.822, 2, P0, 36, 236.98 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:21.822, 3, P0, 33, 239.53 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:21.822, 4, P0, 33, 235.71 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:21.822, 5, P0, 36, 244.19 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:21.822, 6, P0, 33, 242.37 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:21.822, 7, P0, 37, 243.23 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:22.822, 0, P0, 36, 243.06 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:22.822, 1, P0, 33, 240.46 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:22.822, 2, P0, 36, 236.71 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:22.822, 3, P0, 33, 239.26 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:22.822, 4, P0, 33, 235.67 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:22.822, 5, P0, 36, 244.18 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:22.822, 6, P0, 33, 242.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:22.822, 7, P0, 37, 243.23 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:23.822, 0, P0, 36, 243.16 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:23.822, 1, P0, 33, 240.47 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:23.822, 2, P0, 36, 236.72 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:23.822, 3, P0, 33, 239.24 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:23.822, 4, P0, 33, 235.70 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:23.822, 5, P0, 36, 244.13 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:23.822, 6, P0, 33, 242.38 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:23.822, 7, P0, 37, 243.16 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:24.822, 0, P0, 36, 243.11 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:24.822, 1, P0, 33, 240.46 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:24.822, 2, P0, 36, 236.70 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:24.822, 3, P0, 33, 239.20 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:24.822, 4, P0, 33, 235.66 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:24.822, 5, P0, 36, 244.17 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:24.823, 6, P0, 33, 242.38 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:24.823, 7, P0, 37, 243.21 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:25.823, 0, P0, 36, 243.14 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:25.823, 1, P0, 33, 240.45 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:25.823, 2, P0, 36, 236.71 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:25.823, 3, P0, 33, 239.25 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:25.823, 4, P0, 33, 235.70 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:25.823, 5, P0, 36, 244.21 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:25.823, 6, P0, 33, 242.36 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:25.823, 7, P0, 37, 243.21 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:26.823, 0, P0, 36, 243.09 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:26.823, 1, P0, 33, 240.48 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:26.823, 2, P0, 36, 236.72 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:26.823, 3, P0, 33, 239.28 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:26.823, 4, P0, 33, 235.71 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:26.823, 5, P0, 36, 244.08 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:26.823, 6, P0, 33, 242.38 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:26.823, 7, P0, 37, 243.21 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:27.823, 0, P0, 36, 243.11 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:27.823, 1, P0, 33, 240.46 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:27.823, 2, P0, 36, 236.72 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:27.823, 3, P0, 33, 239.26 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:27.823, 4, P0, 33, 235.68 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:27.824, 5, P0, 36, 244.21 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:27.824, 6, P0, 33, 242.44 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:27.824, 7, P0, 37, 243.28 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:28.824, 0, P0, 36, 243.23 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:28.824, 1, P0, 33, 240.55 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:28.824, 2, P0, 36, 236.72 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:28.824, 3, P0, 33, 239.25 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:28.824, 4, P0, 33, 235.79 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:28.824, 5, P0, 36, 244.23 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:28.824, 6, P0, 33, 242.45 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:28.824, 7, P0, 37, 243.33 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:52:29.824, 0, P0, 36, 243.07 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:29.825, 1, P0, 33, 240.48 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:29.825, 2, P0, 36, 236.63 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:29.825, 3, P0, 33, 239.16 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:52:29.825, 4, P0, 33, 235.71 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
