timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/31 09:54:10.030, 0, P0, 36, 243.20 W, 1965 MHz, 3996 MHz, 0 %, 771 MiB
2026/07/31 09:54:10.033, 1, P0, 33, 240.56 W, 1965 MHz, 3996 MHz, 1 %, 771 MiB
2026/07/31 09:54:10.035, 2, P0, 36, 236.48 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:54:10.038, 3, P0, 33, 239.25 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:54:10.040, 4, P0, 33, 235.78 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:54:10.042, 5, P0, 36, 244.17 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:54:10.044, 6, P0, 33, 242.32 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:54:10.046, 7, P0, 37, 243.26 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:54:11.048, 0, P0, 36, 243.03 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 09:54:11.048, 1, P0, 33, 240.65 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 09:54:11.048, 2, P0, 36, 236.71 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:54:11.048, 3, P0, 33, 239.30 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:54:11.048, 4, P0, 33, 235.69 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:54:11.048, 5, P0, 36, 244.26 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:54:11.048, 6, P0, 33, 242.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:54:11.048, 7, P0, 37, 243.26 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:54:12.048, 0, P0, 36, 242.65 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 09:54:12.048, 1, P0, 33, 239.90 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 09:54:12.049, 2, P0, 36, 236.67 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:54:12.049, 3, P0, 33, 239.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
