timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/31 10:00:14.741, 0, P0, 36, 243.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:14.743, 1, P0, 34, 240.37 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:14.744, 2, P0, 36, 237.19 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:14.746, 3, P0, 33, 239.46 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:14.747, 4, P0, 33, 235.64 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:14.749, 5, P0, 36, 244.30 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:14.750, 6, P0, 33, 242.38 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:14.752, 7, P0, 37, 243.29 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:15.755, 0, P0, 36, 243.64 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:15.755, 1, P0, 34, 240.55 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:15.755, 2, P0, 36, 237.02 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:15.755, 3, P0, 33, 239.43 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:15.755, 4, P0, 33, 235.68 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:15.755, 5, P0, 36, 244.22 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:15.755, 6, P0, 33, 242.40 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:15.755, 7, P0, 37, 243.27 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:16.755, 0, P0, 36, 243.62 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:16.755, 1, P0, 34, 240.54 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:16.755, 2, P0, 36, 237.06 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:16.755, 3, P0, 33, 239.29 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:16.755, 4, P0, 33, 235.66 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:16.755, 5, P0, 36, 244.26 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:16.755, 6, P0, 33, 242.43 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:16.755, 7, P0, 37, 243.26 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:17.755, 0, P0, 36, 243.94 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:17.776, 1, P0, 34, 240.75 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:17.788, 2, P0, 36, 237.10 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:17.789, 3, P0, 33, 239.43 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:17.789, 4, P0, 33, 235.72 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:17.800, 5, P0, 36, 244.28 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:17.812, 6, P0, 33, 242.43 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:17.813, 7, P0, 37, 243.25 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:18.813, 0, P0, 36, 243.73 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:18.813, 1, P0, 34, 240.76 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:18.813, 2, P0, 36, 237.17 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:18.813, 3, P0, 33, 239.37 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:18.813, 4, P0, 33, 235.60 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:18.813, 5, P0, 36, 244.33 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:18.813, 6, P0, 33, 242.44 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:18.813, 7, P0, 37, 243.34 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:19.813, 0, P0, 36, 243.68 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:19.814, 1, P0, 33, 240.75 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:19.814, 2, P0, 36, 237.08 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:19.814, 3, P0, 33, 239.35 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:19.814, 4, P0, 33, 235.68 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:19.814, 5, P0, 36, 244.24 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:19.814, 6, P0, 33, 242.38 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:19.814, 7, P0, 37, 243.34 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:20.814, 0, P0, 36, 243.73 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:20.814, 1, P0, 33, 240.60 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:20.814, 2, P0, 36, 237.17 W, 1965 MHz, 3996 MHz, 2 %, 723 MiB
2026/07/31 10:00:20.814, 3, P0, 33, 239.43 W, 1965 MHz, 3996 MHz, 0 %, 723 MiB
2026/07/31 10:00:20.814, 4, P0, 33, 235.71 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:20.814, 5, P0, 36, 244.21 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:20.814, 6, P0, 33, 242.38 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:20.814, 7, P0, 37, 243.27 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:21.814, 0, P0, 36, 243.73 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:21.814, 1, P0, 33, 240.66 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:21.814, 2, P0, 36, 237.00 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 10:00:21.814, 3, P0, 33, 239.31 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 10:00:21.814, 4, P0, 33, 235.78 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:21.814, 5, P0, 36, 244.32 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:21.814, 6, P0, 33, 242.40 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:21.814, 7, P0, 37, 243.33 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:22.814, 0, P0, 36, 243.60 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:22.814, 1, P0, 33, 240.57 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:22.814, 2, P0, 36, 236.55 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 10:00:22.814, 3, P0, 33, 238.88 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 10:00:22.814, 4, P0, 33, 235.68 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:22.814, 5, P0, 36, 244.24 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:22.814, 6, P0, 33, 242.41 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:22.814, 7, P0, 37, 243.32 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:23.815, 0, P0, 36, 243.55 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:23.815, 1, P0, 33, 240.55 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:23.815, 2, P0, 36, 236.60 W, 1965 MHz, 3996 MHz, 0 %, 16961 MiB
2026/07/31 10:00:23.815, 3, P0, 33, 238.99 W, 1965 MHz, 3996 MHz, 1 %, 16961 MiB
2026/07/31 10:00:23.815, 4, P0, 33, 235.69 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:23.815, 5, P0, 36, 244.26 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:23.815, 6, P0, 33, 242.43 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:23.815, 7, P0, 37, 243.26 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:24.815, 0, P0, 36, 243.65 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:24.815, 1, P0, 33, 240.61 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:24.815, 2, P0, 36, 237.60 W, 1965 MHz, 3996 MHz, 15 %, 16961 MiB
2026/07/31 10:00:24.815, 3, P0, 33, 240.02 W, 1965 MHz, 3996 MHz, 14 %, 16961 MiB
2026/07/31 10:00:24.815, 4, P0, 33, 235.63 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:24.815, 5, P0, 36, 244.30 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:24.815, 6, P0, 33, 242.43 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:24.815, 7, P0, 37, 243.23 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:25.815, 0, P0, 36, 243.57 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:25.815, 1, P0, 33, 240.54 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:25.815, 2, P0, 36, 237.96 W, 1965 MHz, 3996 MHz, 14 %, 16961 MiB
2026/07/31 10:00:25.815, 3, P0, 33, 240.38 W, 1965 MHz, 3996 MHz, 15 %, 16961 MiB
2026/07/31 10:00:25.815, 4, P0, 33, 235.73 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:25.815, 5, P0, 36, 244.27 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:25.815, 6, P0, 33, 242.40 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:25.815, 7, P0, 37, 243.23 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:26.816, 0, P0, 36, 243.59 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:26.816, 1, P0, 33, 240.52 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:26.816, 2, P0, 36, 237.85 W, 1965 MHz, 3996 MHz, 2 %, 16961 MiB
2026/07/31 10:00:26.816, 3, P0, 33, 240.16 W, 1965 MHz, 3996 MHz, 11 %, 16961 MiB
2026/07/31 10:00:26.816, 4, P0, 33, 235.67 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:26.816, 5, P0, 36, 244.27 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:26.816, 6, P0, 33, 242.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:26.816, 7, P0, 37, 243.30 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:27.816, 0, P0, 36, 243.68 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:27.816, 1, P0, 33, 240.66 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:27.816, 2, P0, 36, 249.87 W, 1965 MHz, 3996 MHz, 0 %, 158829 MiB
2026/07/31 10:00:27.816, 3, P0, 33, 251.77 W, 1965 MHz, 3996 MHz, 38 %, 158829 MiB
2026/07/31 10:00:27.816, 4, P0, 33, 235.75 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:27.816, 5, P0, 36, 244.29 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:27.816, 6, P0, 33, 242.40 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:27.816, 7, P0, 37, 243.27 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:28.816, 0, P0, 36, 243.45 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:28.816, 1, P0, 33, 240.51 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:28.816, 2, P0, 36, 236.61 W, 1965 MHz, 3996 MHz, 0 %, 158829 MiB
2026/07/31 10:00:28.816, 3, P0, 33, 238.98 W, 1965 MHz, 3996 MHz, 0 %, 158829 MiB
2026/07/31 10:00:28.816, 4, P0, 33, 235.76 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:28.816, 5, P0, 36, 244.18 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:28.816, 6, P0, 33, 242.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:28.816, 7, P0, 37, 243.26 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:29.817, 0, P0, 36, 243.52 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:29.817, 1, P0, 33, 240.54 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:29.817, 2, P0, 36, 236.91 W, 1965 MHz, 3996 MHz, 0 %, 159507 MiB
2026/07/31 10:00:29.817, 3, P0, 33, 239.11 W, 1965 MHz, 3996 MHz, 0 %, 159507 MiB
2026/07/31 10:00:29.817, 4, P0, 33, 235.69 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:29.817, 5, P0, 36, 244.20 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:29.817, 6, P0, 33, 242.40 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:29.817, 7, P0, 37, 243.29 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:30.817, 0, P0, 36, 243.45 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:30.817, 1, P0, 33, 240.51 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:30.817, 2, P0, 36, 236.69 W, 1965 MHz, 3996 MHz, 0 %, 159509 MiB
2026/07/31 10:00:30.817, 3, P0, 33, 239.05 W, 1965 MHz, 3996 MHz, 0 %, 159509 MiB
2026/07/31 10:00:30.817, 4, P0, 33, 235.71 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:30.818, 5, P0, 36, 244.21 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:30.818, 6, P0, 33, 242.39 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:30.818, 7, P0, 37, 243.28 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:31.818, 0, P0, 36, 243.50 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:31.818, 1, P0, 33, 240.52 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:31.818, 2, P0, 36, 236.82 W, 1965 MHz, 3996 MHz, 0 %, 159561 MiB
2026/07/31 10:00:31.818, 3, P0, 33, 239.07 W, 1965 MHz, 3996 MHz, 0 %, 159561 MiB
2026/07/31 10:00:31.818, 4, P0, 33, 235.60 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:31.819, 5, P0, 36, 244.19 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:31.819, 6, P0, 33, 242.41 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:31.819, 7, P0, 37, 243.23 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:32.819, 0, P0, 36, 243.48 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:32.819, 1, P0, 33, 240.60 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:32.820, 2, P0, 36, 248.37 W, 1965 MHz, 3996 MHz, 29 %, 159699 MiB
2026/07/31 10:00:32.820, 3, P0, 34, 250.06 W, 1965 MHz, 3996 MHz, 3 %, 159699 MiB
2026/07/31 10:00:32.820, 4, P0, 33, 235.67 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/07/31 10:00:32.820, 5, P0, 36, 244.28 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/07/31 10:00:32.820, 6, P0, 33, 242.43 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/07/31 10:00:32.820, 7, P0, 37, 243.37 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/07/31 10:00:33.821, 0, P0, 36, 243.40 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 10:00:33.869, 1, P0, 33, 240.55 W, 1965 MHz, 3996 MHz, 0 %, 26 MiB
2026/07/31 10:00:33.870, 2, P0, 36, 239.36 W, 1965 MHz, 3996 MHz, 39 %, 159699 MiB
2026/07/31 10:00:33.870, 3, P0, 33, 242.13 W, 1965 MHz, 3996 MHz, 10 %, 159699 MiB
2026/07/31 10:00:33.870, 4, P0, 33, 235.76 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:33.870, 5, P0, 36, 244.26 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:33.870, 6, P0, 33, 242.40 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:33.870, 7, P0, 37, 243.33 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:34.870, 0, P0, 36, 243.54 W, 1965 MHz, 3996 MHz, 0 %, 781 MiB
2026/07/31 10:00:34.870, 1, P0, 33, 240.69 W, 1965 MHz, 3996 MHz, 0 %, 785 MiB
2026/07/31 10:00:34.870, 2, P0, 37, 263.67 W, 1965 MHz, 3996 MHz, 52 %, 159711 MiB
2026/07/31 10:00:34.870, 3, P0, 33, 267.70 W, 1965 MHz, 3996 MHz, 9 %, 159711 MiB
2026/07/31 10:00:34.870, 4, P0, 33, 235.77 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:34.870, 5, P0, 36, 244.18 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:34.870, 6, P0, 33, 242.33 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:34.870, 7, P0, 37, 243.32 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:35.870, 0, P0, 36, 243.36 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 10:00:35.871, 1, P0, 33, 240.43 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 10:00:35.871, 2, P0, 37, 266.45 W, 1965 MHz, 3996 MHz, 75 %, 159711 MiB
2026/07/31 10:00:35.871, 3, P0, 33, 267.41 W, 1965 MHz, 3996 MHz, 13 %, 159711 MiB
2026/07/31 10:00:35.871, 4, P0, 33, 235.81 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:35.871, 5, P0, 36, 244.32 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:35.871, 6, P0, 33, 242.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:35.871, 7, P0, 37, 243.32 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:36.871, 0, P0, 36, 242.91 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 10:00:36.871, 1, P0, 33, 239.99 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 10:00:36.871, 2, P0, 36, 255.73 W, 1965 MHz, 3996 MHz, 71 %, 159711 MiB
2026/07/31 10:00:36.871, 3, P0, 33, 257.61 W, 1965 MHz, 3996 MHz, 9 %, 159711 MiB
2026/07/31 10:00:36.871, 4, P0, 33, 235.72 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:36.871, 5, P0, 36, 244.21 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:36.871, 6, P0, 33, 242.31 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:36.871, 7, P0, 37, 243.29 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:37.871, 0, P0, 36, 243.46 W, 1965 MHz, 3996 MHz, 6 %, 9683 MiB
2026/07/31 10:00:37.871, 1, P0, 33, 240.47 W, 1965 MHz, 3996 MHz, 7 %, 9683 MiB
2026/07/31 10:00:37.871, 2, P0, 37, 293.76 W, 1965 MHz, 3996 MHz, 0 %, 159711 MiB
2026/07/31 10:00:37.871, 3, P0, 33, 301.78 W, 1965 MHz, 3996 MHz, 0 %, 159711 MiB
2026/07/31 10:00:37.871, 4, P0, 33, 235.73 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:37.871, 5, P0, 36, 244.12 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:37.871, 6, P0, 33, 242.36 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 10:00:37.871, 7, P0, 37, 243.18 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
