timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/31 09:50:40.368, 0, P0, 36, 242.71 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:40.370, 1, P0, 33, 240.21 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:40.371, 2, P0, 36, 236.75 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:40.373, 3, P0, 32, 239.30 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:40.375, 4, P0, 33, 235.67 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:40.376, 5, P0, 36, 244.17 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:40.378, 6, P0, 33, 242.34 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:40.379, 7, P0, 37, 243.21 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:41.381, 0, P0, 36, 243.01 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:41.381, 1, P0, 33, 240.34 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:41.381, 2, P0, 36, 236.78 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:41.381, 3, P0, 33, 239.19 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:41.381, 4, P0, 33, 235.68 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:41.381, 5, P0, 36, 244.15 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:41.381, 6, P0, 33, 242.34 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:41.381, 7, P0, 37, 243.29 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:42.381, 0, P0, 36, 242.99 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:42.381, 1, P0, 33, 240.41 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:42.381, 2, P0, 36, 236.72 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:42.381, 3, P0, 32, 239.24 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:42.381, 4, P0, 33, 235.66 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:42.381, 5, P0, 36, 244.16 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:42.381, 6, P0, 33, 242.34 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:42.381, 7, P0, 37, 243.26 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:43.381, 0, P0, 36, 243.43 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:43.382, 1, P0, 33, 240.62 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:43.382, 2, P0, 36, 236.88 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:43.382, 3, P0, 32, 239.31 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:43.382, 4, P0, 33, 235.66 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:43.382, 5, P0, 36, 244.18 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:43.382, 6, P0, 33, 242.28 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:43.382, 7, P0, 37, 243.25 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:44.382, 0, P0, 36, 243.16 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:44.382, 1, P0, 33, 240.51 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:44.382, 2, P0, 36, 236.87 W, 1965 MHz, 3996 MHz, 0 %, 777 MiB
2026/07/31 09:50:44.382, 3, P0, 32, 239.40 W, 1965 MHz, 3996 MHz, 3 %, 771 MiB
2026/07/31 09:50:44.382, 4, P0, 33, 235.64 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:44.382, 5, P0, 36, 244.18 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:44.382, 6, P0, 33, 242.30 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:44.382, 7, P0, 37, 243.24 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:45.382, 0, P0, 36, 243.22 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:45.382, 1, P0, 33, 240.46 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:45.382, 2, P0, 36, 236.71 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 09:50:45.382, 3, P0, 32, 239.30 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 09:50:45.382, 4, P0, 33, 235.64 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:45.382, 5, P0, 36, 244.20 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:45.382, 6, P0, 33, 242.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:45.382, 7, P0, 37, 243.19 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:46.382, 0, P0, 36, 243.10 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:46.382, 1, P0, 33, 240.46 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:46.382, 2, P0, 36, 236.29 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 09:50:46.382, 3, P0, 32, 238.77 W, 1965 MHz, 3996 MHz, 0 %, 1851 MiB
2026/07/31 09:50:46.382, 4, P0, 33, 235.68 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:46.383, 5, P0, 36, 244.14 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:46.383, 6, P0, 33, 242.33 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:46.383, 7, P0, 37, 243.22 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:47.383, 0, P0, 36, 243.20 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:47.383, 1, P0, 33, 240.46 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:47.383, 2, P0, 36, 236.32 W, 1965 MHz, 3996 MHz, 0 %, 16961 MiB
2026/07/31 09:50:47.383, 3, P0, 33, 238.90 W, 1965 MHz, 3996 MHz, 1 %, 16961 MiB
2026/07/31 09:50:47.383, 4, P0, 33, 235.66 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:47.383, 5, P0, 36, 244.23 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:47.383, 6, P0, 33, 242.34 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:47.383, 7, P0, 37, 243.25 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 09:50:48.383, 0, P0, 36, 243.07 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:48.383, 1, P0, 33, 240.47 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 09:50:48.383, 2, P0, 36, 237.58 W, 1965 MHz, 3996 MHz, 17 %, 16961 MiB
