scope,model,samples,mape,median_ape,p95_ape,mae_us,rmse_us,r2
test_all,total_bytes_only,21,0.151378934531755,0.14928137652252305,0.31344425723918906,1642.8543632036565,3374.7011169245184,0.9079703223211391
test_all,three_hard_bins,21,0.0922562857102707,0.08080906309544453,0.260451755661263,1254.998749722196,2952.957171948775,0.9295353065370534
test_all,continuous_histogram,21,0.037713145694250126,0.02612321523122915,0.13432038069888366,587.9159381169567,1245.5068937807123,0.9874642725316426
test_all,continuous_histogram_dnn_residual,21,0.03272323452988002,0.006677026779862863,0.19340744056164796,877.2669174655755,2277.787006114019,0.958073993938582
test_stable_iqr_le_20pct,total_bytes_only,21,0.151378934531755,0.14928137652252305,0.31344425723918906,1642.8543632036565,3374.7011169245184,0.9079703223211391
test_stable_iqr_le_20pct,three_hard_bins,21,0.0922562857102707,0.08080906309544453,0.260451755661263,1254.998749722196,2952.957171948775,0.9295353065370534
test_stable_iqr_le_20pct,continuous_histogram,21,0.037713145694250126,0.02612321523122915,0.13432038069888366,587.9159381169567,1245.5068937807123,0.9874642725316426
test_stable_iqr_le_20pct,continuous_histogram_dnn_residual,21,0.03272323452988002,0.006677026779862863,0.19340744056164796,877.2669174655755,2277.787006114019,0.958073993938582
test_prefill,total_bytes_only,18,0.13620124966691916,0.13702960189653257,0.3030328081598888,628.6979815136809,812.2652495192079,0.9886559191572468
test_prefill,three_hard_bins,18,0.07204984788207908,0.07185223403078002,0.12469590445530673,345.6002265585461,438.20842329777247,0.9966983197762439
test_prefill,continuous_histogram,18,0.029905295942985705,0.02318352536955293,0.07397037026249452,240.39771913521022,450.9596307437835,0.9965033762902331
test_prefill,continuous_histogram_dnn_residual,18,0.006244193079164836,0.0039643578348944365,0.017026494011657435,64.7988622057507,153.02127095565334,0.999597396843762
test_decode,total_bytes_only,3,0.2424450437207698,0.23832033626069057,0.3059318651413392,7727.792653343508,8704.114221823043,0.030106529959879502
test_decode,three_hard_bins,3,0.21349491267942033,0.260451755661263,0.2779533357387248,6711.389888704096,7738.703553054039,0.2333250152836842
test_decode,continuous_histogram,3,0.08456024420183661,0.09769965885000045,0.13065830851399535,2673.0252520074355,3104.6456200061757,0.8766046080311085
test_decode,continuous_histogram_dnn_residual,3,0.19159748323417114,0.19340744056164796,0.1971613777566322,5752.075249024525,6014.790308927132,0.536856199634625
test_equal_payload,total_bytes_only,11,0.1883259391069977,0.17948051271695536,0.33054945811898784,2559.3194330067813,4583.780157009359,0.8682476759473347
test_equal_payload,three_hard_bins,11,0.11370404632702961,0.11669926022837318,0.27017485570429733,2042.5594516173785,4055.1088389472893,0.8968864463161028
test_equal_payload,continuous_histogram,11,0.03946542669766788,0.021660693056625734,0.11601001977444206,888.0049457559967,1671.990990970833,0.9824701342414754
test_equal_payload,continuous_histogram_dnn_residual,11,0.05542698940854646,0.0034728160618907895,0.19549296122552812,1591.0160926529543,3141.420127840038,0.9381182241534671
test_qwen3-8b,total_bytes_only,7,0.11018977596553385,0.034644072390218265,0.2781069556041479,1145.29987287787,2318.3253561247766,0.9321379299338988
test_qwen3-8b,three_hard_bins,7,0.07143983927362439,0.07540630783094393,0.11570649405707631,610.2374356053084,1009.1234547022785,0.9871421920792874
test_qwen3-8b,continuous_histogram,7,0.048667390682706965,0.03365315726422454,0.11292319931379632,769.3929770490338,1390.865733904658,0.9755742027260899
test_qwen3-8b,continuous_histogram_dnn_residual,7,0.03311627954672606,0.006677026779862863,0.14193200469732034,749.499183726005,1896.0867760245374,0.954606386935567
test_qwen3-8b_prefill,total_bytes_only,6,0.08883468258300774,0.03073612109499417,0.25425026938208567,327.9616907247325,413.93362220098936,0.996108962610556
