timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/08/04 16:15:17.221, 0, P0, 36, 243.36 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:15:17.223, 1, P0, 33, 240.50 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:15:17.226, 2, P0, 36, 236.97 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:15:17.228, 3, P0, 33, 239.28 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:15:17.231, 4, P0, 34, 235.81 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:15:17.233, 5, P0, 36, 244.37 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:15:17.236, 6, P0, 33, 242.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:15:17.238, 7, P0, 37, 243.32 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:15:18.240, 0, P0, 36, 243.44 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:15:18.240, 1, P0, 33, 240.55 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:15:18.240, 2, P0, 36, 236.95 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:15:18.240, 3, P0, 33, 239.61 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:15:18.240, 4, P0, 33, 235.81 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:15:18.240, 5, P0, 36, 244.33 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:15:18.240, 6, P0, 33, 242.40 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:15:18.240, 7, P0, 37, 243.27 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:15:19.241, 0, P0, 36, 243.54 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
