timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/08/04 16:05:50.654, 0, P0, 36, 242.98 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:50.657, 1, P0, 33, 240.20 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:50.659, 2, P0, 36, 236.61 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:50.662, 3, P0, 33, 239.17 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:50.664, 4, P0, 33, 235.75 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:50.666, 5, P0, 36, 244.20 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:50.669, 6, P0, 33, 242.38 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:50.671, 7, P0, 37, 243.24 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:51.673, 0, P0, 36, 243.07 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:51.674, 1, P0, 33, 240.45 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:51.674, 2, P0, 36, 236.72 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:51.674, 3, P0, 33, 239.26 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:51.674, 4, P0, 33, 235.82 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:51.674, 5, P0, 36, 244.22 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:51.674, 6, P0, 33, 242.31 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:51.674, 7, P0, 37, 243.28 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:52.674, 0, P0, 36, 243.07 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:52.674, 1, P0, 33, 240.46 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:52.674, 2, P0, 36, 236.72 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:52.674, 3, P0, 33, 239.24 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:52.674, 4, P0, 33, 235.71 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:52.674, 5, P0, 36, 244.22 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:52.674, 6, P0, 33, 242.36 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:52.674, 7, P0, 37, 243.21 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:53.674, 0, P0, 36, 243.44 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 16:05:53.679, 1, P0, 33, 240.73 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 16:05:53.690, 2, P0, 36, 236.99 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 16:05:53.691, 3, P0, 33, 239.37 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 16:05:53.692, 4, P0, 33, 235.72 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:53.692, 5, P0, 36, 244.19 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:53.693, 6, P0, 33, 242.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:53.740, 7, P0, 37, 243.30 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:54.751, 0, P0, 36, 243.19 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 16:05:54.751, 1, P0, 33, 240.54 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 16:05:54.752, 2, P0, 36, 236.79 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 16:05:54.752, 3, P0, 33, 239.53 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 16:05:54.752, 4, P0, 33, 235.74 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:54.752, 5, P0, 36, 244.28 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:54.752, 6, P0, 33, 242.38 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:54.752, 7, P0, 37, 243.27 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:05:55.752, 0, P0, 36, 243.08 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 16:05:55.752, 1, P0, 33, 240.49 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 16:05:55.752, 2, P0, 36, 236.75 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 16:05:55.752, 3, P0, 33, 239.33 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
