timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/08/04 16:37:31.880, 0, P0, 35, 242.60 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:37:31.882, 1, P0, 33, 239.97 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:37:31.885, 2, P0, 36, 236.40 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:37:31.888, 3, P0, 32, 238.95 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:37:31.890, 4, P0, 33, 236.17 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:37:31.893, 5, P0, 36, 244.70 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:37:31.895, 6, P0, 33, 242.74 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:37:31.897, 7, P0, 37, 243.78 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:37:32.900, 0, P0, 35, 242.93 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:37:32.900, 1, P0, 33, 240.07 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:37:32.900, 2, P0, 36, 236.48 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:37:32.900, 3, P0, 32, 239.15 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:37:32.900, 4, P0, 33, 236.16 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:37:32.900, 5, P0, 36, 244.71 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:37:32.900, 6, P0, 33, 243.03 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:37:32.900, 7, P0, 37, 243.81 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:37:33.900, 0, P0, 35, 242.93 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
