timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/08/04 16:33:13.715, 0, P0, 36, 242.93 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:13.717, 1, P0, 33, 240.27 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:13.718, 2, P0, 36, 236.67 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:13.720, 3, P0, 32, 239.17 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:13.722, 4, P0, 33, 236.40 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:13.723, 5, P0, 36, 244.91 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:13.724, 6, P0, 33, 243.12 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:13.727, 7, P0, 37, 243.84 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:14.729, 0, P0, 36, 242.97 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:14.729, 1, P0, 33, 240.30 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:14.729, 2, P0, 36, 236.62 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:14.729, 3, P0, 32, 239.21 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:14.729, 4, P0, 33, 236.33 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:14.729, 5, P0, 36, 244.81 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:14.729, 6, P0, 33, 243.11 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:14.729, 7, P0, 37, 243.89 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:15.729, 0, P0, 36, 242.95 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:15.730, 1, P0, 33, 240.28 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:15.730, 2, P0, 36, 236.62 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:15.730, 3, P0, 32, 239.16 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:15.730, 4, P0, 33, 236.30 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:15.730, 5, P0, 36, 244.87 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:15.730, 6, P0, 33, 243.11 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:15.730, 7, P0, 37, 243.84 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 16:33:16.730, 0, P0, 36, 243.26 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 16:33:16.730, 1, P0, 33, 240.50 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 16:33:16.730, 2, P0, 36, 236.87 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 16:33:16.730, 3, P0, 32, 239.25 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/04 16:33:16.730, 4, P0, 33, 236.40 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/04 16:33:16.730, 5, P0, 36, 244.84 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/04 16:33:16.730, 6, P0, 33, 243.08 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/04 16:33:16.730, 7, P0, 37, 243.92 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/04 16:33:17.730, 0, P0, 36, 243.23 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 16:33:17.756, 1, P0, 33, 240.43 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
