timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/08/04 15:57:04.285, 0, P0, 36, 243.03 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:04.288, 1, P0, 33, 240.01 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:04.291, 2, P0, 36, 236.49 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:04.293, 3, P0, 32, 238.96 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:04.296, 4, P0, 33, 235.65 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:04.298, 5, P0, 36, 244.07 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:04.300, 6, P0, 33, 242.19 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:04.303, 7, P0, 37, 243.14 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:05.305, 0, P0, 36, 243.13 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:05.305, 1, P0, 33, 240.37 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:05.305, 2, P0, 36, 236.70 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:05.305, 3, P0, 32, 239.18 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:05.305, 4, P0, 33, 235.51 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:05.305, 5, P0, 36, 244.10 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:05.305, 6, P0, 33, 242.24 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:05.305, 7, P0, 37, 243.19 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:06.305, 0, P0, 36, 243.05 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:06.305, 1, P0, 33, 240.34 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:06.305, 2, P0, 36, 236.66 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:06.305, 3, P0, 32, 239.16 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:06.306, 4, P0, 33, 235.58 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:06.306, 5, P0, 36, 244.12 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:06.306, 6, P0, 33, 242.27 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:06.306, 7, P0, 37, 243.16 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/04 15:57:07.306, 0, P0, 36, 243.28 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:07.336, 1, P0, 33, 240.51 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:07.336, 2, P0, 36, 236.89 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:07.336, 3, P0, 32, 239.24 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/04 15:57:07.336, 4, P0, 33, 235.62 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/04 15:57:07.337, 5, P0, 36, 244.11 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/04 15:57:07.337, 6, P0, 33, 242.30 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/04 15:57:07.337, 7, P0, 37, 243.11 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/04 15:57:08.337, 0, P0, 36, 243.23 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:08.372, 1, P0, 33, 240.48 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:08.374, 2, P0, 36, 236.80 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:08.375, 3, P0, 32, 239.44 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:08.386, 4, P0, 33, 235.95 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:08.387, 5, P0, 36, 244.20 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:08.387, 6, P0, 33, 242.32 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/04 15:57:08.387, 7, P0, 37, 243.06 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/04 15:57:09.387, 0, P0, 36, 243.19 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:09.437, 1, P0, 33, 240.46 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:09.437, 2, P0, 36, 236.80 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:09.437, 3, P0, 32, 239.37 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:09.437, 4, P0, 33, 235.71 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:09.438, 5, P0, 36, 244.57 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:09.438, 6, P0, 33, 242.64 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:09.438, 7, P0, 37, 243.07 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/04 15:57:10.438, 0, P0, 36, 243.21 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:10.438, 1, P0, 33, 240.46 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:10.438, 2, P0, 36, 236.76 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:10.438, 3, P0, 32, 239.29 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:10.438, 4, P0, 33, 235.81 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:10.438, 5, P0, 36, 244.28 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:10.438, 6, P0, 33, 242.45 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:10.438, 7, P0, 37, 243.65 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:11.438, 0, P0, 36, 243.16 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:11.438, 1, P0, 33, 240.45 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:11.438, 2, P0, 36, 236.72 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:11.438, 3, P0, 32, 239.24 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:11.438, 4, P0, 33, 235.66 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:11.438, 5, P0, 36, 244.14 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:11.438, 6, P0, 33, 242.37 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:11.438, 7, P0, 37, 243.27 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:12.438, 0, P0, 36, 243.12 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:12.438, 1, P0, 33, 240.41 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:12.438, 2, P0, 36, 236.72 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:12.438, 3, P0, 32, 239.23 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:12.439, 4, P0, 33, 235.62 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:12.439, 5, P0, 36, 244.16 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:12.439, 6, P0, 33, 242.33 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:12.439, 7, P0, 37, 243.18 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:13.439, 0, P0, 36, 243.09 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:13.439, 1, P0, 33, 240.33 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:13.439, 2, P0, 36, 236.74 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:13.439, 3, P0, 32, 239.21 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:13.439, 4, P0, 33, 235.75 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:13.439, 5, P0, 36, 244.26 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:13.439, 6, P0, 33, 242.27 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:13.439, 7, P0, 37, 243.20 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:14.439, 0, P0, 36, 243.07 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:14.439, 1, P0, 33, 240.34 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/04 15:57:14.439, 2, P0, 36, 236.75 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
