workload_id,fold,model,phase,mode,case_label,tp_variants_kept_together
qwen3-30b-a3b-chunk-c1024-b1-l1023-m8,0,qwen3-30b-a3b,prefill,chunked_prefill,c1024,"2,4,8"
qwen3-30b-a3b-chunk-c1024-b1-l1024-m8,1,qwen3-30b-a3b,prefill,chunked_prefill,c1024,"2,4,8"
qwen3-30b-a3b-chunk-c1024-b1-l1025-m8,2,qwen3-30b-a3b,prefill,chunked_prefill,c1024,"2,4,8"
qwen3-30b-a3b-chunk-c1024-b4-l1023-m8,3,qwen3-30b-a3b,prefill,chunked_prefill,c1024,"2,4,8"
qwen3-30b-a3b-chunk-c1024-b4-l1024-m8,4,qwen3-30b-a3b,prefill,chunked_prefill,c1024,"2,4,8"
qwen3-30b-a3b-chunk-c1024-b4-l1025-m8,5,qwen3-30b-a3b,prefill,chunked_prefill,c1024,"2,4,8"
qwen3-30b-a3b-chunk-c4096-b1-l4095-m8,0,qwen3-30b-a3b,prefill,chunked_prefill,c4096,"2,4,8"
qwen3-30b-a3b-chunk-c4096-b1-l4096-m8,1,qwen3-30b-a3b,prefill,chunked_prefill,c4096,"2,4,8"
qwen3-30b-a3b-chunk-c4096-b1-l4097-m8,2,qwen3-30b-a3b,prefill,chunked_prefill,c4096,"2,4,8"
qwen3-30b-a3b-chunk-c4096-b4-l4095-m8,3,qwen3-30b-a3b,prefill,chunked_prefill,c4096,"2,4,8"
qwen3-30b-a3b-chunk-c4096-b4-l4096-m8,4,qwen3-30b-a3b,prefill,chunked_prefill,c4096,"2,4,8"
qwen3-30b-a3b-chunk-c4096-b4-l4097-m8,5,qwen3-30b-a3b,prefill,chunked_prefill,c4096,"2,4,8"
qwen3-30b-a3b-mixed-balanced,0,qwen3-30b-a3b,decode,mixed_same_coarse,balanced,"2,4,8"
qwen3-30b-a3b-mixed-bimodal,2,qwen3-30b-a3b,decode,mixed_same_coarse,bimodal,"2,4,8"
qwen3-30b-a3b-mixed-staircase,4,qwen3-30b-a3b,decode,mixed_same_coarse,staircase,"2,4,8"
qwen3-8b-chunk-c1024-b1-l1023-m8,0,qwen3-8b,prefill,chunked_prefill,c1024,"2,4,8"
qwen3-8b-chunk-c1024-b1-l1024-m8,1,qwen3-8b,prefill,chunked_prefill,c1024,"2,4,8"
qwen3-8b-chunk-c1024-b1-l1025-m8,2,qwen3-8b,prefill,chunked_prefill,c1024,"2,4,8"
qwen3-8b-chunk-c1024-b4-l1023-m8,3,qwen3-8b,prefill,chunked_prefill,c1024,"2,4,8"
qwen3-8b-chunk-c1024-b4-l1024-m8,4,qwen3-8b,prefill,chunked_prefill,c1024,"2,4,8"
qwen3-8b-chunk-c1024-b4-l1025-m8,5,qwen3-8b,prefill,chunked_prefill,c1024,"2,4,8"
qwen3-8b-chunk-c4096-b1-l4095-m8,0,qwen3-8b,prefill,chunked_prefill,c4096,"2,4,8"
qwen3-8b-chunk-c4096-b1-l4096-m8,1,qwen3-8b,prefill,chunked_prefill,c4096,"2,4,8"
qwen3-8b-chunk-c4096-b1-l4097-m8,2,qwen3-8b,prefill,chunked_prefill,c4096,"2,4,8"
qwen3-8b-chunk-c4096-b4-l4095-m8,3,qwen3-8b,prefill,chunked_prefill,c4096,"2,4,8"
qwen3-8b-chunk-c4096-b4-l4096-m8,4,qwen3-8b,prefill,chunked_prefill,c4096,"2,4,8"
qwen3-8b-chunk-c4096-b4-l4097-m8,5,qwen3-8b,prefill,chunked_prefill,c4096,"2,4,8"
qwen3-8b-mixed-balanced,1,qwen3-8b,decode,mixed_same_coarse,balanced,"2,4,8"
qwen3-8b-mixed-bimodal,3,qwen3-8b,decode,mixed_same_coarse,bimodal,"2,4,8"
qwen3-8b-mixed-staircase,5,qwen3-8b,decode,mixed_same_coarse,staircase,"2,4,8"
