evaluation,scope,method,samples,mape,median_ape,p95_ape,mae_us,rmse_us,r2
workload_cv,all,pattern_demand_only,90,0.1849512862639075,0.18139488448606444,0.41553791673656304,2307.090283849257,3615.609166169438,0.940760292064092
workload_cv,prefill,pattern_demand_only,72,0.1934606921853504,0.19048024534965025,0.4134235335292473,1612.8588104316996,2415.8514355933294,0.9122313767212553
workload_cv,decode,pattern_demand_only,18,0.15091366257813593,0.10976356397426874,0.3727630038120355,5084.0161775194865,6482.113511580071,0.5195591166038874
workload_cv,tp2,pattern_demand_only,30,0.2456499999064468,0.24539568381109753,0.39903249858150497,2813.3169172857392,4361.9776155121435,0.8857734668468762
workload_cv,tp4,pattern_demand_only,30,0.10278989409361888,0.04922577367272464,0.33697004173305994,1244.6636780295914,2326.5211537855116,0.9760609771326303
workload_cv,tp8,pattern_demand_only,30,0.20641396479165686,0.19327752578453414,0.4306523370013794,2863.29025623244,3844.2605960346796,0.942268679582092
workload_cv,qwen3-8b,pattern_demand_only,45,0.17880486043012453,0.17348844038391958,0.34434055391288015,2616.7536204506396,4091.2376806426482,0.875237506184925
workload_cv,qwen3-30b-a3b,pattern_demand_only,45,0.19109771209769047,0.18159287167564814,0.4255155259108844,1997.426947247874,3067.088770392322,0.9693616391870731
leave_one_model_out,all,pattern_demand_only,90,0.3416968357804104,0.2889266314938831,0.864469752248929,4499.346717837389,6719.053436832353,0.795418602314696
leave_one_model_out,qwen3-8b,pattern_demand_only,45,0.37020025876480794,0.3556030826847469,0.9331520651207728,4855.202082703937,6707.594253836576,0.664642368359011
leave_one_model_out,qwen3-8b_prefill,pattern_demand_only,36,0.39195440286234506,0.3772399513638037,0.9609088310970538,3657.637374244032,5035.861408050391,0.660526048480314
leave_one_model_out,qwen3-8b_decode,pattern_demand_only,9,0.28318368237465924,0.30445337302037817,0.45775043618216105,9645.460916543554,11113.932827138295,-3.3487164591730743
leave_one_model_out,qwen3-30b-a3b,pattern_demand_only,45,0.31319341279601304,0.2701779579862525,0.8111263321467832,4143.491352970843,6730.493109714612,0.8524610791676455
leave_one_model_out,qwen3-30b-a3b_prefill,pattern_demand_only,36,0.32303774572523725,0.18241065147830443,0.8149750142607664,1819.6671374807581,2844.1994840804236,0.845879821702989
leave_one_model_out,qwen3-30b-a3b_decode,pattern_demand_only,9,0.2738160810791158,0.29585296342606193,0.33592954280334175,13438.788214931184,13933.406068819137,-14.703587165765748
workload_cv,all,pattern_demand_plus_tp,90,0.13794646288383344,0.07014302729362337,0.4693891843982251,2125.7753320921324,4457.306260945267,0.9099684137244258
workload_cv,prefill,pattern_demand_plus_tp,72,0.1330538877800236,0.06970672547049327,0.37269173805004996,1214.501884381468,2215.408781503871,0.92619146508172
workload_cv,decode,pattern_demand_plus_tp,18,0.15751676329907288,0.07087174256402576,0.6378472868343054,5770.86912293479,8927.807751214825,0.08862659230690906
workload_cv,tp2,pattern_demand_plus_tp,30,0.13306474011451144,0.0687576350337574,0.4281671656578514,1681.414731738547,3662.1473763955837,0.9194859327259267
workload_cv,tp4,pattern_demand_plus_tp,30,0.11947244052826005,0.039110374657818456,0.3770480166340519,1797.3469862617899,4222.792606760391,0.9211336188610295
workload_cv,tp8,pattern_demand_plus_tp,30,0.16130220800872888,0.10270042778979918,0.504707418613121,2898.56427827606,5325.357875808381,0.8892143659023357
workload_cv,qwen3-8b,pattern_demand_plus_tp,45,0.115472544031264,0.06940228229194605,0.5199494324841409,2366.7849166818683,5498.732701822243,0.7746280598440901
workload_cv,qwen3-30b-a3b,pattern_demand_plus_tp,45,0.16042038173640294,0.08343510181693958,0.41171837404114753,1884.7657475023962,3082.0604928577263,0.969061792235717
leave_one_model_out,all,pattern_demand_plus_tp,90,0.3197601437017353,0.292061577725249,0.7321870463840491,4225.591686106276,6140.397680836911,0.8291389978839206
leave_one_model_out,qwen3-8b,pattern_demand_plus_tp,45,0.3449309635228587,0.3636049820289548,0.6411214287871607,4655.2001076785355,6096.387573141204,0.7229744892974568
leave_one_model_out,qwen3-8b_prefill,pattern_demand_plus_tp,36,0.36073198171809834,0.3782444222222302,0.6646851329878819,3526.002661367661,4678.028603163313,0.7070559626369559
leave_one_model_out,qwen3-8b_decode,pattern_demand_plus_tp,9,0.28172689074190055,0.3163567175952443,0.3731658667970903,9171.989892922033,9914.328053967956,-2.4606057674368174
leave_one_model_out,qwen3-30b-a3b,pattern_demand_plus_tp,45,0.2945893238806117,0.21949294872434905,0.832864021110912,3795.9832645340157,6184.0945914259855,0.8754438768171257
leave_one_model_out,qwen3-30b-a3b_prefill,pattern_demand_plus_tp,36,0.30029547805527196,0.20948358395013522,0.9180458602350798,1519.032313220323,1959.3751977051274,0.9268566901745083
leave_one_model_out,qwen3-30b-a3b_decode,pattern_demand_plus_tp,9,0.2717647071819708,0.2699228148097793,0.38888620543769464,12903.787069788788,13261.166046656403,-13.224850382685629
workload_cv,all,pattern_demand_plus_phase,90,0.19047608441609526,0.1726133227664784,0.4282045142238551,2460.992631227236,3878.802746355113,0.9318218299776332
workload_cv,prefill,pattern_demand_plus_phase,72,0.19704846386339675,0.19279456937607975,0.4274999817911083,1687.870363793403,2498.100731159085,0.9061533591564205
workload_cv,decode,pattern_demand_plus_phase,18,0.16418656662688924,0.13020544085766095,0.4299910547969907,5553.481700962567,7089.677332120949,0.42527560370170303
workload_cv,tp2,pattern_demand_plus_phase,30,0.24148276385618955,0.22712080995485162,0.3887490504557577,2803.8058532670675,4592.456730120786,0.8733835079904205
workload_cv,tp4,pattern_demand_plus_phase,30,0.11360718328276717,0.05890891515928476,0.3618778038358199,1485.028930568286,2702.56562490837,0.9676968476852629
workload_cv,tp8,pattern_demand_plus_phase,30,0.21633830610932897,0.20213080789313628,0.4373350046756054,3094.143109846354,4091.553795372588,0.9346023139993214
workload_cv,qwen3-8b,pattern_demand_plus_phase,45,0.1850804142454887,0.16591500023315153,0.3467866450902264,2808.2989842754687,4430.11021682988,0.853713688966997
workload_cv,qwen3-30b-a3b,pattern_demand_plus_phase,45,0.19587175458670178,0.183389827253811,0.4318327049129711,2113.686278179003,3234.8639781300603,0.9659180148985705
leave_one_model_out,all,pattern_demand_plus_phase,90,0.3503397641235362,0.2796854025696671,1.0899925451006804,4323.900293810599,6587.674283605985,0.803340836571634
leave_one_model_out,qwen3-8b,pattern_demand_plus_phase,45,0.3588610868342348,0.2798785525800065,0.965220741528198,4311.473060646838,5845.190898811753,0.7453333797488393
leave_one_model_out,qwen3-8b_prefill,pattern_demand_plus_phase,36,0.39776188438832455,0.39050307706945353,0.9867594442868396,3645.8103457788675,4988.580029480522,0.6668707212879262
leave_one_model_out,qwen3-8b_decode,pattern_demand_plus_phase,9,0.20325789661787583,0.20476228997493867,0.3691720880579427,6974.123920118725,8443.196099560353,-1.5098011236781117
leave_one_model_out,qwen3-30b-a3b,pattern_demand_plus_phase,45,0.3418184414128375,0.2794922525593277,1.153700098325193,4336.327526974358,7254.560516682973,0.8285904359703814
leave_one_model_out,qwen3-30b-a3b_prefill,pattern_demand_plus_phase,36,0.3507123182935244,0.24054781792999874,1.1582802996460386,1671.4535354559616,2533.315742401917,0.8777305271085661
leave_one_model_out,qwen3-30b-a3b_decode,pattern_demand_plus_phase,9,0.3062429338900897,0.33243984086321704,0.3590358412814068,14995.823493047941,15410.142337054258,-18.20868264427564
workload_cv,all,pattern_demand_plus_tp_phase,90,0.11818892551410003,0.061564156180046944,0.38260789546491625,1558.7450208743844,2983.5700304130314,0.9596612512062067
workload_cv,prefill,pattern_demand_plus_tp_phase,72,0.11857566568813185,0.06123091876467415,0.34285247773859245,901.6597247079859,1580.8773147901056,0.9624166772067974
workload_cv,decode,pattern_demand_plus_tp_phase,18,0.11664196481797268,0.066234672098711,0.4312776506749475,4187.086205539979,5874.670909440135,0.6053848276728289
workload_cv,tp2,pattern_demand_plus_tp_phase,30,0.1177827436898143,0.06560100753747511,0.4176575494115323,1348.1744954930084,2761.8011713835526,0.9542084915977316
workload_cv,tp4,pattern_demand_plus_tp_phase,30,0.09780494148433316,0.03709898205821284,0.38030101880636646,1194.2767130912475,2740.9185720961946,0.9667734939357533
workload_cv,tp8,pattern_demand_plus_tp_phase,30,0.1389790913681526,0.0860398330552672,0.33768583584289297,2133.7838540388975,3400.719048968768,0.9548219627983223
workload_cv,qwen3-8b,pattern_demand_plus_tp_phase,45,0.08743974801748387,0.06102985691023135,0.28066630151124633,1606.5052323968926,3468.5092621324734,0.9103272800429675
workload_cv,qwen3-30b-a3b,pattern_demand_plus_tp_phase,45,0.14893810301071617,0.07569062004674534,0.39939694174233387,1510.9848093518765,2402.6701295140115,0.981198126218889
leave_one_model_out,all,pattern_demand_plus_tp_phase,90,0.3121334050734321,0.20842712265069385,0.7493740216486127,3940.5899408283,6104.809306028565,0.8311138029726816
leave_one_model_out,qwen3-8b,pattern_demand_plus_tp_phase,45,0.3316876765580098,0.3307633586207885,0.6491491000049955,4140.6959412290125,5399.376973758309,0.782698899333063
leave_one_model_out,qwen3-8b_prefill,pattern_demand_plus_tp_phase,36,0.36548736283319616,0.3953013540568052,0.6645363425822097,3526.5180092723026,4626.611573972569,0.7134601713923175
leave_one_model_out,qwen3-8b_decode,pattern_demand_plus_tp_phase,9,0.19648893145726395,0.1844836303995527,0.3362161411229302,6597.40766905585,7755.270459377253,-1.1174806640538222
leave_one_model_out,qwen3-30b-a3b,pattern_demand_plus_tp_phase,45,0.29257913358885457,0.1306239248654519,1.1654458288173888,3740.4839404275867,6736.773828858625,0.8521855918081327
leave_one_model_out,qwen3-30b-a3b_prefill,pattern_demand_plus_tp_phase,36,0.28956789893920715,0.10937230343905721,1.2631352374940321,1051.67466307498,1496.7287356314098,0.9573198841467374
leave_one_model_out,qwen3-30b-a3b_decode,pattern_demand_plus_tp_phase,9,0.30462407218744436,0.30298970054621543,0.4099518454563234,14495.721049838017,14763.462347082183,-16.630341418700294
