timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/08/05 07:47:44.222, 0, P0, 36, 243.31 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:44.224, 1, P0, 33, 240.42 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:44.227, 2, P0, 36, 236.71 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:44.230, 3, P0, 33, 239.16 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:44.232, 4, P0, 33, 235.64 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:44.234, 5, P0, 36, 244.10 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:44.237, 6, P0, 33, 242.37 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:44.240, 7, P0, 37, 243.21 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:45.242, 0, P0, 36, 243.30 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:45.242, 1, P0, 33, 240.47 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:45.242, 2, P0, 36, 236.74 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:45.242, 3, P0, 33, 239.23 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:45.243, 4, P0, 33, 235.70 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:45.243, 5, P0, 36, 244.15 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:45.243, 6, P0, 33, 242.36 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:45.243, 7, P0, 37, 243.25 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:46.244, 0, P0, 36, 243.15 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:46.244, 1, P0, 33, 240.46 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:46.244, 2, P0, 36, 236.74 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:46.244, 3, P0, 33, 239.23 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:46.244, 4, P0, 33, 235.61 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:46.244, 5, P0, 36, 244.05 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:46.244, 6, P0, 33, 242.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:46.244, 7, P0, 37, 243.24 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:47.244, 0, P0, 36, 243.60 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 07:47:47.272, 1, P0, 33, 240.72 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 07:47:47.283, 2, P0, 36, 237.04 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 07:47:47.283, 3, P0, 33, 239.35 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 07:47:47.283, 4, P0, 33, 235.61 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:47.283, 5, P0, 36, 244.17 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:47.283, 6, P0, 33, 242.29 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:47.283, 7, P0, 37, 243.23 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:48.283, 0, P0, 36, 243.32 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 07:47:48.283, 1, P0, 33, 240.50 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 07:47:48.283, 2, P0, 36, 236.79 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 07:47:48.283, 3, P0, 33, 239.42 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 07:47:48.283, 4, P0, 33, 235.60 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:48.283, 5, P0, 36, 244.13 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:48.283, 6, P0, 33, 242.34 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:48.283, 7, P0, 37, 243.17 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:49.284, 0, P0, 36, 243.27 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 07:47:49.284, 1, P0, 33, 240.46 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 07:47:49.284, 2, P0, 36, 236.72 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 07:47:49.284, 3, P0, 33, 239.17 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 07:47:49.284, 4, P0, 33, 235.59 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:49.284, 5, P0, 36, 244.16 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:49.284, 6, P0, 33, 242.34 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:49.284, 7, P0, 37, 243.12 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:50.284, 0, P0, 36, 243.21 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 07:47:50.284, 1, P0, 33, 240.49 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 07:47:50.284, 2, P0, 36, 236.71 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 07:47:50.284, 3, P0, 33, 239.20 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 07:47:50.284, 4, P0, 33, 235.58 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:50.284, 5, P0, 36, 244.18 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:50.284, 6, P0, 33, 242.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:50.284, 7, P0, 37, 243.12 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 07:47:51.284, 0, P0, 36, 243.20 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 07:47:51.284, 1, P0, 33, 240.48 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
