timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/08/05 06:30:59.237, 0, P0, 36, 242.99 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:30:59.240, 1, P0, 33, 240.41 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:30:59.243, 2, P0, 36, 236.57 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:30:59.245, 3, P0, 33, 239.23 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:30:59.248, 4, P0, 34, 235.84 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:30:59.250, 5, P0, 36, 244.54 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:30:59.252, 6, P0, 33, 242.28 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:30:59.255, 7, P0, 37, 243.31 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:00.257, 0, P0, 36, 243.15 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:00.257, 1, P0, 33, 240.43 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:00.257, 2, P0, 36, 236.74 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:00.257, 3, P0, 33, 239.31 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:00.257, 4, P0, 33, 235.87 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:00.257, 5, P0, 36, 244.51 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:00.257, 6, P0, 33, 242.30 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:00.257, 7, P0, 37, 243.36 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:01.257, 0, P0, 36, 243.16 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:01.257, 1, P0, 33, 240.42 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:01.257, 2, P0, 36, 236.72 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:01.257, 3, P0, 33, 239.23 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:01.257, 4, P0, 34, 235.83 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:01.257, 5, P0, 36, 244.52 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:01.258, 6, P0, 33, 242.32 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:01.258, 7, P0, 37, 243.32 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:02.258, 0, P0, 36, 243.45 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 06:31:02.282, 1, P0, 33, 240.69 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 06:31:02.293, 2, P0, 36, 237.00 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 06:31:02.294, 3, P0, 33, 239.45 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 06:31:02.295, 4, P0, 33, 235.84 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:02.306, 5, P0, 36, 244.49 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:02.317, 6, P0, 33, 242.31 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:02.318, 7, P0, 37, 243.38 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 06:31:03.318, 0, P0, 36, 243.22 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 06:31:03.318, 1, P0, 33, 240.43 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
