workload_id,model,tp,phase,mode,case_label,batch_size,input_len,output_len,output_lens_json,prefill_chunk_size,repeat_count,calls,logical_payload_bytes,calls_by_payload_json,calls_by_op_payload_json,backend_signature,target_post_us,post_repeat_iqr_fraction
deepseek-v2-lite-chunk-c1024-b1-l1023-m8,deepseek-v2-lite,2,prefill,chunked_prefill,c1024,1,1023,8,[8],1024,3,55,230461440,"{""4190208"":55}","{""all_reduce:4190208"":55}",sglang_custom:all_reduce_one_shot_push,850.40283203125,0.008968348525084333
deepseek-v2-lite-chunk-c1024-b1-l1024-m8,deepseek-v2-lite,2,prefill,chunked_prefill,c1024,1,1024,8,[8],1024,3,55,230686720,"{""4194304"":55}","{""all_reduce:4194304"":55}",sglang_custom:all_reduce_one_shot_push,845.8720703125,0.008520526499902445
deepseek-v2-lite-chunk-c1024-b1-l1025-m8,deepseek-v2-lite,2,prefill,chunked_prefill,c1024,1,1025,8,[8],1024,3,110,230912000,"{""4096"":55,""4194304"":55}","{""all_reduce:4096"":55,""all_reduce:4194304"":55}",sglang_custom:all_reduce_one_shot_push,1144.5927734375,0.01578669405996094
deepseek-v2-lite-chunk-c1024-b4-l1023-m8,deepseek-v2-lite,2,prefill,chunked_prefill,c1024,4,1023,8,"[8,8,8,8]",1024,3,55,921845760,"{""16760832"":55}","{""all_reduce:16760832"":55}",sglang_custom:all_reduce_one_shot,2063.7080078125,0.002117841018305093
deepseek-v2-lite-chunk-c1024-b4-l1024-m8,deepseek-v2-lite,2,prefill,chunked_prefill,c1024,4,1024,8,"[8,8,8,8]",1024,3,55,922746880,"{""16777216"":55}","{""all_reduce:16777216"":55}",sglang_custom:all_reduce_one_shot,2063.37939453125,0.00010589708318020654
deepseek-v2-lite-chunk-c1024-b4-l1025-m8,deepseek-v2-lite,2,prefill,chunked_prefill,c1024,4,1025,8,"[8,8,8,8]",1024,3,110,923648000,"{""16384"":55,""16777216"":55}","{""all_reduce:16384"":55,""all_reduce:16777216"":55}",sglang_custom:all_reduce_one_shot+sglang_custom:all_reduce_one_shot_push,2431.26953125,0.0050080936046464925
deepseek-v2-lite-chunk-c4096-b1-l4095-m8,deepseek-v2-lite,2,prefill,chunked_prefill,c4096,1,4095,8,[8],4096,3,55,922521600,"{""16773120"":55}","{""all_reduce:16773120"":55}",sglang_custom:all_reduce_one_shot,2062.8203125,0.008847465923852734
deepseek-v2-lite-chunk-c4096-b1-l4096-m8,deepseek-v2-lite,2,prefill,chunked_prefill,c4096,1,4096,8,[8],4096,3,55,922746880,"{""16777216"":55}","{""all_reduce:16777216"":55}",sglang_custom:all_reduce_one_shot,2059.4599609375,0.007755394196085424
deepseek-v2-lite-chunk-c4096-b1-l4097-m8,deepseek-v2-lite,2,prefill,chunked_prefill,c4096,1,4097,8,[8],4096,3,110,922972160,"{""4096"":55,""16777216"":55}","{""all_reduce:4096"":55,""all_reduce:16777216"":55}",sglang_custom:all_reduce_one_shot+sglang_custom:all_reduce_one_shot_push,2306.1025390625,0.022501862204095877
deepseek-v2-lite-chunk-c4096-b4-l4095-m8,deepseek-v2-lite,2,prefill,chunked_prefill,c4096,4,4095,8,"[8,8,8,8]",4096,3,55,3690086400,"{""67092480"":55}","{""all_reduce:67092480"":55}",nccl:all_reduce,8369.2412109375,0.006543503619501422
deepseek-v2-lite-chunk-c4096-b4-l4096-m8,deepseek-v2-lite,2,prefill,chunked_prefill,c4096,4,4096,8,"[8,8,8,8]",4096,3,55,3690987520,"{""67108864"":55}","{""all_reduce:67108864"":55}",nccl:all_reduce,8366.49267578125,0.0037470140056565155
deepseek-v2-lite-chunk-c4096-b4-l4097-m8,deepseek-v2-lite,2,prefill,chunked_prefill,c4096,4,4097,8,"[8,8,8,8]",4096,3,110,3691888640,"{""16384"":55,""67108864"":55}","{""all_reduce:16384"":55,""all_reduce:67108864"":55}",nccl:all_reduce+sglang_custom:all_reduce_one_shot_push,8703.27783203125,0.007831409827688731
deepseek-v2-lite-mixed-balanced,deepseek-v2-lite,2,decode,mixed_same_coarse,balanced,8,512,64,"[16,16,16,16,32,32,64,64]",0,3,3465,55869440,"{""8192"":1760,""16384"":880,""32768"":825}","{""all_reduce:8192"":1760,""all_reduce:16384"":880,""all_reduce:32768"":825}",sglang_custom:all_reduce_one_shot_push,21891.82373046875,0.03995974747546279
deepseek-v2-lite-mixed-bimodal,deepseek-v2-lite,2,decode,mixed_same_coarse,bimodal,8,512,64,"[8,8,16,16,16,64,64,64]",0,3,3465,55869440,"{""12288"":2640,""24576"":440,""32768"":385}","{""all_reduce:12288"":2640,""all_reduce:24576"":440,""all_reduce:32768"":385}",sglang_custom:all_reduce_one_shot_push,22109.64501953125,0.12779203469533598
deepseek-v2-lite-mixed-long_tail,deepseek-v2-lite,2,decode,mixed_same_coarse,long_tail,8,512,128,"[8,8,8,8,16,32,64,128]",0,3,6985,59473920,"{""4096"":3520,""8192"":1760,""12288"":880,""16384"":440,""32768"":385}","{""all_reduce:4096"":3520,""all_reduce:8192"":1760,""all_reduce:12288"":880,""all_reduce:16384"":440,""all_reduce:32768"":385}",sglang_custom:all_reduce_one_shot_push,35508.650390625,0.0076582076253536155
deepseek-v2-lite-mixed-staircase,deepseek-v2-lite,2,decode,mixed_same_coarse,staircase,8,512,64,"[16,16,16,24,32,40,48,64]",0,3,3465,55869440,"{""4096"":880,""8192"":440,""12288"":440,""16384"":440,""20480"":440,""32768"":825}","{""all_reduce:4096"":880,""all_reduce:8192"":440,""all_reduce:12288"":440,""all_reduce:16384"":440,""all_reduce:20480"":440,""all_reduce:32768"":825}",sglang_custom:all_reduce_one_shot_push,21084.54296875,0.0562051459312889
deepseek-v2-lite-mixed-uniform_b16,deepseek-v2-lite,2,decode,mixed_same_coarse,uniform_b16,16,512,64,"[64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64]",0,3,3465,227082240,"{""65536"":3465}","{""all_reduce:65536"":3465}",sglang_custom:all_reduce_one_shot_push,18331.0322265625,0.008365494241455839
deepseek-v2-lite-mixed-uniform_b4,deepseek-v2-lite,2,decode,mixed_same_coarse,uniform_b4,4,512,64,"[64,64,64,64]",0,3,3465,56770560,"{""16384"":3465}","{""all_reduce:16384"":3465}",sglang_custom:all_reduce_one_shot_push,16919.89208984375,0.013475450825421342
deepseek-v2-lite-chunk-c1024-b1-l1023-m8,deepseek-v2-lite,4,prefill,chunked_prefill,c1024,1,1023,8,[8],1024,3,55,230461440,"{""4190208"":55}","{""all_reduce:4190208"":55}",sglang_custom:all_reduce_two_shot,1199.533203125,0.007717235382904483
deepseek-v2-lite-chunk-c1024-b1-l1024-m8,deepseek-v2-lite,4,prefill,chunked_prefill,c1024,1,1024,8,[8],1024,3,55,230686720,"{""4194304"":55}","{""all_reduce:4194304"":55}",sglang_custom:all_reduce_two_shot,1167.11474609375,0.01830728237327377
deepseek-v2-lite-chunk-c1024-b1-l1025-m8,deepseek-v2-lite,4,prefill,chunked_prefill,c1024,1,1025,8,[8],1024,3,110,230912000,"{""4096"":55,""4194304"":55}","{""all_reduce:4096"":55,""all_reduce:4194304"":55}",sglang_custom:all_reduce_one_shot_push+sglang_custom:all_reduce_two_shot,1477.267578125,0.012584929683048173
deepseek-v2-lite-chunk-c1024-b4-l1023-m8,deepseek-v2-lite,4,prefill,chunked_prefill,c1024,4,1023,8,"[8,8,8,8]",1024,3,55,921845760,"{""16760832"":55}","{""all_reduce:16760832"":55}",sglang_custom:all_reduce_two_shot,2776.5517578125,0.0030578340025935666
deepseek-v2-lite-chunk-c1024-b4-l1024-m8,deepseek-v2-lite,4,prefill,chunked_prefill,c1024,4,1024,8,"[8,8,8,8]",1024,3,55,922746880,"{""16777216"":55}","{""all_reduce:16777216"":55}",sglang_custom:all_reduce_two_shot,2789.97314453125,0.013146355400416357
deepseek-v2-lite-chunk-c1024-b4-l1025-m8,deepseek-v2-lite,4,prefill,chunked_prefill,c1024,4,1025,8,"[8,8,8,8]",1024,3,110,923648000,"{""16384"":55,""16777216"":55}","{""all_reduce:16384"":55,""all_reduce:16777216"":55}",sglang_custom:all_reduce_one_shot_push+sglang_custom:all_reduce_two_shot,3078.63525390625,0.011847417425252318
deepseek-v2-lite-chunk-c4096-b1-l4095-m8,deepseek-v2-lite,4,prefill,chunked_prefill,c4096,1,4095,8,[8],4096,3,55,922521600,"{""16773120"":55}","{""all_reduce:16773120"":55}",sglang_custom:all_reduce_two_shot,2785.61181640625,0.001977236191906198
deepseek-v2-lite-chunk-c4096-b1-l4096-m8,deepseek-v2-lite,4,prefill,chunked_prefill,c4096,1,4096,8,[8],4096,3,55,922746880,"{""16777216"":55}","{""all_reduce:16777216"":55}",sglang_custom:all_reduce_two_shot,2783.5068359375,0.0032850801193273294
deepseek-v2-lite-chunk-c4096-b1-l4097-m8,deepseek-v2-lite,4,prefill,chunked_prefill,c4096,1,4097,8,[8],4096,3,110,922972160,"{""4096"":55,""16777216"":55}","{""all_reduce:4096"":55,""all_reduce:16777216"":55}",sglang_custom:all_reduce_one_shot_push+sglang_custom:all_reduce_two_shot,3098.19580078125,0.0038833872725510454
deepseek-v2-lite-chunk-c4096-b4-l4095-m8,deepseek-v2-lite,4,prefill,chunked_prefill,c4096,4,4095,8,"[8,8,8,8]",4096,3,55,3690086400,"{""67092480"":55}","{""all_reduce:67092480"":55}",nccl:all_reduce,10153.94677734375,0.0019302454311393598
deepseek-v2-lite-chunk-c4096-b4-l4096-m8,deepseek-v2-lite,4,prefill,chunked_prefill,c4096,4,4096,8,"[8,8,8,8]",4096,3,55,3690987520,"{""67108864"":55}","{""all_reduce:67108864"":55}",nccl:all_reduce,10159.982421875,0.0005355243486480257
deepseek-v2-lite-chunk-c4096-b4-l4097-m8,deepseek-v2-lite,4,prefill,chunked_prefill,c4096,4,4097,8,"[8,8,8,8]",4096,3,110,3691888640,"{""16384"":55,""67108864"":55}","{""all_reduce:16384"":55,""all_reduce:67108864"":55}",nccl:all_reduce+sglang_custom:all_reduce_one_shot_push,10541.125,0.0016214858619217588
deepseek-v2-lite-mixed-balanced,deepseek-v2-lite,4,decode,mixed_same_coarse,balanced,8,512,64,"[16,16,16,16,32,32,64,64]",0,3,3465,55869440,"{""8192"":1760,""16384"":880,""32768"":825}","{""all_reduce:8192"":1760,""all_reduce:16384"":880,""all_reduce:32768"":825}",sglang_custom:all_reduce_one_shot_push,22460.607421875,0.01940245904483292
deepseek-v2-lite-mixed-bimodal,deepseek-v2-lite,4,decode,mixed_same_coarse,bimodal,8,512,64,"[8,8,16,16,16,64,64,64]",0,3,3465,55869440,"{""12288"":2640,""24576"":440,""32768"":385}","{""all_reduce:12288"":2640,""all_reduce:24576"":440,""all_reduce:32768"":385}",sglang_custom:all_reduce_one_shot_push,23239.3955078125,0.019085065722810986
