evaluation,outer_id,method,selected_alpha,inner_validation_mape,train_workload_groups,test_workload_groups
workload_cv,fold0,additive_tp_phase,0.1,0.13918500350852758,45,9
workload_cv,fold0,ring_equivalent_pattern,0.01,0.2756085602189614,45,9
workload_cv,fold0,tp_conditioned_pattern,0.1,0.13771047575119835,45,9
workload_cv,fold0,phase_conditioned_pattern,0.1,0.17421214869180415,45,9
workload_cv,fold0,tp_phase_conditioned_pattern,0.1,0.17400055277857893,45,9
workload_cv,fold1,additive_tp_phase,0.1,0.12978172195399648,45,9
workload_cv,fold1,ring_equivalent_pattern,0.01,0.2667073003025141,45,9
workload_cv,fold1,tp_conditioned_pattern,0.1,0.12230153271359726,45,9
workload_cv,fold1,phase_conditioned_pattern,1.0,0.17416907622129296,45,9
workload_cv,fold1,tp_phase_conditioned_pattern,1.0,0.17437823339801298,45,9
workload_cv,fold2,additive_tp_phase,0.1,0.11728431758307825,45,9
workload_cv,fold2,ring_equivalent_pattern,0.01,0.48040262718201104,45,9
workload_cv,fold2,tp_conditioned_pattern,0.1,0.11838689249159143,45,9
workload_cv,fold2,phase_conditioned_pattern,1.0,0.1284020037965914,45,9
workload_cv,fold2,tp_phase_conditioned_pattern,1.0,0.11123675659760322,45,9
workload_cv,fold3,additive_tp_phase,0.1,0.134602507730109,45,9
workload_cv,fold3,ring_equivalent_pattern,0.1,0.24135327279634197,45,9
workload_cv,fold3,tp_conditioned_pattern,0.1,0.13016062499280498,45,9
workload_cv,fold3,phase_conditioned_pattern,1.0,0.1759802205521913,45,9
workload_cv,fold3,tp_phase_conditioned_pattern,1.0,0.17010967556229212,45,9
workload_cv,fold4,additive_tp_phase,0.1,0.11783177673774774,45,9
workload_cv,fold4,ring_equivalent_pattern,0.01,0.17299757066638458,45,9
workload_cv,fold4,tp_conditioned_pattern,0.1,0.1091268384758838,45,9
workload_cv,fold4,phase_conditioned_pattern,1.0,0.1414293856626897,45,9
workload_cv,fold4,tp_phase_conditioned_pattern,1.0,0.13579581112335162,45,9
workload_cv,fold5,additive_tp_phase,0.1,0.1209651422722812,45,9
workload_cv,fold5,ring_equivalent_pattern,0.01,0.4612742789491539,45,9
workload_cv,fold5,tp_conditioned_pattern,0.1,0.1166594020314031,45,9
workload_cv,fold5,phase_conditioned_pattern,0.01,0.11799560063489771,45,9
workload_cv,fold5,tp_phase_conditioned_pattern,0.01,0.12128209278722679,45,9
leave_one_model_out,qwen3-8b,additive_tp_phase,0.0001,0.15931376167335132,36,18
leave_one_model_out,qwen3-8b,ring_equivalent_pattern,1.0,0.2817649448975875,36,18
leave_one_model_out,qwen3-8b,tp_conditioned_pattern,0.001,0.14635696531235987,36,18
leave_one_model_out,qwen3-8b,phase_conditioned_pattern,1.0,0.2356101443254851,36,18
leave_one_model_out,qwen3-8b,tp_phase_conditioned_pattern,1.0,0.23883998664203765,36,18
leave_one_model_out,qwen3-30b-a3b,additive_tp_phase,0.1,0.12154909090545728,36,18
leave_one_model_out,qwen3-30b-a3b,ring_equivalent_pattern,0.01,0.22431000972574947,36,18
leave_one_model_out,qwen3-30b-a3b,tp_conditioned_pattern,1.0,0.11480142527972018,36,18
leave_one_model_out,qwen3-30b-a3b,phase_conditioned_pattern,1.0,0.1187006234693217,36,18
leave_one_model_out,qwen3-30b-a3b,tp_phase_conditioned_pattern,1.0,0.11493778947565217,36,18
leave_one_model_out,deepseek-v2-lite,additive_tp_phase,0.01,0.18093405870221183,36,18
leave_one_model_out,deepseek-v2-lite,ring_equivalent_pattern,0.01,0.26242597609185964,36,18
leave_one_model_out,deepseek-v2-lite,tp_conditioned_pattern,0.01,0.16627504900771406,36,18
leave_one_model_out,deepseek-v2-lite,phase_conditioned_pattern,0.001,0.20009509018875193,36,18
leave_one_model_out,deepseek-v2-lite,tp_phase_conditioned_pattern,10.0,0.19884168526721566,36,18
