evaluation,outer_id,method,selected_alpha,inner_validation_mape,train_workload_groups,test_workload_groups
workload_cv,fold0,additive_tp_phase,0.1,0.13918500350852758,45,9
workload_cv,fold0,tp_conditioned_pattern,0.1,0.13771047575119835,45,9
workload_cv,fold0,additive_plus_schedule,0.1,0.2274944720039362,45,9
workload_cv,fold0,tp_conditioned_plus_schedule,0.1,0.22451899838181982,45,9
workload_cv,fold0,tp_conditioned_plus_schedule_tp,0.1,0.2243104723566261,45,9
workload_cv,fold1,additive_tp_phase,0.1,0.12978172195399648,45,9
workload_cv,fold1,tp_conditioned_pattern,0.1,0.12230153271359726,45,9
workload_cv,fold1,additive_plus_schedule,0.1,0.15314853019153177,45,9
workload_cv,fold1,tp_conditioned_plus_schedule,0.1,0.15034379274210002,45,9
workload_cv,fold1,tp_conditioned_plus_schedule_tp,0.1,0.1571778159158057,45,9
workload_cv,fold2,additive_tp_phase,0.1,0.11728431758307825,45,9
workload_cv,fold2,tp_conditioned_pattern,0.1,0.11838689249159143,45,9
workload_cv,fold2,additive_plus_schedule,100.0,0.41842592602230627,45,9
workload_cv,fold2,tp_conditioned_plus_schedule,10.0,0.41048817242040986,45,9
workload_cv,fold2,tp_conditioned_plus_schedule_tp,100.0,0.4050074975937637,45,9
workload_cv,fold3,additive_tp_phase,0.1,0.134602507730109,45,9
workload_cv,fold3,tp_conditioned_pattern,0.1,0.13016062499280498,45,9
workload_cv,fold3,additive_plus_schedule,0.1,0.16219681741698083,45,9
workload_cv,fold3,tp_conditioned_plus_schedule,0.1,0.1587310798003718,45,9
workload_cv,fold3,tp_conditioned_plus_schedule_tp,0.1,0.15731789635318436,45,9
workload_cv,fold4,additive_tp_phase,0.1,0.11783177673774774,45,9
workload_cv,fold4,tp_conditioned_pattern,0.1,0.1091268384758838,45,9
workload_cv,fold4,additive_plus_schedule,1.0,0.21167762712016497,45,9
workload_cv,fold4,tp_conditioned_plus_schedule,1.0,0.20329580442086528,45,9
workload_cv,fold4,tp_conditioned_plus_schedule_tp,1.0,0.20518633327150976,45,9
workload_cv,fold5,additive_tp_phase,0.1,0.1209651422722812,45,9
workload_cv,fold5,tp_conditioned_pattern,0.1,0.1166594020314031,45,9
workload_cv,fold5,additive_plus_schedule,10.0,0.4079368446857036,45,9
workload_cv,fold5,tp_conditioned_plus_schedule,10.0,0.3976477816768851,45,9
workload_cv,fold5,tp_conditioned_plus_schedule_tp,10.0,0.40392175001345604,45,9
leave_one_model_out,qwen3-8b,additive_tp_phase,0.0001,0.15931376167335132,36,18
leave_one_model_out,qwen3-8b,tp_conditioned_pattern,0.001,0.14635696531235987,36,18
leave_one_model_out,qwen3-8b,additive_plus_schedule,0.01,0.21858120962466107,36,18
leave_one_model_out,qwen3-8b,tp_conditioned_plus_schedule,0.0001,0.1712454771197672,36,18
leave_one_model_out,qwen3-8b,tp_conditioned_plus_schedule_tp,0.01,0.19495150183341028,36,18
leave_one_model_out,qwen3-30b-a3b,additive_tp_phase,0.1,0.12154909090545728,36,18
leave_one_model_out,qwen3-30b-a3b,tp_conditioned_pattern,1.0,0.11480142527972018,36,18
leave_one_model_out,qwen3-30b-a3b,additive_plus_schedule,10.0,0.21917892488543847,36,18
leave_one_model_out,qwen3-30b-a3b,tp_conditioned_plus_schedule,10.0,0.22247736995445444,36,18
leave_one_model_out,qwen3-30b-a3b,tp_conditioned_plus_schedule_tp,10.0,0.2217850154709343,36,18
leave_one_model_out,deepseek-v2-lite,additive_tp_phase,0.01,0.18093405870221183,36,18
leave_one_model_out,deepseek-v2-lite,tp_conditioned_pattern,0.01,0.16627504900771406,36,18
leave_one_model_out,deepseek-v2-lite,additive_plus_schedule,1.0,0.18473491729558858,36,18
leave_one_model_out,deepseek-v2-lite,tp_conditioned_plus_schedule,1.0,0.17451811360290637,36,18
leave_one_model_out,deepseek-v2-lite,tp_conditioned_plus_schedule_tp,1.0,0.17170878715124574,36,18
