evaluation,scope,method,samples,mape,median_ape,p95_ape,mae_us,rmse_us,r2
workload_cv,all,additive_tp_phase,162,0.12804730386975532,0.06609878036272952,0.3936568880881959,2944.1917117978064,6289.610345435297,0.8960943349256768
workload_cv,prefill,additive_tp_phase,108,0.10245292106691732,0.05245086152262904,0.35530200906042597,920.7442492586671,1984.864862837373,0.9289376646331051
workload_cv,decode,additive_tp_phase,54,0.17923606947543136,0.11223578446665271,0.6670553516169679,6991.086636876086,10526.073239568843,0.6527076322132144
workload_cv,tp2,additive_tp_phase,54,0.13380438576813355,0.06521467707105263,0.38163756190534776,2717.472829156587,6380.948659729124,0.8624283062880169
workload_cv,tp4,additive_tp_phase,54,0.11590099266464221,0.04915010976993876,0.34357618481844093,2832.3538783696517,6260.553223578303,0.9000167537573744
workload_cv,tp8,additive_tp_phase,54,0.13443653317649018,0.07443202217717085,0.4482984655030176,3282.74842786718,6226.279983173305,0.9116228327002008
workload_cv,qwen3-8b,additive_tp_phase,54,0.10518290676807443,0.06801175114638083,0.31168021175232585,2324.9408051515784,3648.735467987391,0.9513971564558511
workload_cv,qwen3-30b-a3b,additive_tp_phase,54,0.16111912806729037,0.07858276888369138,0.5620917756534237,4555.943923706393,9222.463881964908,0.8691794765857384
workload_cv,deepseek-v2-lite,additive_tp_phase,54,0.11783987677390118,0.05874784531086781,0.4608323660528577,1951.6904065354481,4506.7154694659575,0.8520369756217859
leave_one_model_out,all,additive_tp_phase,162,0.22877458557837108,0.1647231720914427,0.64840542704238,5088.157573310654,9222.786594360514,0.7765830780715863
leave_one_model_out,qwen3-8b,additive_tp_phase,54,0.36618228334625386,0.39033949974699245,0.7090770838958299,7750.662587943294,12439.127545354804,0.4351192645671529
leave_one_model_out,qwen3-8b_prefill,additive_tp_phase,36,0.36371092434779656,0.39033949974699245,0.62420919813743,3841.7906479992484,4753.124806485227,0.6975752342021553
leave_one_model_out,qwen3-8b_decode,additive_tp_phase,18,0.3711250013431685,0.35586143768425643,0.798196596047545,15568.406467831383,20469.76529950364,-1.4987006908145766
leave_one_model_out,qwen3-30b-a3b,additive_tp_phase,54,0.15150184332524222,0.10197303447517889,0.36384110358419036,4824.983047186984,8725.699374214322,0.8828931097111794
leave_one_model_out,qwen3-30b-a3b_prefill,additive_tp_phase,36,0.11286727198137567,0.07503711212244583,0.36370180591510737,586.0537379676215,809.0148165036769,0.9875304050338722
leave_one_model_out,qwen3-30b-a3b_decode,additive_tp_phase,18,0.22877098601297538,0.22160992678421637,0.36023144633215104,13302.84166562571,15069.986023910165,0.122554045970374
leave_one_model_out,deepseek-v2-lite,additive_tp_phase,54,0.16863963006361699,0.12579642504013977,0.3809149077396747,2688.827084801684,4930.482130236271,0.8229027985897903
leave_one_model_out,deepseek-v2-lite_prefill,additive_tp_phase,36,0.11973653489211035,0.11646286202849976,0.25273863607242125,687.6982301536742,1206.8923737935131,0.909840798902855
leave_one_model_out,deepseek-v2-lite_decode,additive_tp_phase,18,0.2664458204066301,0.1843603351530702,0.7615943972845475,6691.084794097706,8367.543469017397,-0.09671816559120239
workload_cv,all,tp_conditioned_pattern,162,0.12149907510878306,0.06153186841881163,0.3901339750247527,2827.8149613924606,6314.808652129885,0.8952601046751575
workload_cv,prefill,tp_conditioned_pattern,108,0.09433475775645161,0.044705890682352936,0.3329914810129375,797.3380613029099,1877.3946323710422,0.9364246540333335
workload_cv,decode,tp_conditioned_pattern,54,0.17582770981344598,0.09993665086271952,0.6964304270594508,6888.768761571562,10610.429007713692,0.6471189377281386
workload_cv,tp2,tp_conditioned_pattern,54,0.13371048552518336,0.06604613666834415,0.4072046612430459,2661.8027707778388,6369.119408214375,0.8629379050363489
workload_cv,tp4,tp_conditioned_pattern,54,0.11107845972430327,0.055823025471138356,0.3046915290610869,2717.587081038533,5845.311811291756,0.9128400092838773
workload_cv,tp8,tp_conditioned_pattern,54,0.11970828007686256,0.06085466381367258,0.3434352696863491,3104.0550323610105,6700.52779501163,0.8976469446997344
workload_cv,qwen3-8b,tp_conditioned_pattern,54,0.0968622035464307,0.04133885473716044,0.30114865769642607,2294.054881058538,4034.7985401834235,0.9405679607519061
workload_cv,qwen3-30b-a3b,tp_conditioned_pattern,54,0.14862610644169172,0.08688802211704355,0.45813592282369825,4191.483376068901,8950.316155686825,0.8767863823552962
workload_cv,deepseek-v2-lite,tp_conditioned_pattern,54,0.11900891533822673,0.06588483283352425,0.49412352824752426,1997.9066270499434,4821.064860840233,0.8306758637857834
leave_one_model_out,all,tp_conditioned_pattern,162,0.28203907345013907,0.1786357405348963,0.7579133512919257,6007.140685787198,11013.891248355138,0.6813797950010465
leave_one_model_out,qwen3-8b,tp_conditioned_pattern,54,0.47337451258981517,0.546558515686504,0.80224698131178,9073.550734695686,14638.613630267706,0.21769371647333158
leave_one_model_out,qwen3-8b_prefill,tp_conditioned_pattern,36,0.5192102327732069,0.5496908337618494,0.7674608245624706,5334.076732821135,7053.031942522057,0.3340975414288164
leave_one_model_out,qwen3-8b_decode,tp_conditioned_pattern,18,0.3817030722230318,0.29706257620938387,0.8998150133517018,16552.498738444785,23310.43774544583,-2.2403309491544836
leave_one_model_out,qwen3-30b-a3b,tp_conditioned_pattern,54,0.19353246667859564,0.13743519501706053,0.4103247263482468,6041.659520239586,10941.645675475014,0.8158603768548736
leave_one_model_out,qwen3-30b-a3b_prefill,tp_conditioned_pattern,36,0.15367311184755011,0.13129160938149495,0.3135180318029316,958.3111243637472,1189.3141183838884,0.9730516273036717
leave_one_model_out,qwen3-30b-a3b_decode,tp_conditioned_pattern,18,0.2732511763406866,0.23909478704239112,0.43760568024599555,16208.356311991254,18876.7024164325,-0.376724165019098
leave_one_model_out,deepseek-v2-lite,tp_conditioned_pattern,54,0.17921024108200634,0.1464843110597473,0.46127848894829004,2906.211802426326,5468.892226756817,0.7821128340579779
