op,group_size,payload_bytes,repeats,pooled_samples,backend_proxy_pre_run,observed_backend_audit_only,intrinsic_median_us,completion_median_us,completion_p95_us,repeat_median_cv
all_reduce,2,4096,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.1599999999998545,7.855500000001484,13.77279999999845,0.144667825293459
all_reduce,2,8192,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.1599999999998545,7.871999999999844,12.801600000000189,0.08178176098242451
all_reduce,2,12288,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.1599999999998545,7.855999999999767,12.803849999999098,0.08985546003738902
all_reduce,2,16384,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.1599999999998545,7.791999999999916,13.507199999999099,0.07019592154003405
all_reduce,2,20480,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.1599999999998545,7.903999999999996,13.060800000000468,0.10968230838512869
all_reduce,2,24576,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.1599999999998545,8.319999999999709,13.665549999998984,0.094714807950073
all_reduce,2,32768,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.192000000000007,8.224500000000148,12.96159999999961,0.07759201314437994
all_reduce,2,40960,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.160500000000411,7.999499999999898,13.732800000000925,0.11684397944585331
all_reduce,2,49152,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.1600000000016735,8.559999999999718,13.089599999999745,0.1259958814806005
all_reduce,2,65536,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.22400000000016,8.320000000001528,13.087049999999977,0.0939953936412733
all_reduce,2,131072,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,6.207999999999629,9.840500000000247,16.294399999999875,0.10366470142855427
all_reduce,2,4190208,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,14.943999999999733,18.14350000000013,25.439050000000314,0.06906691208848782
all_reduce,2,4194304,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,15.007500000000164,18.24000000000001,25.28224999999995,0.07032714159034596
all_reduce,2,8380416,5,500,sglang_custom:one_shot_pull,sglang_custom:all_reduce_one_shot,23.263999999999214,25.32799999999952,31.108799999999377,0.04228638761053359
all_reduce,2,8388608,5,500,sglang_custom:one_shot_pull,sglang_custom:all_reduce_one_shot,23.23199999999997,25.647500000000264,31.881599999999427,0.039530248739934416
all_reduce,2,16760832,5,500,sglang_custom:one_shot_pull,sglang_custom:all_reduce_one_shot,37.47199999999975,39.32699999999977,45.50874999999905,0.02492265298636773
all_reduce,2,16773120,5,500,sglang_custom:one_shot_pull,sglang_custom:all_reduce_one_shot,37.47200000000157,39.56750000000102,45.44959999999959,0.020157326539828123
all_reduce,2,16777216,5,500,sglang_custom:one_shot_pull,sglang_custom:all_reduce_one_shot,37.44000000000051,39.2155000000007,44.155849999999916,0.021693311253591634
all_reduce,2,33521664,5,500,nccl:all_reduce,nccl:all_reduce,79.83950000000004,83.21549999999843,94.69600000000008,0.008857049870502188
all_reduce,2,33546240,5,500,nccl:all_reduce,nccl:all_reduce,79.93599999999992,83.10399999999959,91.55424999999941,0.009932826944533575
all_reduce,2,33554432,5,500,nccl:all_reduce,nccl:all_reduce,79.87199999999939,83.03899999999976,94.60159999999964,0.02674169932497103
all_reduce,2,67092480,5,500,nccl:all_reduce,nccl:all_reduce,145.63200000000097,148.84749999999985,151.9429999999998,0.0029596377232203744
all_reduce,2,67108864,5,500,nccl:all_reduce,nccl:all_reduce,145.59900000000198,148.99149999999918,151.61659999999983,0.0035237110770440327
all_reduce,2,134184960,5,500,nccl:all_reduce,nccl:all_reduce,275.00700000000074,278.1100000000001,280.7660499999996,0.0007769546714780171
all_reduce,2,134217728,5,500,nccl:all_reduce,nccl:all_reduce,274.8140000000003,278.0465000000004,281.21404999999993,0.0019579641938080685
all_reduce,4,4096,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.447500000000218,18.735999999999876,29.971200000001026,0.08614146772474662
all_reduce,4,8192,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.3520000000003165,17.75999999999931,29.631049999999323,0.06295138029405839
all_reduce,4,12288,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.432499999999436,17.75999999999931,29.74139999999966,0.11364473335235692
all_reduce,4,16384,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.415499999999156,18.23999999999978,30.50084999999926,0.13044807130261732
all_reduce,4,20480,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.319999999999709,18.319500000000517,29.702399999999937,0.10426845298969838
all_reduce,4,24576,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.319999999999709,17.59999999999968,30.34405000000019,0.08935522700382234
all_reduce,4,32768,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.41550000000052,18.079499999999825,30.799349999999833,0.10501492398810182
all_reduce,4,40960,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.400499999999738,18.752000000000407,30.625599999999803,0.14660556129382674
all_reduce,4,49152,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.416000000001077,18.080000000000382,29.631999999999607,0.08155501430713734
all_reduce,4,65536,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.815999999999576,17.600000000000136,32.772800000000004,0.1262646239305849
all_reduce,4,131072,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,6.335999999999331,18.943999999999505,31.199999999998955,0.10552591691705993
all_reduce,4,4190208,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,18.368000000000393,29.919999999999163,42.089600000001695,0.046812337054057546
all_reduce,4,4194304,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,18.33599999999933,30.67200000000048,42.17920000000122,0.0698645221856789
all_reduce,4,8380416,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,28.064000000002125,39.5669999999991,52.48894999999996,0.04499237504960663
all_reduce,4,8388608,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,28.12800000000061,39.85650000000078,52.33819999999958,0.036854736036790584
all_reduce,4,16760832,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,47.263999999999214,61.61499999999978,74.88480000000108,0.04997602290229132
all_reduce,4,16773120,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,47.48800000000119,60.47949999999946,74.79034999999966,0.05707906391907937
all_reduce,4,16777216,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,47.45600000000013,60.687999999999874,74.88319999999749,0.06426928989498666
all_reduce,4,33521664,5,500,nccl:all_reduce,nccl:all_reduce,117.1840000000011,132.33499999999913,151.88320000000024,0.02981919431804957
all_reduce,4,33546240,5,500,nccl:all_reduce,nccl:all_reduce,117.21600000000035,135.45550000000003,161.23420000000021,0.04968476491546831
all_reduce,4,33554432,5,500,nccl:all_reduce,nccl:all_reduce,117.27900000000045,135.9034999999999,164.7504000000008,0.05848882740712938
all_reduce,4,67092480,5,500,nccl:all_reduce,nccl:all_reduce,181.4390000000003,199.91900000000078,226.70560000000012,0.040919774603742375
all_reduce,4,67108864,5,500,nccl:all_reduce,nccl:all_reduce,181.42300000000068,196.8154999999988,212.51839999999953,0.01755487664812128
all_reduce,4,134184960,5,500,nccl:all_reduce,nccl:all_reduce,344.07900000000154,352.52700000000004,364.95905000000084,0.007545398876213118
all_reduce,4,134217728,5,500,nccl:all_reduce,nccl:all_reduce,343.8230000000017,351.9504999999999,367.0806000000033,0.006019171609910084
all_reduce,8,4096,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.927999999999884,28.368000000000393,47.84480000000021,0.15918165434449055
all_reduce,8,8192,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.927999999999884,29.07250000000022,47.11680000000018,0.14959425998681067
all_reduce,8,12288,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.89600000000064,32.54400000000169,48.81599999999924,0.13711175930713426
all_reduce,8,16384,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.863999999999805,31.471999999999753,49.87359999999979,0.1105699677316216
all_reduce,8,20480,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.831999999998516,34.0005000000001,48.6864000000004,0.16621604649314278
all_reduce,8,24576,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.831999999998516,30.912000000000262,48.77505000000157,0.11744229712240567
all_reduce,8,32768,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.895499999998719,30.303499999999985,46.75100000000004,0.12754417152303985
all_reduce,8,40960,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.89600000000064,32.591499999999996,51.552000000000376,0.09726919427296311
all_reduce,8,49152,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.959999999999582,31.039999999999964,47.44159999999909,0.048771660058396095
all_reduce,8,65536,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,5.0250000000010004,30.416000000000167,46.14624999999996,0.06202095799138346
all_reduce,8,131072,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,7.264000000000578,32.06299999999965,49.0895999999997,0.05289227278973077
all_reduce,8,4190208,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,21.279499999999643,47.96799999999985,67.33599999999778,0.05475881869024181
all_reduce,8,4194304,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,21.280000000000655,47.37600000000111,63.68320000000021,0.06780815947999652
all_reduce,8,8380416,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,32.03199999999924,58.159999999999854,74.0687999999989,0.03543641920584141
all_reduce,8,8388608,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,32.03199999999924,57.840000000000146,75.68320000000026,0.032992906756121154
all_reduce,8,16760832,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,55.58450000000266,81.31199999999944,100.81600000000097,0.03845069457092498
all_reduce,8,16773120,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,55.55249999999978,79.80800000000045,97.82624999999982,0.037849642793550534
all_reduce,8,16777216,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,55.64800000000059,79.2795000000001,94.20860000000039,0.04457441573504638
all_reduce,8,33521664,5,500,nccl:all_reduce,nccl:all_reduce,152.86399999999958,182.6234999999997,209.06719999999834,0.02974017019202307
all_reduce,8,33546240,5,500,nccl:all_reduce,nccl:all_reduce,152.63949999999932,177.83950000000186,197.40799999999945,0.026188054145651913
all_reduce,8,33554432,5,500,nccl:all_reduce,nccl:all_reduce,152.67199999999957,178.1275000000005,198.21274999999963,0.01787412095440182
all_reduce,8,67092480,5,500,nccl:all_reduce,nccl:all_reduce,266.9915000000012,293.6795000000002,313.4421999999993,0.0133315457589405
all_reduce,8,67108864,5,500,nccl:all_reduce,nccl:all_reduce,266.751000000002,292.0799999999981,314.2399500000005,0.008550327083797351
all_reduce,8,134184960,5,500,nccl:all_reduce,nccl:all_reduce,387.6939999999995,414.2394999999997,454.24860000000115,0.028614007895603536
all_reduce,8,134217728,5,500,nccl:all_reduce,nccl:all_reduce,388.0474999999997,413.61449999999877,430.2678000000012,0.010452094106724015
fused_allreduce_residual_rmsnorm,2,4096,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.239999999999782,9.456500000000233,15.231049999999778,0.1054115690105302
fused_allreduce_residual_rmsnorm,2,8192,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.239999999999782,9.11999999999989,14.915200000000251,0.1515118807316174
fused_allreduce_residual_rmsnorm,2,12288,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.208000000000538,8.991500000000087,14.177599999999527,0.11076901538723635
fused_allreduce_residual_rmsnorm,2,16384,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.239999999999782,9.05600000000004,14.30399999999986,0.13100973183706857
