op,group_size,payload_bytes,repeats,pooled_samples,backend_proxy_pre_run,observed_backend_audit_only,intrinsic_median_us,post_rendezvous_median_us,post_rendezvous_p95_us,repeat_median_cv
all_reduce,2,4096,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.25,5.25,5.5,0.0
all_reduce,2,8192,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.25,5.25,5.5,0.0
all_reduce,2,12288,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.25,5.25,5.75,0.0
all_reduce,2,16384,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.25,5.25,5.75,0.018779342723004692
all_reduce,2,20480,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.25,5.25,5.75,0.018867924528301886
all_reduce,2,24576,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.25,5.25,5.75,0.018867924528301886
all_reduce,2,32768,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.25,5.5,5.75,0.018348623853211007
all_reduce,2,40960,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.25,5.5,5.75,0.0
all_reduce,2,49152,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.25,5.5,5.75,0.0
all_reduce,2,65536,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.25,5.5,5.75,0.0
all_reduce,2,131072,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,6.25,7.5,7.75,0.0
all_reduce,2,4190208,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,15.0,15.5,16.0,0.006430868167202572
all_reduce,2,4194304,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,15.0,15.5,16.0,0.0
all_reduce,2,8380416,5,500,sglang_custom:one_shot_pull,sglang_custom:all_reduce_one_shot,23.25,23.25,23.5,0.0
all_reduce,2,8388608,5,500,sglang_custom:one_shot_pull,sglang_custom:all_reduce_one_shot,23.25,23.25,23.75,0.0
all_reduce,2,16760832,5,500,sglang_custom:one_shot_pull,sglang_custom:all_reduce_one_shot,37.5,37.5,38.0,0.0
all_reduce,2,16773120,5,500,sglang_custom:one_shot_pull,sglang_custom:all_reduce_one_shot,37.5,37.5,38.0,0.0
all_reduce,2,16777216,5,500,sglang_custom:one_shot_pull,sglang_custom:all_reduce_one_shot,37.5,37.5,38.0,0.0013324450366422385
all_reduce,2,33521664,5,500,nccl:all_reduce,nccl:all_reduce,80.0,80.5,82.26249999999999,0.0015242624410598496
all_reduce,2,33546240,5,500,nccl:all_reduce,nccl:all_reduce,80.25,80.5,82.5,0.0
all_reduce,2,33554432,5,500,nccl:all_reduce,nccl:all_reduce,80.25,80.5,82.75,0.0006209251785159888
all_reduce,2,67092480,5,500,nccl:all_reduce,nccl:all_reduce,146.0,148.25,150.5,0.001349300050598752
all_reduce,2,67108864,5,500,nccl:all_reduce,nccl:all_reduce,146.0,148.25,150.5,0.0016517125709933766
all_reduce,2,134184960,5,500,nccl:all_reduce,nccl:all_reduce,275.5,277.75,280.25,0.0007198128486593485
all_reduce,2,134217728,5,500,nccl:all_reduce,nccl:all_reduce,275.5,278.0,280.75,0.0007837631832312637
all_reduce,4,4096,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.25,5.5,6.0,0.018018018018018018
all_reduce,4,8192,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.5,7.0,7.5,0.04950605827098736
all_reduce,4,12288,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.5,7.0,7.5,0.03694941676516511
all_reduce,4,16384,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.5,7.0,7.5,0.03912303982179758
all_reduce,4,20480,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.5,7.0,7.5,0.03991228933928331
all_reduce,4,24576,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.5,7.0,7.5,0.04772122000511366
all_reduce,4,32768,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.5,7.0,7.5,0.017129298900581662
all_reduce,4,40960,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.5,7.25,7.5,0.03912303982179758
all_reduce,4,49152,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.5,7.25,7.75,0.05783512918546132
all_reduce,4,65536,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,4.5,7.25,7.75,0.047762887205107525
all_reduce,4,131072,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,6.5,7.75,8.0,0.0
all_reduce,4,4190208,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,18.5,18.5,19.25,0.005390835579514825
all_reduce,4,4194304,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,18.5,18.5,19.25,0.0
all_reduce,4,8380416,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,28.25,28.5,29.0,0.004320087729776328
all_reduce,4,8388608,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,28.25,28.25,29.0,0.0
all_reduce,4,16760832,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,47.25,47.5,48.25,0.002107481559536354
all_reduce,4,16773120,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,47.5,47.75,48.5,0.002347577929133637
all_reduce,4,16777216,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,47.5,47.75,48.5,0.0025702935391219077
all_reduce,4,33521664,5,500,nccl:all_reduce,nccl:all_reduce,117.5,117.75,118.75,0.0009484911887591897
all_reduce,4,33546240,5,500,nccl:all_reduce,nccl:all_reduce,117.5,118.0,119.0,0.0014056472940688284
all_reduce,4,33554432,5,500,nccl:all_reduce,nccl:all_reduce,117.25,117.75,119.0,0.0008488964346349746
all_reduce,4,67092480,5,500,nccl:all_reduce,nccl:all_reduce,181.5,182.25,185.25,0.000909785980072802
all_reduce,4,67108864,5,500,nccl:all_reduce,nccl:all_reduce,181.5,182.5,185.25,0.0008222557215293957
all_reduce,4,134184960,5,500,nccl:all_reduce,nccl:all_reduce,346.5,349.25,353.5,0.0014596778110907566
all_reduce,4,134217728,5,500,nccl:all_reduce,nccl:all_reduce,345.75,349.5,353.5125,0.0019923313227269515
all_reduce,8,4096,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,5.0,6.5,6.75,0.019287320809316364
all_reduce,8,8192,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,5.25,7.5,8.0,0.0
all_reduce,8,12288,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,5.25,7.5,8.0,0.016115064097257752
all_reduce,8,16384,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,5.25,7.75,8.25,0.012987012987012986
all_reduce,8,20480,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,5.25,7.75,8.0,0.016009736880935804
all_reduce,8,24576,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,5.25,7.75,8.25,0.0
all_reduce,8,32768,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,5.25,8.0,8.25,0.015503099637868214
all_reduce,8,40960,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,6.5,8.25,8.75,0.014580296087995107
all_reduce,8,49152,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,6.75,8.25,8.75,0.012048192771084336
all_reduce,8,65536,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,6.75,8.5,9.0,0.011695906432748537
all_reduce,8,131072,5,500,sglang_custom:one_shot_push,sglang_custom:all_reduce_one_shot_push,7.5,9.25,9.5,0.0
all_reduce,8,4190208,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,21.25,22.5,24.25,0.004434589800443459
all_reduce,8,4194304,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,21.25,22.5,23.5,0.0
all_reduce,8,8380416,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,32.0,32.75,34.5,0.0037282948900809404
all_reduce,8,8388608,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,32.0,32.75,34.25,0.0037368264573351307
all_reduce,8,16760832,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,55.75,56.5,58.25,0.0021638601968049275
all_reduce,8,16773120,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,55.75,56.5,57.75,0.0021638601968049275
all_reduce,8,16777216,5,500,sglang_custom:two_shot_pull,sglang_custom:all_reduce_two_shot,55.75,56.75,58.0,0.0033009769623060796
all_reduce,8,33521664,5,500,nccl:all_reduce,nccl:all_reduce,153.0,153.75,157.5,0.0027961401810637503
all_reduce,8,33546240,5,500,nccl:all_reduce,nccl:all_reduce,153.0,153.75,157.0,0.0035031158283522555
all_reduce,8,33554432,5,500,nccl:all_reduce,nccl:all_reduce,153.0,153.75,157.0,0.0031935765124168564
all_reduce,8,67092480,5,500,nccl:all_reduce,nccl:all_reduce,266.5,267.25,272.0125,0.001734359172525847
all_reduce,8,67108864,5,500,nccl:all_reduce,nccl:all_reduce,267.0,267.75,272.0125,0.0032209501980691576
all_reduce,8,134184960,5,500,nccl:all_reduce,nccl:all_reduce,388.0,389.25,394.0,0.0026751461921697304
all_reduce,8,134217728,5,500,nccl:all_reduce,nccl:all_reduce,388.5,389.25,393.5,0.0016044699077393276
fused_allreduce_residual_rmsnorm,2,4096,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.25,6.25,6.75,0.015873015873015876
fused_allreduce_residual_rmsnorm,2,8192,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.0,6.25,6.75,0.0
fused_allreduce_residual_rmsnorm,2,12288,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.25,6.25,6.75,0.0
fused_allreduce_residual_rmsnorm,2,16384,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.25,6.25,6.75,0.015873015873015872
fused_allreduce_residual_rmsnorm,2,20480,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.25,6.25,6.75,0.0
fused_allreduce_residual_rmsnorm,2,24576,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.25,6.25,6.75,0.015810276679841896
fused_allreduce_residual_rmsnorm,2,32768,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,8.0,8.25,8.75,0.012195121951219514
fused_allreduce_residual_rmsnorm,2,65536,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,8.25,8.5,8.75,0.014580296087995107
fused_allreduce_residual_rmsnorm,2,4190208,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm_twoshot,14.875,15.0,15.5,0.006688963210702342
fused_allreduce_residual_rmsnorm,2,4194304,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm_twoshot,14.875,15.0,15.5,0.013422818791946307
fused_allreduce_residual_rmsnorm,4,4096,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.25,6.75,7.25,0.007434944237918216
fused_allreduce_residual_rmsnorm,4,8192,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.25,8.25,8.5,0.012195121951219514
fused_allreduce_residual_rmsnorm,4,12288,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.25,8.25,8.75,0.022814984065694766
fused_allreduce_residual_rmsnorm,4,16384,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.25,8.25,8.75,0.019165319152535634
fused_allreduce_residual_rmsnorm,4,20480,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.25,8.25,8.75,0.012048192771084336
fused_allreduce_residual_rmsnorm,4,24576,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.5,8.25,8.75,0.024169184290030208
fused_allreduce_residual_rmsnorm,4,32768,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,8.0,8.5,8.75,0.014667603250198672
fused_allreduce_residual_rmsnorm,4,65536,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,8.25,8.5,8.75,0.005899705014749263
