method,scope,samples,mape,median_ape,p95_ape,mae_us,rmse_us,r2
backend_proxy_support_loo_phase_scaled,all,162,0.04684464235797369,0.04266959366087075,0.12686952298360452,942.7952455207259,1752.5668363362395,0.9919324637871325
backend_proxy_support_loo_phase_scaled,prefill,108,0.04107418096248708,0.04037583683650863,0.0955245418359081,289.7424147039807,401.12814019399343,0.997097689664464
backend_proxy_support_loo_phase_scaled,decode,54,0.05838556514894693,0.04701470539136497,0.16297530510167407,2248.900907154216,2982.0570044460687,0.9721263176534349
payload_histogram_tp_phase_scaled,all,162,0.07202257206990714,0.054659743268054894,0.21653687508305422,1496.11785543354,2639.795142609397,0.9816965820953759
payload_histogram_tp_phase_scaled,prefill,108,0.053887789304257805,0.047158219771006635,0.2019653954895251,311.4433859708895,409.57638440363456,0.9969741499353568
payload_histogram_tp_phase_scaled,decode,54,0.10829213760120579,0.10854767718020247,0.21747928455488647,3865.4667943588406,4535.421651347336,0.9355240422221102
raw_op_exact_no_phase_calibration,all,162,0.04389079097433488,0.03927597037734178,0.11059998364110822,745.8916799286266,1290.5410315943998,0.9956254299118289
raw_op_exact_no_phase_calibration,prefill,108,0.0433882088564747,0.044696069105009034,0.1024597609478151,296.5723153573495,404.54895904272286,0.9970479768118633
raw_op_exact_no_phase_calibration,decode,54,0.04489595521005524,0.03246838248748464,0.12710315731276117,1644.5304090711807,2160.825939811236,0.9853646863676719
raw_op_exact_phase_scaled,all,162,0.04425131816914883,0.03965901908929086,0.10762465511011433,705.6135169722733,1116.9747457413514,0.9967229848215999
raw_op_exact_phase_scaled,prefill,108,0.043644376045829165,0.04494753218399296,0.10301323629106646,297.39855386187935,404.69462628531534,0.9970458505401902
raw_op_exact_phase_scaled,decode,54,0.04546520241578817,0.033024505715351475,0.1116682699325041,1522.0434431930614,1848.0644649966755,0.9892947528786491
raw_op_support_loo_phase_scaled,all,162,0.04537741285665549,0.042269183188490406,0.1244674824837486,880.4311522858275,1576.9147506666313,0.9934685715122596
raw_op_support_loo_phase_scaled,prefill,108,0.04112141110771882,0.04013099810173684,0.09547852847657652,290.20100367576043,401.33607256068353,0.9970946799495615
raw_op_support_loo_phase_scaled,decode,54,0.053889416354528825,0.04381480852287124,0.1542277348811501,2060.8914495059616,2671.6734655142914,0.9776267426287252
total_bytes_phase_scaled,all,162,0.46799832388387147,0.26614291752433733,1.5437444478109117,14108.213029148092,32788.54318610708,-1.8238133504163194
total_bytes_phase_scaled,prefill,108,0.22197845238236982,0.23164998717025054,0.5031158603826555,1437.902241683682,2178.3826462556835,0.9144054869157949
total_bytes_phase_scaled,decode,54,0.960038066886875,0.6737925822114672,3.516883047533869,39448.834604076896,56707.80361550438,-9.079711863434659
