op,tp,payload_bytes,payload_mib,samples,median_post_rendezvous_us,mean_post_rendezvous_us,p95_post_rendezvous_us,repeat_median_cv,backend_proxy
all_reduce,2,167772160,160.0,500,337.75,338.0885,342.5125,0.0005919786887672044,nccl:all_reduce
all_reduce,2,201326592,192.0,500,393.75,393.753,396.75,0.0006476590262406688,nccl:all_reduce
all_reduce,2,268435456,256.0,500,524.0,523.816,527.0,0.0005137780667971668,nccl:all_reduce
all_reduce,2,335544320,320.0,500,634.5,634.4185,638.0,0.0004727946101414445,nccl:all_reduce
all_reduce,2,402653184,384.0,500,766.25,766.068,769.75,0.000391529903096349,nccl:all_reduce
all_reduce,2,469762048,448.0,500,874.25,874.2745,878.75,0.00018085660052435685,nccl:all_reduce
all_reduce,2,536870912,512.0,500,1003.75,1003.285,1007.75,0.00048292081362950005,nccl:all_reduce
all_reduce,4,167772160,160.0,500,429.75,429.903,434.7625,0.0011336777371106675,nccl:all_reduce
all_reduce,4,201326592,192.0,500,513.0,512.549,518.75,0.0019409599134165,nccl:all_reduce
all_reduce,4,268435456,256.0,500,677.25,676.3085,682.5,0.0016489135232647322,nccl:all_reduce
all_reduce,4,335544320,320.0,500,829.0,828.4305,836.0,0.0018529556075776883,nccl:all_reduce
all_reduce,4,402653184,384.0,500,978.0,977.2115,988.75,0.00397738575096244,nccl:all_reduce
all_reduce,4,469762048,448.0,500,1134.5,1133.4435,1150.5,0.003432949311959065,nccl:all_reduce
all_reduce,4,536870912,512.0,500,1294.25,1293.206,1309.7625,0.003352853376125377,nccl:all_reduce
all_reduce,8,167772160,160.0,500,473.25,472.9325,478.25,0.0025130193838323266,nccl:all_reduce
all_reduce,8,201326592,192.0,500,543.75,543.678,548.5,0.0007411866465914549,nccl:all_reduce
all_reduce,8,268435456,256.0,500,709.0,708.9405,716.25,0.0018700962010681581,nccl:all_reduce
all_reduce,8,335544320,320.0,500,861.0,860.8395,868.0,0.0009889306832709872,nccl:all_reduce
all_reduce,8,402653184,384.0,500,1015.75,1015.6015,1022.7625,0.0008547679114987368,nccl:all_reduce
all_reduce,8,469762048,448.0,500,1178.0,1177.6495,1189.7625,0.0007545316681012407,nccl:all_reduce
all_reduce,8,536870912,512.0,500,1331.75,1331.539,1343.0,0.00020215720881935936,nccl:all_reduce
