method,scope,windows,active_windows,activity_accuracy,activity_precision,activity_recall,activity_f1,prefill_bytes_mape,prefill_bytes_p95_ape,decode_calls_mape,decode_calls_p95_ape,decode_bytes_mape,decode_bytes_p95_ape,decode_histogram_wape,l1_tp2_structural_mape,l1_tp2_structural_p95_ape,l1_tp4_structural_mape,l1_tp4_structural_p95_ape,l1_tp8_structural_mape,l1_tp8_structural_p95_ape
history_persistence,validation,8639,7155,0.9171200370413243,0.9348912602998785,0.9672955974842767,0.9508174199752714,0.8083692629258772,1.807556360725433,0.654231201093374,2.077083333333298,0.9089598896179798,3.1666666666666665,1.2447595145488644,0.47040656354257254,1.2015780669338616,0.47702473656361366,1.233215950405554,0.4748303931163241,1.2542811923766561
history_persistence,test,8640,3463,0.8422453703703704,0.7845528455284553,0.835980363846376,0.8094505801761498,2.697985664324961,9.028655243061994,0.7053961230181013,1.3962264150943395,1.2419246563163036,3.0,1.254211461030598,0.523390354419045,1.090297332525235,0.5307537418480087,1.0972572924225612,0.5372276680132229,1.1070101635615
history_persistence,temporal_test,31679,23722,0.8785630859559961,0.8923678287993051,0.952744288002698,0.9215682276906767,2.277496114640862,5.200819646303522,0.6163973400417281,1.2678571428571428,1.3751257116752362,3.7037037037037037,1.3354449956483212,0.4390202811763771,1.0,0.44457362541765094,1.0,0.4492461635869071,1.0
history_persistence,external_test,106,106,1.0,1.0,1.0,1.0,0.535669867835904,1.2170903146605458,0.0,0.0,0.6885858288213329,2.3276360875720705,1.6300698261773883,0.23920265033787966,0.44766928205864953,0.23645201325032583,0.4390766041650681,0.23189831701239094,0.4036878753585125
history_profile_mlp,validation,8639,7155,0.9164255122120616,0.9422521655437921,0.9577917540181691,0.9499584141946216,0.7244729995727539,1.4001928567886353,0.5878399014472961,1.0,0.5319964879957336,0.9834660642817029,0.8949666619300842,0.5138613521483493,0.9183335664815773,0.5176325202477269,0.9217826970011828,0.5123347554530076,0.922257858664257
history_profile_mlp,test,8640,3463,0.8449074074074074,0.8059959642548284,0.8073924343055154,0.8066935949221004,2.6194264888763428,8.64706039428711,0.8433055877685547,1.0,0.8437888569220631,1.0,0.9861368536949158,0.7886653380676183,1.0,0.7914675352421494,1.0,0.7884558029211026,1.0
history_profile_mlp,temporal_test,31679,23722,0.8734177215189873,0.9014336917562724,0.932973610994014,0.9169325102539669,2.153679847717285,5.4832539558410645,0.7373657822608948,1.0,0.7547962469303137,1.0,0.9568023085594177,0.6779258628356992,1.0,0.6775885872638007,1.0,0.66817505524032,1.0
history_profile_mlp,external_test,106,106,1.0,1.0,1.0,1.0,0.32853397727012634,0.4923047721385956,0.24732032418251038,0.6896359920501709,0.2958025066532618,0.7728768764158588,1.3205007314682007,0.2759717434298936,0.5583591563953982,0.274173122986224,0.5583803363126343,0.26064175616171625,0.5511324313718997
scheduled_batch_formula_oracle,validation,8639,7155,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scheduled_batch_formula_oracle,test,8640,3463,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scheduled_batch_formula_oracle,temporal_test,31679,23722,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scheduled_batch_formula_oracle,external_test,106,106,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
