timestamp, index, memory.used [MiB], utilization.gpu [%]
2026/08/06 10:20:51.458, 0, 0 MiB, 0 %
2026/08/06 10:20:51.459, 1, 0 MiB, 0 %
2026/08/06 10:20:51.460, 2, 0 MiB, 0 %
2026/08/06 10:20:51.460, 3, 0 MiB, 0 %
2026/08/06 10:20:51.461, 4, 0 MiB, 0 %
2026/08/06 10:20:51.462, 5, 0 MiB, 0 %
2026/08/06 10:20:51.463, 6, 0 MiB, 0 %
2026/08/06 10:20:51.463, 7, 0 MiB, 0 %
2026/08/06 10:20:52.464, 0, 0 MiB, 0 %
2026/08/06 10:20:52.464, 1, 0 MiB, 0 %
2026/08/06 10:20:52.464, 2, 0 MiB, 0 %
2026/08/06 10:20:52.464, 3, 0 MiB, 0 %
2026/08/06 10:20:52.464, 4, 0 MiB, 0 %
2026/08/06 10:20:52.464, 5, 0 MiB, 0 %
2026/08/06 10:20:52.464, 6, 0 MiB, 0 %
2026/08/06 10:20:52.464, 7, 0 MiB, 0 %
2026/08/06 10:20:53.464, 0, 0 MiB, 0 %
2026/08/06 10:20:53.464, 1, 0 MiB, 0 %
2026/08/06 10:20:53.464, 2, 0 MiB, 0 %
2026/08/06 10:20:53.464, 3, 0 MiB, 0 %
2026/08/06 10:20:53.464, 4, 0 MiB, 0 %
2026/08/06 10:20:53.465, 5, 0 MiB, 0 %
2026/08/06 10:20:53.465, 6, 0 MiB, 0 %
2026/08/06 10:20:53.465, 7, 0 MiB, 0 %
2026/08/06 10:20:54.465, 0, 4 MiB, 0 %
2026/08/06 10:20:54.465, 1, 4 MiB, 0 %
2026/08/06 10:20:54.465, 2, 0 MiB, 0 %
2026/08/06 10:20:54.465, 3, 0 MiB, 0 %
2026/08/06 10:20:54.465, 4, 0 MiB, 0 %
2026/08/06 10:20:54.465, 5, 0 MiB, 0 %
2026/08/06 10:20:54.465, 6, 0 MiB, 0 %
2026/08/06 10:20:54.465, 7, 0 MiB, 0 %
2026/08/06 10:20:55.465, 0, 4 MiB, 0 %
2026/08/06 10:20:55.465, 1, 4 MiB, 0 %
2026/08/06 10:20:55.465, 2, 0 MiB, 0 %
2026/08/06 10:20:55.465, 3, 0 MiB, 0 %
2026/08/06 10:20:55.465, 4, 0 MiB, 0 %
2026/08/06 10:20:55.465, 5, 0 MiB, 0 %
2026/08/06 10:20:55.465, 6, 0 MiB, 0 %
2026/08/06 10:20:55.465, 7, 0 MiB, 0 %
2026/08/06 10:20:56.465, 0, 4 MiB, 0 %
2026/08/06 10:20:56.465, 1, 4 MiB, 0 %
2026/08/06 10:20:56.465, 2, 0 MiB, 0 %
2026/08/06 10:20:56.465, 3, 0 MiB, 0 %
2026/08/06 10:20:56.465, 4, 0 MiB, 0 %
2026/08/06 10:20:56.465, 5, 0 MiB, 0 %
2026/08/06 10:20:56.465, 6, 0 MiB, 0 %
2026/08/06 10:20:56.465, 7, 0 MiB, 0 %
2026/08/06 10:20:57.465, 0, 4 MiB, 0 %
2026/08/06 10:20:57.465, 1, 4 MiB, 0 %
2026/08/06 10:20:57.465, 2, 0 MiB, 0 %
2026/08/06 10:20:57.465, 3, 0 MiB, 0 %
2026/08/06 10:20:57.465, 4, 0 MiB, 0 %
2026/08/06 10:20:57.465, 5, 0 MiB, 0 %
2026/08/06 10:20:57.465, 6, 0 MiB, 0 %
2026/08/06 10:20:57.465, 7, 0 MiB, 0 %
2026/08/06 10:20:58.465, 0, 4 MiB, 0 %
2026/08/06 10:20:58.466, 1, 4 MiB, 0 %
2026/08/06 10:20:58.466, 2, 0 MiB, 0 %
2026/08/06 10:20:58.466, 3, 0 MiB, 0 %
2026/08/06 10:20:58.466, 4, 0 MiB, 0 %
2026/08/06 10:20:58.466, 5, 0 MiB, 0 %
2026/08/06 10:20:58.466, 6, 0 MiB, 0 %
2026/08/06 10:20:58.466, 7, 0 MiB, 0 %
2026/08/06 10:20:59.466, 0, 4 MiB, 0 %
2026/08/06 10:20:59.466, 1, 4 MiB, 0 %
2026/08/06 10:20:59.466, 2, 0 MiB, 0 %
