phase,left_workload_id,right_workload_id,payload_ratio,left_calls,right_calls,left_logical_payload_bytes,right_logical_payload_bytes,left_histogram,right_histogram
prefill,burstgpt_2-8089814000,burstgpt_2-6635114000,1.002313030069391,73,73,777420800,775626752,"{""all_reduce:10649600"":73}","{""all_reduce:10625024"":73}"
decode,burstgpt_2-8089814000,burstgpt_3-26764310000,1.0036363636363637,9271,7957,165052416,164454400,"{""all_reduce:16384"":8395,""all_reduce:24576"":146,""all_reduce:32768"":730}","{""all_reduce:16384"":1168,""all_reduce:32768"":146,""all_reduce:40960"":73,""all_reduce:49152"":1314,""all_reduce:57344"":438,""all_reduce:65536"":146,""all_reduce:8192"":4672}"
prefill,burstgpt_2-10354514000,burstgpt_2-10191314000,1.0055727554179568,73,73,965795840,971177984,"{""all_reduce:13230080"":73}","{""all_reduce:13303808"":73}"
prefill,mooncake_toolagent-2100000,mooncake_toolagent-420000,1.0074013157894737,73,73,26372505600,26178748416,"{""all_reduce:361267200"":73}","{""all_reduce:358612992"":73}"
prefill,mooncake_conversation-2100000,mooncake_conversation-360000,1.0172365013384403,73,73,27951865856,27478237184,"{""all_reduce:382902272"":73}","{""all_reduce:376414208"":73}"
prefill,burstgpt_2-6635114000,burstgpt_3-26764310000,1.01885310290652,73,73,775626752,761274368,"{""all_reduce:10625024"":73}","{""all_reduce:10428416"":73}"
prefill,burstgpt_2-8089814000,burstgpt_3-26764310000,1.021209740769835,73,73,777420800,761274368,"{""all_reduce:10649600"":73}","{""all_reduce:10428416"":73}"
decode,burstgpt_1-473705000,burstgpt_2-7308914000,1.035294117647059,9271,9271,304988160,315752448,"{""all_reduce:24576"":5402,""all_reduce:32768"":657,""all_reduce:40960"":1752,""all_reduce:49152"":584,""all_reduce:57344"":876}","{""all_reduce:32768"":7811,""all_reduce:40960"":1460}"
prefill,mooncake_conversation-360000,mooncake_toolagent-2100000,1.0419274376417234,73,73,27478237184,26372505600,"{""all_reduce:376414208"":73}","{""all_reduce:361267200"":73}"
decode,burstgpt_3-26612510000,mooncake_toolagent-2100000,1.0455927051671732,9271,9271,205717504,196747264,"{""all_reduce:16384"":8176,""all_reduce:65536"":1095}","{""all_reduce:16384"":6862,""all_reduce:24576"":876,""all_reduce:32768"":438,""all_reduce:40960"":949,""all_reduce:65536"":146}"
decode,burstgpt_3-26612510000,mooncake_toolagent-540000,1.0465116279069768,9271,9271,205717504,215285760,"{""all_reduce:16384"":8176,""all_reduce:65536"":1095}","{""all_reduce:16384"":6278,""all_reduce:24576"":1241,""all_reduce:40960"":803,""all_reduce:49152"":803,""all_reduce:65536"":146}"
prefill,mooncake_conversation-360000,mooncake_toolagent-420000,1.0496390716374269,73,73,27478237184,26178748416,"{""all_reduce:376414208"":73}","{""all_reduce:358612992"":73}"
prefill,mooncake_conversation-2100000,mooncake_toolagent-2100000,1.0598866213151927,73,73,27951865856,26372505600,"{""all_reduce:382902272"":73}","{""all_reduce:361267200"":73}"
decode,mooncake_conversation-2100000,mooncake_conversation-360000,1.0621592148309706,9271,9271,548380672,582467584,"{""all_reduce:49152"":2774,""all_reduce:57344"":1679,""all_reduce:65536"":4818}","{""all_reduce:57344"":3066,""all_reduce:65536"":6205}"
decode,mooncake_conversation-2100000,mooncake_conversation-2160000,1.0625724217844728,9271,9271,548380672,516087808,"{""all_reduce:49152"":2774,""all_reduce:57344"":1679,""all_reduce:65536"":4818}","{""all_reduce:49152"":3431,""all_reduce:57344"":4307,""all_reduce:65536"":1533}"
prefill,burstgpt_1-5261105000,burstgpt_2-5303114000,1.0650170433026134,73,73,5044862976,4736884736,"{""all_reduce:69107712"":73}","{""all_reduce:64888832"":73}"
decode,burstgpt_1-820805000,burstgpt_2-10354514000,1.0666666666666667,1752,438,26910720,28704768,"{""all_reduce:16384"":1533,""all_reduce:8192"":219}","{""all_reduce:65536"":438}"
decode,burstgpt_1-820805000,burstgpt_2-10191314000,1.0666666666666667,1752,438,26910720,28704768,"{""all_reduce:16384"":1533,""all_reduce:8192"":219}","{""all_reduce:65536"":438}"
prefill,mooncake_conversation-2100000,mooncake_toolagent-420000,1.0677311769005848,73,73,27951865856,26178748416,"{""all_reduce:382902272"":73}","{""all_reduce:358612992"":73}"
prefill,mooncake_conversation-2160000,mooncake_toolagent-420000,1.0681502086230876,73,73,24508489728,26178748416,"{""all_reduce:335732736"":73}","{""all_reduce:358612992"":73}"
