timestamp, index, memory.used [MiB], utilization.gpu [%]
2026/08/06 10:22:27.430, 0, 0 MiB, 0 %
2026/08/06 10:22:27.431, 1, 0 MiB, 0 %
2026/08/06 10:22:27.432, 2, 0 MiB, 0 %
2026/08/06 10:22:27.432, 3, 0 MiB, 0 %
2026/08/06 10:22:27.433, 4, 0 MiB, 0 %
2026/08/06 10:22:27.434, 5, 0 MiB, 0 %
2026/08/06 10:22:27.435, 6, 0 MiB, 0 %
2026/08/06 10:22:27.436, 7, 0 MiB, 0 %
2026/08/06 10:22:28.436, 0, 0 MiB, 0 %
2026/08/06 10:22:28.436, 1, 0 MiB, 0 %
2026/08/06 10:22:28.436, 2, 0 MiB, 0 %
2026/08/06 10:22:28.437, 3, 0 MiB, 0 %
2026/08/06 10:22:28.437, 4, 0 MiB, 0 %
2026/08/06 10:22:28.437, 5, 0 MiB, 0 %
2026/08/06 10:22:28.437, 6, 0 MiB, 0 %
2026/08/06 10:22:28.437, 7, 0 MiB, 0 %
2026/08/06 10:22:29.437, 0, 0 MiB, 0 %
2026/08/06 10:22:29.437, 1, 0 MiB, 0 %
2026/08/06 10:22:29.437, 2, 0 MiB, 0 %
2026/08/06 10:22:29.437, 3, 0 MiB, 0 %
2026/08/06 10:22:29.437, 4, 0 MiB, 0 %
2026/08/06 10:22:29.437, 5, 0 MiB, 0 %
2026/08/06 10:22:29.437, 6, 0 MiB, 0 %
2026/08/06 10:22:29.437, 7, 0 MiB, 0 %
2026/08/06 10:22:30.437, 0, 4 MiB, 0 %
2026/08/06 10:22:30.437, 1, 4 MiB, 0 %
2026/08/06 10:22:30.437, 2, 0 MiB, 0 %
2026/08/06 10:22:30.437, 3, 0 MiB, 0 %
2026/08/06 10:22:30.437, 4, 0 MiB, 0 %
2026/08/06 10:22:30.437, 5, 0 MiB, 0 %
2026/08/06 10:22:30.437, 6, 0 MiB, 0 %
2026/08/06 10:22:30.437, 7, 0 MiB, 0 %
2026/08/06 10:22:31.437, 0, 4 MiB, 0 %
2026/08/06 10:22:31.437, 1, 4 MiB, 0 %
2026/08/06 10:22:31.437, 2, 0 MiB, 0 %
2026/08/06 10:22:31.437, 3, 0 MiB, 0 %
2026/08/06 10:22:31.437, 4, 0 MiB, 0 %
2026/08/06 10:22:31.437, 5, 0 MiB, 0 %
2026/08/06 10:22:31.437, 6, 0 MiB, 0 %
2026/08/06 10:22:31.437, 7, 0 MiB, 0 %
2026/08/06 10:22:32.437, 0, 4 MiB, 0 %
2026/08/06 10:22:32.437, 1, 4 MiB, 0 %
2026/08/06 10:22:32.437, 2, 0 MiB, 0 %
2026/08/06 10:22:32.437, 3, 0 MiB, 0 %
2026/08/06 10:22:32.437, 4, 0 MiB, 0 %
2026/08/06 10:22:32.437, 5, 0 MiB, 0 %
2026/08/06 10:22:32.437, 6, 0 MiB, 0 %
2026/08/06 10:22:32.437, 7, 0 MiB, 0 %
2026/08/06 10:22:33.438, 0, 4 MiB, 0 %
2026/08/06 10:22:33.438, 1, 4 MiB, 0 %
2026/08/06 10:22:33.438, 2, 0 MiB, 0 %
2026/08/06 10:22:33.438, 3, 0 MiB, 0 %
2026/08/06 10:22:33.438, 4, 0 MiB, 0 %
2026/08/06 10:22:33.438, 5, 0 MiB, 0 %
2026/08/06 10:22:33.438, 6, 0 MiB, 0 %
2026/08/06 10:22:33.438, 7, 0 MiB, 0 %
2026/08/06 10:22:34.438, 0, 4 MiB, 0 %
2026/08/06 10:22:34.438, 1, 4 MiB, 0 %
2026/08/06 10:22:34.438, 2, 0 MiB, 0 %
2026/08/06 10:22:34.438, 3, 0 MiB, 0 %
2026/08/06 10:22:34.438, 4, 0 MiB, 0 %
2026/08/06 10:22:34.438, 5, 0 MiB, 0 %
2026/08/06 10:22:34.438, 6, 0 MiB, 0 %
2026/08/06 10:22:34.438, 7, 0 MiB, 0 %
2026/08/06 10:22:35.438, 0, 4 MiB, 0 %
2026/08/06 10:22:35.438, 1, 4 MiB, 0 %
2026/08/06 10:22:35.438, 2, 0 MiB, 0 %
2026/08/06 10:22:35.438, 3, 0 MiB, 0 %
2026/08/06 10:22:35.438, 4, 0 MiB, 0 %
2026/08/06 10:22:35.438, 5, 0 MiB, 0 %
2026/08/06 10:22:35.438, 6, 0 MiB, 0 %
2026/08/06 10:22:35.438, 7, 0 MiB, 0 %
