bin_count,bin_index,left_bytes,right_bytes,center_bytes
8,0,4096,17867,8555
8,1,17867,77936,37316
8,2,77936,339959,162773
8,3,339959,1482910,710020
8,4,1482910,6468501,3097129
8,5,6468501,28215802,13509772
8,6,28215802,123078199,58930044
8,7,123078199,536870912,257054673
12,0,4096,10935,6693
12,1,10935,29193,17867
12,2,29193,77936,47699
12,3,77936,208064,127341
12,4,208064,555464,339959
12,5,555464,1482910,907581
12,6,1482910,3958896,2422950
12,7,3958896,10568984,6468501
12,8,10568984,28215802,17268826
12,9,28215802,75327153,46102234
12,10,75327153,201099372,123078199
12,11,201099372,536870912,328579371
16,0,4096,8555,5919
16,1,8555,17867,12363
16,2,17867,37316,25821
16,3,37316,77936,53928
16,4,77936,162773,112631
16,5,162773,339959,235236
16,6,339959,710020,491302
16,7,710020,1482910,1026107
16,8,1482910,3097129,2143074
16,9,3097129,6468501,4475911
16,10,6468501,13509772,9348154
16,11,13509772,28215802,19524063
16,12,28215802,58930044,40776935
16,13,58930044,123078199,85164568
16,14,123078199,257054673,177870251
16,15,257054673,536870912,371490480
24,0,4096,6693,5236
24,1,6693,10935,8555
24,2,10935,17867,13978
24,3,17867,29193,22838
24,4,29193,47699,37316
24,5,47699,77936,60971
24,6,77936,127341,99621
24,7,127341,208064,162773
24,8,208064,339959,265957
24,9,339959,555464,434551
24,10,555464,907581,710020
24,11,907581,1482910,1160113
24,12,1482910,2422950,1895526
24,13,2422950,3958896,3097129
24,14,3958896,6468501,5060447
24,15,6468501,10568984,8268342
24,16,10568984,17268826,13509772
24,17,17268826,28215802,22073825
24,18,28215802,46102234,36066764
24,19,46102234,75327153,58930044
24,20,75327153,123078199,96286709
24,21,123078199,201099372,157324342
24,22,201099372,328579371,257054673
24,23,328579371,536870912,420005603
