segment,cluster,profile_id,candidate_windows,cluster_members,mean_squared_distance,max_squared_distance
burstgpt_1,0,profile_01_burstgpt_1_c0,5053,4244,494.0065195320673,12809.26244277474
burstgpt_1,1,profile_02_burstgpt_1_c1,5053,51,570.6124070815529,7893.731170251073
burstgpt_1,2,profile_03_burstgpt_1_c2,5053,305,5007.590724761658,31169.072662425064
burstgpt_1,3,profile_04_burstgpt_1_c3,5053,75,4531.411005069957,15021.220565769405
burstgpt_1,4,profile_05_burstgpt_1_c4,5053,378,716.4851281768165,14913.973911897221
burstgpt_2,0,profile_06_burstgpt_2_c0,6469,6291,269.66150470920473,12444.642916226709
burstgpt_2,1,profile_07_burstgpt_2_c1,6469,11,10577.54794790557,51987.1865037723
burstgpt_2,2,profile_08_burstgpt_2_c2,6469,2,0.0,0.0
burstgpt_2,3,profile_09_burstgpt_2_c3,6469,80,1983.4683928924765,10362.98733471802
burstgpt_2,4,profile_10_burstgpt_2_c4,6469,85,791.9789953892868,3667.2946674566238
burstgpt_3,0,profile_11_burstgpt_3_c0,13026,12107,1642.813811360934,31093.823331287196
burstgpt_3,1,profile_12_burstgpt_3_c1,13026,55,5385.140850886489,21583.223636158593
burstgpt_3,2,profile_13_burstgpt_3_c2,13026,149,2637.262751776283,14557.589091276772
burstgpt_3,3,profile_14_burstgpt_3_c3,13026,638,1430.231702699758,23426.682478360668
burstgpt_3,4,profile_15_burstgpt_3_c4,13026,77,6617.635568314333,27430.607064227428
mooncake_conversation,0,profile_16_mooncake_conversation_c0,53,34,7.738689991779264,14.235015985221974
mooncake_conversation,1,profile_17_mooncake_conversation_c1,53,7,4.101710769743816,8.174989512825709
mooncake_conversation,2,profile_18_mooncake_conversation_c2,53,5,4.1906133374139145,7.357555718745898
mooncake_conversation,3,profile_19_mooncake_conversation_c3,53,7,4.358221689615072,7.8922488224039995
mooncake_toolagent,0,profile_20_mooncake_toolagent_c0,53,24,7.557925293553374,22.14784382422185
mooncake_toolagent,1,profile_21_mooncake_toolagent_c1,53,11,6.528102294006644,15.571627856712702
mooncake_toolagent,2,profile_22_mooncake_toolagent_c2,53,7,4.728074833941256,7.834955678239449
mooncake_toolagent,3,profile_23_mooncake_toolagent_c3,53,11,8.174835600636207,16.03256915276583
mooncake_synthetic,0,profile_24_mooncake_synthetic_c0,12,12,19.863764916115514,56.63385942118067
