curve_id,topology,scenario,curve_kind,tp,payload_bytes,latency_us,launch_us_parameter,round_us_parameter,bandwidth_gbps_parameter,saturation_mib_parameter,alternate_regime_json,rank_mapping
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,4096,5.25,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,4924,5.25,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,5919,5.25,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,7116,5.25,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,8555,5.25,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,10284,5.25,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,12363,5.25,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,14862,5.25,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,17867,5.25,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,21479,5.25,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,25821,5.292944766204077,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,31041,5.4529484774071255,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,37316,5.5,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,44859,5.5,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,53928,5.5,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,64830,5.5,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,77936,6.000004535680894,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,93691,6.531245696298242,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,112631,7.0624888735315565,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,135401,7.57502734065315,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,162773,8.00014401617402,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,195678,8.425256103315789,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,235236,8.850379632404945,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,282791,9.275503228339565,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,339959,9.700622367582872,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,408684,10.12574221332741,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,491302,10.550861018962497,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,590622,10.975980840902968,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,710020,11.401099995348684,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,853555,11.82621897029992,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,1026107,12.251339067523269,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,1233542,12.676459968163268,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,1482910,13.101578540464333,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,1782691,13.526699373847425,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,2143074,13.951819236458585,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,2576310,14.376938335275245,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,3097129,14.802058623276697,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,3723234,15.227178175636755,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,4475911,16.22758745833678,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,5380747,18.289087998118458,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,6468501,20.350587184900206,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,7776152,22.41208673522425,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,9348154,25.47970643061932,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,11237946,29.270205183378575,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,13509772,33.06070375062196,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,16240863,36.851202531666495,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,19524063,46.91952646665788,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,23470984,58.35752476116801,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,28215802,69.79552372274243,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,33919816,81.55896733776422,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,40776935,99.56140236673731,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,49020267,117.5638379200461,measured,measured,measured,measured,{},single_node_all_ranks
