curve_id,representation,samples,median_calls_ratio_latency_over_throughput,median_bytes_ratio_latency_over_throughput,median_cost_ratio_latency_over_throughput,p95_cost_ratio_latency_over_throughput
l1_measured,exact_payload_oracle,216,3.8203125,1.0,2.784663100386476,4.505396299784739
l1_measured,residual_predicted_12bin,216,3.8203125,1.0,3.0293345636637863,5.329362513772784
l2_nominal,exact_payload_oracle,216,3.8203125,1.0,2.9892591000940985,5.0498873251879
l2_nominal,residual_predicted_12bin,216,3.8203125,1.0,3.286103943210468,6.199804759737997
l2_optimistic,exact_payload_oracle,216,3.8203125,1.0,2.7599358749398757,4.344498337396545
l2_optimistic,residual_predicted_12bin,216,3.8203125,1.0,3.0558620917989465,5.237065337138465
l2_pessimistic,exact_payload_oracle,216,3.8203125,1.0,3.3700952763336898,6.2747314715341735
l2_pessimistic,residual_predicted_12bin,216,3.8203125,1.0,3.6150958499682955,7.611363299112691
l2_protocol_transition_stress,exact_payload_oracle,216,3.8203125,1.0,3.0744420446527574,5.622694600652091
l2_protocol_transition_stress,residual_predicted_12bin,216,3.8203125,1.0,3.404015785982015,6.702452954099902
l3_nominal,exact_payload_oracle,216,3.8203125,1.0,3.383429420314979,6.378226525850855
l3_nominal,residual_predicted_12bin,216,3.8203125,1.0,3.632546318552373,7.727310750630401
l3_optimistic,exact_payload_oracle,216,3.8203125,1.0,3.0357203700536504,5.230324086487035
l3_optimistic,residual_predicted_12bin,216,3.8203125,1.0,3.3419672899340105,6.445170404181505
l3_pessimistic,exact_payload_oracle,216,3.8203125,1.0,3.4765996168550375,6.73492040085842
l3_pessimistic,residual_predicted_12bin,216,3.8203125,1.0,3.7797256080548127,8.333178831184892
l3_protocol_transition_stress,exact_payload_oracle,216,3.8203125,1.0,3.3949358162440633,6.3893077212041645
l3_protocol_transition_stress,residual_predicted_12bin,216,3.8203125,1.0,3.6268919311373136,7.750735598547631
