evaluation,curve_id,topology,scenario,representation,cases,selection_accuracy,mean_regret,p95_regret,max_regret,oracle_choice_counts_json,estimated_choice_counts_json
model_holdout,l1_measured,L1_single_node_B200_NVLink_measured,measured,exact_payload_oracle,216,1.0,0.0,0.0,0.0,"{""balanced"":1,""throughput"":215}","{""balanced"":1,""throughput"":215}"
model_holdout,l1_measured,L1_single_node_B200_NVLink_measured,measured,h0_predicted_12bin,216,0.9953703703703703,1.411580243997184e-05,0.0,0.0030490133270339175,"{""balanced"":1,""throughput"":215}","{""throughput"":216}"
model_holdout,l1_measured,L1_single_node_B200_NVLink_measured,measured,onebin_calls_bytes,216,1.0,0.0,0.0,0.0,"{""balanced"":1,""throughput"":215}","{""balanced"":1,""throughput"":215}"
model_holdout,l1_measured,L1_single_node_B200_NVLink_measured,measured,residual_predicted_12bin,216,0.9953703703703703,1.411580243997184e-05,0.0,0.0030490133270339175,"{""balanced"":1,""throughput"":215}","{""throughput"":216}"
model_holdout,l1_measured,L1_single_node_B200_NVLink_measured,measured,threebin_calls_bytes,216,1.0,0.0,0.0,0.0,"{""balanced"":1,""throughput"":215}","{""balanced"":1,""throughput"":215}"
model_holdout,l1_measured,L1_single_node_B200_NVLink_measured,measured,total_bytes_data_only,216,0.0,1.8638179196940072,3.50539629978474,4.260344966557159,"{""balanced"":1,""throughput"":215}","{""latency"":216}"
model_holdout,l1_measured,L1_single_node_B200_NVLink_measured,measured,twelvebin_exact,216,1.0,0.0,0.0,0.0,"{""balanced"":1,""throughput"":215}","{""balanced"":1,""throughput"":215}"
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,exact_payload_oracle,216,1.0,0.0,0.0,0.0,"{""throughput"":216}","{""throughput"":216}"
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,h0_predicted_12bin,216,1.0,0.0,0.0,0.0,"{""throughput"":216}","{""throughput"":216}"
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,onebin_calls_bytes,216,1.0,0.0,0.0,0.0,"{""throughput"":216}","{""throughput"":216}"
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,residual_predicted_12bin,216,1.0,0.0,0.0,0.0,"{""throughput"":216}","{""throughput"":216}"
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,threebin_calls_bytes,216,1.0,0.0,0.0,0.0,"{""throughput"":216}","{""throughput"":216}"
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,total_bytes_data_only,216,0.0,2.086301469128595,4.0498873251879,5.110651606813516,"{""throughput"":216}","{""latency"":216}"
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,twelvebin_exact,216,1.0,0.0,0.0,0.0,"{""throughput"":216}","{""throughput"":216}"
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,exact_payload_oracle,216,1.0,0.0,0.0,0.0,"{""throughput"":216}","{""throughput"":216}"
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,h0_predicted_12bin,216,1.0,0.0,0.0,0.0,"{""throughput"":216}","{""throughput"":216}"
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,onebin_calls_bytes,216,1.0,0.0,0.0,0.0,"{""throughput"":216}","{""throughput"":216}"
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,residual_predicted_12bin,216,1.0,0.0,0.0,0.0,"{""throughput"":216}","{""throughput"":216}"
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,threebin_calls_bytes,216,1.0,0.0,0.0,0.0,"{""throughput"":216}","{""throughput"":216}"
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,total_bytes_data_only,216,0.0,1.8178819537663662,3.344498337396545,4.4748034998524275,"{""throughput"":216}","{""latency"":216}"
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,twelvebin_exact,216,1.0,0.0,0.0,0.0,"{""throughput"":216}","{""throughput"":216}"
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,exact_payload_oracle,216,1.0,0.0,0.0,0.0,"{""throughput"":216}","{""throughput"":216}"
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,h0_predicted_12bin,216,1.0,0.0,0.0,0.0,"{""throughput"":216}","{""throughput"":216}"
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,onebin_calls_bytes,216,1.0,0.0,0.0,0.0,"{""throughput"":216}","{""throughput"":216}"
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,residual_predicted_12bin,216,1.0,0.0,0.0,0.0,"{""throughput"":216}","{""throughput"":216}"
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,threebin_calls_bytes,216,1.0,0.0,0.0,0.0,"{""throughput"":216}","{""throughput"":216}"
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,total_bytes_data_only,216,0.0,2.4992447876870383,5.2747314715341735,5.965297468663613,"{""throughput"":216}","{""latency"":216}"
