evaluation,curve_id,objective,representation,decision_count,selection_accuracy,mean_regret,p95_regret,max_regret,mean_rank_pair_agreement
model_holdout,l1_measured,balanced,exact_payload_oracle,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l1_measured,balanced,h0_predicted_12bin,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l1_measured,balanced,onebin_calls_bytes,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l1_measured,balanced,residual_predicted_12bin,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l1_measured,balanced,threebin_calls_bytes,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l1_measured,balanced,total_bytes_data_only,72,1.0,0.0,0.0,0.0,0.9996141975308643
model_holdout,l1_measured,balanced,twelvebin_exact,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l1_measured,gpu_efficiency,exact_payload_oracle,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l1_measured,gpu_efficiency,h0_predicted_12bin,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l1_measured,gpu_efficiency,onebin_calls_bytes,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l1_measured,gpu_efficiency,residual_predicted_12bin,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l1_measured,gpu_efficiency,threebin_calls_bytes,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l1_measured,gpu_efficiency,total_bytes_data_only,72,1.0,0.0,0.0,0.0,0.9996141975308643
model_holdout,l1_measured,gpu_efficiency,twelvebin_exact,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l1_measured,latency,exact_payload_oracle,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l1_measured,latency,h0_predicted_12bin,72,1.0,0.0,0.0,0.0,0.9976851851851851
model_holdout,l1_measured,latency,onebin_calls_bytes,72,1.0,0.0,0.0,0.0,0.9988425925925924
model_holdout,l1_measured,latency,residual_predicted_12bin,72,1.0,0.0,0.0,0.0,0.9984567901234568
model_holdout,l1_measured,latency,threebin_calls_bytes,72,1.0,0.0,0.0,0.0,0.9988425925925924
model_holdout,l1_measured,latency,total_bytes_data_only,72,0.9166666666666666,0.00012511036090578017,0.000742131101007405,0.0030906854234669066,0.9911265432098766
model_holdout,l1_measured,latency,twelvebin_exact,72,1.0,0.0,0.0,0.0,0.9996141975308643
model_holdout,l2_nominal,balanced,exact_payload_oracle,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_nominal,balanced,h0_predicted_12bin,72,1.0,0.0,0.0,0.0,0.9988425925925924
model_holdout,l2_nominal,balanced,onebin_calls_bytes,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_nominal,balanced,residual_predicted_12bin,72,1.0,0.0,0.0,0.0,0.9988425925925924
model_holdout,l2_nominal,balanced,threebin_calls_bytes,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_nominal,balanced,total_bytes_data_only,72,1.0,0.0,0.0,0.0,0.9942129629629629
model_holdout,l2_nominal,balanced,twelvebin_exact,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_nominal,gpu_efficiency,exact_payload_oracle,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_nominal,gpu_efficiency,h0_predicted_12bin,72,1.0,0.0,0.0,0.0,0.9988425925925924
model_holdout,l2_nominal,gpu_efficiency,onebin_calls_bytes,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_nominal,gpu_efficiency,residual_predicted_12bin,72,1.0,0.0,0.0,0.0,0.9988425925925924
model_holdout,l2_nominal,gpu_efficiency,threebin_calls_bytes,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_nominal,gpu_efficiency,total_bytes_data_only,72,1.0,0.0,0.0,0.0,0.9934413580246912
model_holdout,l2_nominal,gpu_efficiency,twelvebin_exact,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_nominal,latency,exact_payload_oracle,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_nominal,latency,h0_predicted_12bin,72,1.0,0.0,0.0,0.0,0.9969135802469135
model_holdout,l2_nominal,latency,onebin_calls_bytes,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_nominal,latency,residual_predicted_12bin,72,1.0,0.0,0.0,0.0,0.9969135802469135
model_holdout,l2_nominal,latency,threebin_calls_bytes,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_nominal,latency,total_bytes_data_only,72,1.0,0.0,0.0,0.0,0.9853395061728397
model_holdout,l2_nominal,latency,twelvebin_exact,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_optimistic,balanced,exact_payload_oracle,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_optimistic,balanced,h0_predicted_12bin,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_optimistic,balanced,onebin_calls_bytes,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_optimistic,balanced,residual_predicted_12bin,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_optimistic,balanced,threebin_calls_bytes,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_optimistic,balanced,total_bytes_data_only,72,1.0,0.0,0.0,0.0,0.9976851851851851
model_holdout,l2_optimistic,balanced,twelvebin_exact,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_optimistic,gpu_efficiency,exact_payload_oracle,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_optimistic,gpu_efficiency,h0_predicted_12bin,72,1.0,0.0,0.0,0.0,0.9984567901234568
model_holdout,l2_optimistic,gpu_efficiency,onebin_calls_bytes,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_optimistic,gpu_efficiency,residual_predicted_12bin,72,1.0,0.0,0.0,0.0,0.9984567901234568
model_holdout,l2_optimistic,gpu_efficiency,threebin_calls_bytes,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_optimistic,gpu_efficiency,total_bytes_data_only,72,1.0,0.0,0.0,0.0,0.9969135802469135
model_holdout,l2_optimistic,gpu_efficiency,twelvebin_exact,72,1.0,0.0,0.0,0.0,1.0
model_holdout,l2_optimistic,latency,exact_payload_oracle,72,1.0,0.0,0.0,0.0,1.0
