model,tp,profile_id,source,segment,split,strategy,batch_count,request_count,input_tokens,actual_output_tokens,prefill_wall_us_per_1000,decode_wall_us_per_1000,total_wall_us_per_1000,arrival_span_ms
deepseek-v2-lite,2,profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,balanced,4,32,17777,1473,8023871.807381511,666738652.769709,674762524.5770905,295000.0
deepseek-v2-lite,2,profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,latency,8,32,17777,1473,26647171.936929226,1111953489.3368835,1138600661.2738128,295000.0
deepseek-v2-lite,2,profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,throughput,2,32,17777,1473,4091911.4253483713,385413585.4926426,389505496.917991,295000.0
deepseek-v2-lite,2,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,balanced,4,32,5763,386,7537896.221037954,396278978.0052844,403816874.2263224,281000.0
deepseek-v2-lite,2,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,latency,8,32,5763,386,14262089.127441868,418426593.6783049,432688682.8057468,281000.0
deepseek-v2-lite,2,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,throughput,2,32,5763,386,3695648.3963876963,392303058.44102985,395998706.83741754,281000.0
deepseek-v2-lite,2,profile_03_burstgpt_1_c2,burstgpt,burstgpt_1,train,balanced,4,32,14124,2022,7355586.189078167,639459777.9435571,646815364.1326354,299000.0
deepseek-v2-lite,2,profile_03_burstgpt_1_c2,burstgpt,burstgpt_1,train,latency,8,32,14124,2022,13693448.418052867,1220459798.2927225,1234153246.7107754,299000.0
deepseek-v2-lite,2,profile_03_burstgpt_1_c2,burstgpt,burstgpt_1,train,throughput,2,32,14124,2022,4128268.8034698367,386401964.0313927,390530232.83486253,299000.0
deepseek-v2-lite,2,profile_04_burstgpt_1_c3,burstgpt,burstgpt_1,train,balanced,4,32,9880,1986,6913205.404998735,457815162.1681172,464728367.57311594,292000.0
deepseek-v2-lite,2,profile_04_burstgpt_1_c3,burstgpt,burstgpt_1,train,latency,8,32,9880,1986,13540371.93232216,876160725.8638833,889701097.7962054,292000.0
deepseek-v2-lite,2,profile_04_burstgpt_1_c3,burstgpt,burstgpt_1,train,throughput,2,32,9880,1986,3552576.0613381863,385639425.0469748,389192001.10831296,292000.0
deepseek-v2-lite,2,profile_05_burstgpt_1_c4,burstgpt,burstgpt_1,train,balanced,4,32,24182,1739,7224685.745313764,770481772.5461907,777706458.2915045,296000.0
deepseek-v2-lite,2,profile_05_burstgpt_1_c4,burstgpt,burstgpt_1,train,latency,8,32,24182,1739,13514141.668565571,1352372348.017525,1365886489.6860905,296000.0
deepseek-v2-lite,2,profile_05_burstgpt_1_c4,burstgpt,burstgpt_1,train,throughput,2,32,24182,1739,4455624.643014744,385520064.010052,389975688.65306675,296000.0
deepseek-v2-lite,2,profile_06_burstgpt_2_c0,burstgpt,burstgpt_2,validation,balanced,4,32,9100,851,6870567.071018741,626578129.2167958,633448696.2878145,299000.0
deepseek-v2-lite,2,profile_06_burstgpt_2_c0,burstgpt,burstgpt_2,validation,latency,8,32,9100,851,14296065.02642855,880189896.619413,894485961.6458416,299000.0
deepseek-v2-lite,2,profile_06_burstgpt_2_c0,burstgpt,burstgpt_2,validation,throughput,2,32,9100,851,3517188.2482245564,383347440.21994996,386864628.46817446,299000.0
deepseek-v2-lite,2,profile_07_burstgpt_2_c1,burstgpt,burstgpt_2,validation,balanced,4,32,18897,904,6921908.614458516,468719912.2272432,475641820.8417017,184000.0
deepseek-v2-lite,2,profile_07_burstgpt_2_c1,burstgpt,burstgpt_2,validation,latency,8,32,18897,904,13105756.48676604,718224085.343536,731329841.830302,184000.0
deepseek-v2-lite,2,profile_07_burstgpt_2_c1,burstgpt,burstgpt_2,validation,throughput,2,32,18897,904,3554518.6838135123,293038384.93069637,296592903.6145098,184000.0
deepseek-v2-lite,2,profile_08_burstgpt_2_c2,burstgpt,burstgpt_2,validation,balanced,4,32,62754,4010,10986025.677993894,769215128.4427382,780201154.1207321,228000.0
deepseek-v2-lite,2,profile_08_burstgpt_2_c2,burstgpt,burstgpt_2,validation,latency,11,32,62754,4010,18540465.011028573,2116137190.19806,2134677655.2090888,228000.0
deepseek-v2-lite,2,profile_08_burstgpt_2_c2,burstgpt,burstgpt_2,validation,throughput,2,32,62754,4010,10538983.682636172,384824306.23844266,395363289.9210788,228000.0
deepseek-v2-lite,2,profile_09_burstgpt_2_c3,burstgpt,burstgpt_2,validation,balanced,4,32,30550,3144,7171353.237936273,768645255.6808945,775816608.9188308,298000.0
deepseek-v2-lite,2,profile_09_burstgpt_2_c3,burstgpt,burstgpt_2,validation,latency,8,32,30550,3144,13494982.675183564,1538067540.7359376,1551562523.4111211,298000.0
deepseek-v2-lite,2,profile_09_burstgpt_2_c3,burstgpt,burstgpt_2,validation,throughput,2,32,30550,3144,5178437.975700945,384068634.5647555,389247072.5404564,298000.0
deepseek-v2-lite,2,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,validation,balanced,4,32,3794,645,6587709.300220013,317572869.2440316,324160578.5442516,299000.0
deepseek-v2-lite,2,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,validation,latency,8,32,3794,645,13910266.541643068,433797598.3507931,447707864.8924362,299000.0
deepseek-v2-lite,2,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,validation,throughput,2,32,3794,645,3328896.0985373706,178675878.58927435,182004774.68781173,299000.0
deepseek-v2-lite,2,profile_11_burstgpt_3_c0,burstgpt,burstgpt_3,temporal_test,balanced,4,32,29547,3101,7081193.121848628,769115270.8721347,776196463.9939834,293000.0
deepseek-v2-lite,2,profile_11_burstgpt_3_c0,burstgpt,burstgpt_3,temporal_test,latency,8,32,29547,3101,13284727.785503492,1481169476.3775449,1494454204.1630485,293000.0
deepseek-v2-lite,2,profile_11_burstgpt_3_c0,burstgpt,burstgpt_3,temporal_test,throughput,2,32,29547,3101,4966259.992215782,382897459.7272463,387863719.7194621,293000.0
deepseek-v2-lite,2,profile_12_burstgpt_3_c1,burstgpt,burstgpt_3,temporal_test,balanced,4,32,1351,386,6432473.979657516,354798871.1798098,361231345.15946734,284000.0
deepseek-v2-lite,2,profile_12_burstgpt_3_c1,burstgpt,burstgpt_3,temporal_test,latency,8,32,1351,386,13758012.180915102,416064128.83265877,429822141.0135739,284000.0
