fold_dimension,method,phase,samples,mean_calls_ape,p95_calls_ape,mean_bytes_ape,p95_bytes_ape,mean_calls_l1,p95_calls_l1,mean_bytes_l1,p95_bytes_l1,mean_calls_emd,p95_calls_emd
pp_size,direct_dnn,all,234,17.634597279386536,62.925784587860086,39.349281451299966,204.92043156777657,0.04490754335237835,0.1476129762458212,0.04391795995598867,0.15014528149185924,0.0034138585581266413,0.012729376362933014
pp_size,direct_dnn,prefill,117,20.043814386058056,72.88340091705321,40.843847215685074,244.2704677581786,0.045727794540699036,0.21116441526683027,0.04410345628761377,0.19687483274610693,0.0037099993221345806,0.014387409897013141
pp_size,direct_dnn,decode,117,15.225380172715019,47.62058873330392,37.854715686914865,187.83986737651205,0.044087292164057656,0.08839590420054975,0.04373246362436356,0.07395013578934587,0.0031177177941187025,0.006759136669676405
pp_size,h0_dnn_residual,all,234,5.395410779027053,12.114682704859435,0.48871872213976647,1.292083757702272,0.009438112475058857,0.0020497170940478138,0.009427828308595688,0.0021119081474954863,0.0005448942867777191,0.000337279868608701
pp_size,h0_dnn_residual,prefill,117,3.3880385749340975,9.268359811464789,0.3946515798970888,1.1130835297748465,0.0006988601507417935,0.0015623838298807903,0.000700916005712097,0.0014175314888552502,0.00012105546273711607,0.0002764921734962178
pp_size,h0_dnn_residual,decode,117,7.402782983120007,15.452272266021293,0.5827858643824441,1.3388726186629802,0.01817736479937592,0.002700936283019046,0.018154740611479276,0.003425237976334087,0.0009687331108183223,0.0003745612910492003
pp_size,structured_h0,all,234,2.5641025641025643,0.0,0.0,0.0,0.008547008547008548,0.0,0.008547008547008548,0.0,0.0003885003885003885,0.0
pp_size,structured_h0,prefill,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pp_size,structured_h0,decode,117,5.128205128205129,0.0,0.0,0.0,0.017094017094017096,0.0,0.017094017094017096,0.0,0.000777000777000777,0.0
pp_size,three_bin_oracle,all,234,0.0,0.0,0.0,0.0,0.0818112396382681,0.33684210526315783,0.08235530816175977,0.23655913978494625,0.003718692710830369,0.015311004784688996
pp_size,three_bin_oracle,prefill,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pp_size,three_bin_oracle,decode,117,0.0,0.0,0.0,0.0,0.16362247927653623,2.0,0.16471061632351955,2.0,0.007437385421660738,0.09090909090909091
pp_size,total_bytes_oracle,all,234,0.0,0.0,0.0,0.0,0.0818112396382681,0.33684210526315783,0.08235530816175977,0.23655913978494625,0.003718692710830369,0.015311004784688996
pp_size,total_bytes_oracle,prefill,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pp_size,total_bytes_oracle,decode,117,0.0,0.0,0.0,0.0,0.16362247927653623,2.0,0.16471061632351955,2.0,0.007437385421660738,0.09090909090909091
strategy,direct_dnn,all,234,52.60770242272385,118.90624880790692,435.54285292101474,1216.8628106578703,1.1317330791362306,1.9999486817457863,1.1382540973224755,1.9979497138419902,0.07255430655255093,0.19887343936345794
strategy,direct_dnn,prefill,117,71.52364656456515,387.5076770782469,374.37002923594326,1433.7539672851497,1.1673487376628695,1.9832565455173607,1.1561508887992624,1.9780379749194252,0.08970717938316608,0.21401916715231808
strategy,direct_dnn,decode,117,33.691758280882546,73.01100946241804,496.7156766060862,1039.9044701360863,1.0961174206095916,1.9999999084654974,1.1203573058456893,1.99999611771442,0.055401433721935775,0.09589860247956081
strategy,h0_dnn_residual,all,234,5.368669662977387,12.089054854578361,0.5603881268524029,1.2707339801073663,0.009419359216497001,0.0019554265386561415,0.009489129490076055,0.002025950061606259,0.0005469256312625952,0.0003584392277735957
strategy,h0_dnn_residual,prefill,117,3.2283529879780875,10.325568371879763,0.4308776534230794,1.0714198903058245,0.0007123702335266232,0.0014841022696781344,0.0008179635149566296,0.0015600689865381363,0.00011581422547482594,0.00025742872583422516
strategy,h0_dnn_residual,decode,117,7.508986337976686,15.803319504142998,0.6898986002817263,1.4509845292742565,0.018126348199467384,0.0026928351166837805,0.018160295465195486,0.0033349438514574206,0.0009780370370503645,0.0003836524292786045
strategy,structured_h0,all,234,2.5641025641025643,0.0,0.0,0.0,0.008547008547008548,0.0,0.008547008547008548,0.0,0.0003885003885003885,0.0
strategy,structured_h0,prefill,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strategy,structured_h0,decode,117,5.128205128205129,0.0,0.0,0.0,0.017094017094017096,0.0,0.017094017094017096,0.0,0.000777000777000777,0.0
strategy,three_bin_oracle,all,234,0.0,0.0,0.0,0.0,0.08181123963826811,0.33684210526315783,0.08235530816175977,0.23655913978494625,0.003718692710830369,0.015311004784688996
strategy,three_bin_oracle,prefill,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strategy,three_bin_oracle,decode,117,0.0,0.0,0.0,0.0,0.16362247927653623,2.0,0.16471061632351955,2.0,0.007437385421660738,0.09090909090909091
strategy,total_bytes_oracle,all,234,0.0,0.0,0.0,0.0,0.08181123963826811,0.33684210526315783,0.08235530816175977,0.23655913978494625,0.003718692710830369,0.015311004784688996
strategy,total_bytes_oracle,prefill,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strategy,total_bytes_oracle,decode,117,0.0,0.0,0.0,0.0,0.16362247927653623,2.0,0.16471061632351955,2.0,0.007437385421660738,0.09090909090909091
workload,direct_dnn,all,234,119.60876138455922,635.9719681739807,190582.9055438693,2275012.8311854084,0.8934028959951227,1.9911833823047345,0.8905212414222857,1.9964816100599365,0.07735060716068322,0.3896065929396585
workload,direct_dnn,prefill,117,122.3272438869517,635.8611011505126,181103.49516959483,2252723.242187499,1.1520819707458532,1.996896482018201,1.126416582947447,1.9970452276018478,0.11459016240360388,0.45454545454545453
workload,direct_dnn,decode,117,116.89027888216671,496.94095066615307,200062.3159181438,2307288.385826769,0.6347238212443924,1.8723871177295213,0.6546258998971243,1.9216281247616278,0.04011105191776253,0.09562646096402944
workload,h0_dnn_residual,all,234,7.9439221429143085,26.083538443212205,1.2375250921729157,4.956314722757385,0.011007023524981703,0.01369958873851732,0.011702987317222895,0.01922800126197107,0.0008103638843862208,0.0023936597977387937
workload,h0_dnn_residual,prefill,117,5.103317560490844,26.42764723885524,1.1295749943529092,4.657728274940602,0.0021869769789993393,0.015327717830801908,0.002372179019144957,0.017115178198779803,0.0003818543926430429,0.002895981417023321
workload,h0_dnn_residual,decode,117,10.784526725337773,25.07571297013883,1.3454751899929227,5.601071661852946,0.019827070070964056,0.01318858177102606,0.02103379561530083,0.02943481221864192,0.0012388733761293988,0.0022466488195347694
workload,structured_h0,all,234,2.5641025641025643,0.0,0.0,0.0,0.008547008547008548,0.0,0.008547008547008548,0.0,0.0003885003885003885,0.0
workload,structured_h0,prefill,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
workload,structured_h0,decode,117,5.128205128205129,0.0,0.0,0.0,0.017094017094017096,0.0,0.017094017094017096,0.0,0.000777000777000777,0.0
workload,three_bin_oracle,all,234,0.0,0.0,0.0,0.0,0.0818112396382681,0.33684210526315783,0.08235530816175977,0.23655913978494625,0.003718692710830369,0.015311004784688996
workload,three_bin_oracle,prefill,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
workload,three_bin_oracle,decode,117,0.0,0.0,0.0,0.0,0.16362247927653623,2.0,0.16471061632351955,2.0,0.007437385421660736,0.09090909090909091
workload,total_bytes_oracle,all,234,0.0,0.0,0.0,0.0,0.0818112396382681,0.33684210526315783,0.08235530816175977,0.23655913978494625,0.003718692710830369,0.015311004784688996
workload,total_bytes_oracle,prefill,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
workload,total_bytes_oracle,decode,117,0.0,0.0,0.0,0.0,0.16362247927653623,2.0,0.16471061632351955,2.0,0.007437385421660736,0.09090909090909091
