pp_size,max_microbatch,profile_id,source,segment,rps,interarrival_cv,repeat,phase,histogram_changed,profiled_boundary_calls,draining_boundary_calls,calls_delta_fraction,profiled_boundary_bytes,draining_boundary_bytes,bytes_delta_fraction,calls_distribution_tvd,profiled_pipeline_calls,draining_pipeline_calls,profiled_pipeline_bytes,draining_pipeline_bytes
2,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,0,prefill,0,64,64,0.0,94420992,94420992,0.0,0.0,64,64,94420992,94420992
2,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,0,decode,0,708,708,0.0,5799936,5799936,0.0,0.0,708,708,5799936,5799936
2,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,1,prefill,0,64,64,0.0,94420992,94420992,0.0,0.0,64,64,94420992,94420992
2,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,1,decode,0,708,708,0.0,5799936,5799936,0.0,0.0,708,708,5799936,5799936
2,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,2,prefill,0,64,64,0.0,94420992,94420992,0.0,0.0,64,64,94420992,94420992
2,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,2,decode,0,708,708,0.0,5799936,5799936,0.0,0.0,708,708,5799936,5799936
2,1,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,0,prefill,0,64,64,0.0,62160896,62160896,0.0,0.0,64,64,62160896,62160896
2,1,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,0,decode,0,1226,1226,0.0,10043392,10043392,0.0,0.0,1226,1226,10043392,10043392
2,1,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,1,prefill,0,64,64,0.0,62160896,62160896,0.0,0.0,64,64,62160896,62160896
2,1,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,1,decode,0,1226,1226,0.0,10043392,10043392,0.0,0.0,1226,1226,10043392,10043392
2,1,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,2,prefill,0,64,64,0.0,62160896,62160896,0.0,0.0,64,64,62160896,62160896
2,1,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,2,decode,0,1226,1226,0.0,10043392,10043392,0.0,0.0,1226,1226,10043392,10043392
2,1,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,0,prefill,0,100,100,0.0,2398896128,2398896128,0.0,0.0,100,100,2398896128,2398896128
2,1,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,0,decode,1,3722,3428,0.08576429404900816,37273600,37273600,0.0,0.05436688848105526,3722,3428,37273600,37273600
2,1,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,1,prefill,0,100,100,0.0,2398896128,2398896128,0.0,0.0,100,100,2398896128,2398896128
2,1,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,1,decode,1,3722,3816,-0.024633123689727462,37273600,37273600,0.0,0.019069569909552456,3722,3816,37273600,37273600
2,1,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,2,prefill,0,100,100,0.0,2398896128,2398896128,0.0,0.0,100,100,2398896128,2398896128
2,1,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,2,decode,1,3722,3218,0.15661901802361716,37273600,37273600,0.0,0.12528365931960503,3722,3218,37273600,37273600
2,4,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,0,prefill,1,36,40,-0.1,94420992,94420992,0.0,0.8444444444444444,36,40,94420992,94420992
2,4,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,0,decode,1,566,326,0.7361963190184049,5799936,5799936,0.0,0.7800299161048364,566,326,5799936,5799936
2,4,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,1,prefill,1,32,40,-0.2,94420992,94420992,0.0,0.8875000000000001,32,40,94420992,94420992
2,4,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,1,decode,1,514,326,0.5766871165644172,5799936,5799936,0.0,0.683344871213387,514,326,5799936,5799936
2,4,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,2,prefill,1,28,40,-0.3,94420992,94420992,0.0,0.8785714285714286,28,40,94420992,94420992
2,4,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,2,decode,1,544,326,0.6687116564417178,5799936,5799936,0.0,0.7535411403825334,544,326,5799936,5799936
