sample_id,phase,pp_size,microbatch_size,workload,calls_ape,bytes_ape,histogram_l1,histogram_emd
qwen3-8b/pp2/mb1/fixed_b4_l512_m32/decode,decode,2,1,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp2/mb1/fixed_b4_l512_m32/prefill,prefill,2,1,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp2/mb1/longtail_b8_l512/decode,decode,2,1,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp2/mb1/longtail_b8_l512/prefill,prefill,2,1,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp2/mb1/mixed_b8_l512/decode,decode,2,1,mixed_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp2/mb1/mixed_b8_l512/prefill,prefill,2,1,mixed_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp2/mb16/fixed_b4_l512_m32/decode,decode,2,16,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp2/mb16/fixed_b4_l512_m32/prefill,prefill,2,16,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp2/mb16/longtail_b8_l512/decode,decode,2,16,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp2/mb16/longtail_b8_l512/prefill,prefill,2,16,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp2/mb16/mixed_b8_l512/decode,decode,2,16,mixed_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp2/mb16/mixed_b8_l512/prefill,prefill,2,16,mixed_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp2/mb4/fixed_b4_l512_m32/decode,decode,2,4,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp2/mb4/fixed_b4_l512_m32/prefill,prefill,2,4,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp2/mb4/longtail_b8_l512/decode,decode,2,4,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp2/mb4/longtail_b8_l512/prefill,prefill,2,4,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp2/mb4/mixed_b8_l512/decode,decode,2,4,mixed_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp2/mb4/mixed_b8_l512/prefill,prefill,2,4,mixed_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb1/fixed_b4_l512_m32/decode,decode,4,1,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb1/fixed_b4_l512_m32/prefill,prefill,4,1,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb1/longtail_b8_l512/decode,decode,4,1,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb1/longtail_b8_l512/prefill,prefill,4,1,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb1/mixed_b8_l512/decode,decode,4,1,mixed_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb1/mixed_b8_l512/prefill,prefill,4,1,mixed_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb16/fixed_b4_l512_m32/decode,decode,4,16,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb16/fixed_b4_l512_m32/prefill,prefill,4,16,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb16/longtail_b8_l512/decode,decode,4,16,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb16/longtail_b8_l512/prefill,prefill,4,16,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb16/mixed_b8_l512/decode,decode,4,16,mixed_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb16/mixed_b8_l512/prefill,prefill,4,16,mixed_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb4/fixed_b4_l512_m32/decode,decode,4,4,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb4/fixed_b4_l512_m32/prefill,prefill,4,4,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb4/longtail_b8_l512/decode,decode,4,4,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb4/longtail_b8_l512/prefill,prefill,4,4,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb4/mixed_b8_l512/decode,decode,4,4,mixed_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp4/mb4/mixed_b8_l512/prefill,prefill,4,4,mixed_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb1/fixed_b4_l512_m32/decode,decode,8,1,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb1/fixed_b4_l512_m32/prefill,prefill,8,1,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb1/longtail_b8_l512/decode,decode,8,1,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb1/longtail_b8_l512/prefill,prefill,8,1,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb1/mixed_b8_l512/decode,decode,8,1,mixed_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb1/mixed_b8_l512/prefill,prefill,8,1,mixed_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb16/fixed_b4_l512_m32/decode,decode,8,16,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb16/fixed_b4_l512_m32/prefill,prefill,8,16,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb16/longtail_b8_l512/decode,decode,8,16,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb16/longtail_b8_l512/prefill,prefill,8,16,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb16/mixed_b8_l512/decode,decode,8,16,mixed_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb16/mixed_b8_l512/prefill,prefill,8,16,mixed_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb4/fixed_b4_l512_m32/decode,decode,8,4,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb4/fixed_b4_l512_m32/prefill,prefill,8,4,fixed_b4_l512_m32,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb4/longtail_b8_l512/decode,decode,8,4,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb4/longtail_b8_l512/prefill,prefill,8,4,longtail_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb4/mixed_b8_l512/decode,decode,8,4,mixed_b8_l512,0.0,0.0,0.0,0.0
qwen3-8b/pp8/mb4/mixed_b8_l512/prefill,prefill,8,4,mixed_b8_l512,0.0,0.0,0.0,0.0
