parallelism,parallel_size,profile_id,policy,phase,requests,calls_predicted,calls_truth,calls_abs_error,calls_ape,bytes_predicted,bytes_truth,bytes_abs_error,bytes_ape,calls_histogram_l1,calls_histogram_tv,bytes_histogram_l1,bytes_histogram_tv,log_payload_emd_log2_bytes,normalized_log_payload_emd,common_reference_cost_predicted_us,common_reference_cost_truth_us,common_reference_cost_ape,exact_histogram
tp,2,profile_13_burstgpt_3_c2,balanced,decode,42,1119333.3333333333,1119333.3333333333,0.0,0.0,33360749714.285713,33360749714.285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5930274.163809524,5930274.163809524,0.0,True
tp,2,profile_13_burstgpt_3_c2,balanced,prefill,42,10428.571428571428,10428.571428571428,0.0,0.0,287061918476.1905,287061918476.1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2922762.041904762,2922762.041904762,0.0,True
tp,2,profile_13_burstgpt_3_c2,latency,decode,42,2050952.380952381,2050952.380952381,0.0,0.0,33360749714.285717,33360749714.285717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10588369.401904764,10588369.401904764,0.0,True
tp,2,profile_13_burstgpt_3_c2,latency,prefill,42,19119.04761904762,19119.04761904762,0.0,0.0,287061918476.1905,287061918476.1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2966214.422857143,2966214.422857143,0.0,True
tp,2,profile_13_burstgpt_3_c2,throughput,decode,42,662214.2857142858,662214.2857142858,0.0,0.0,33360749714.285717,33360749714.285717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3644678.925714286,3644678.925714286,0.0,True
tp,2,profile_13_burstgpt_3_c2,throughput,prefill,42,5214.285714285714,5214.285714285714,0.0,0.0,287061918476.1905,287061918476.1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2896690.6133333333,2896690.6133333333,0.0,True
pp,2,profile_13_burstgpt_3_c2,mb1,prefill,42,2000.0,2000.0,0.0,0.0,7864710095.238095,7864710095.238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88647.10095238096,88647.10095238096,0.0,True
pp,2,profile_13_burstgpt_3_c2,mb1,decode,42,111571.42857142858,111571.42857142858,0.0,0.0,913993142.8571429,913993142.8571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566997.0742857143,566997.0742857143,0.0,True
pp,2,profile_13_burstgpt_3_c2,mb16,prefill,42,238.0952380952381,571.4285714285714,333.33333333333337,0.5833333333333334,7864710095.238095,7864710095.238095,0.0,0.0,2.0,1.0,2.0,1.0,2.101731892992302,0.10008247109487152,79837.57714285713,81504.2438095238,0.020448832953553774,False
pp,2,profile_13_burstgpt_3_c2,mb16,decode,42,48380.95238095238,12571.428571428572,35809.52380952381,2.848484848484848,913993142.8571428,913993142.8571428,0.0,0.0,1.7006680983058937,0.8503340491529469,1.5749039692701665,0.7874519846350833,2.175515899925526,0.10359599523454885,251044.69333333333,71997.07428571429,2.4868735406814415,False
pp,2,profile_13_burstgpt_3_c2,mb4,prefill,42,523.8095238095239,1619.047619047619,1095.2380952380952,0.676470588235294,7864710095.238095,7864710095.238095,0.0,0.0,1.8823529411764706,0.9411764705882353,1.5835524031546055,0.7917762015773028,2.6847010426009144,0.12784290679051974,81266.14857142858,86742.33904761905,0.06313169020245352,False
pp,2,profile_13_burstgpt_3_c2,mb4,decode,42,56190.47619047619,31142.857142857145,25047.619047619046,0.8042813455657492,913993142.8571429,913993142.8571429,0.0,0.0,1.3989478049033328,0.6994739024516664,1.4204011950490825,0.7102005975245412,0.9693926847543153,0.046161556416872154,290092.3123809524,164854.21714285715,0.7596899697723117,False
pp,4,profile_13_burstgpt_3_c2,mb1,prefill,42,2000.0,2000.0,0.0,0.0,7864710095.238095,7864710095.238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88647.10095238096,88647.10095238096,0.0,True
pp,4,profile_13_burstgpt_3_c2,mb1,decode,42,111571.42857142858,111571.42857142858,0.0,0.0,913993142.8571429,913993142.8571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566997.0742857143,566997.0742857143,0.0,True
pp,4,profile_13_burstgpt_3_c2,mb16,prefill,42,238.0952380952381,285.7142857142857,47.61904761904762,0.16666666666666666,7864710095.238095,7864710095.238095,0.0,0.0,2.0,1.0,2.0,1.0,0.46422541010162893,0.02210597190960138,79837.57714285713,80075.67238095238,0.0029733779438346247,False
pp,4,profile_13_burstgpt_3_c2,mb16,decode,42,48380.95238095238,24190.47619047619,24190.47619047619,1.0,913993142.8571428,913993142.8571429,1.1920928955078125e-07,1.3042689705322401e-16,1.279527559055118,0.639763779527559,1.040546308151942,0.520273154075971,1.2211982519666469,0.05815229771269747,251044.69333333333,130092.3123809524,0.9297427245215937,False
pp,4,profile_13_burstgpt_3_c2,mb4,prefill,42,523.8095238095239,1333.3333333333335,809.5238095238096,0.6071428571428572,7864710095.238095,7864710095.238095,0.0,0.0,1.7142857142857142,0.8571428571428571,1.1440900748970786,0.5720450374485393,2.311871686636422,0.11008912793506771,81266.14857142858,85313.76761904762,0.04744391392597864,False
pp,4,profile_13_burstgpt_3_c2,mb4,decode,42,56190.47619047619,35428.57142857143,20761.904761904763,0.5860215053763441,913993142.8571429,913993142.8571428,1.1920928955078125e-07,1.3042689705322404e-16,1.1300072899580826,0.5650036449790413,1.3179684165599659,0.6589842082799829,0.6791931531654984,0.03234253110311897,290092.3123809524,186282.78857142857,0.5572684658932887,False
pp,8,profile_13_burstgpt_3_c2,mb1,prefill,42,2000.0,2000.0,0.0,0.0,7864710095.238095,7864710095.238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88647.10095238096,88647.10095238096,0.0,True
pp,8,profile_13_burstgpt_3_c2,mb1,decode,42,111571.42857142858,111571.42857142858,0.0,0.0,913993142.8571429,913993142.8571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566997.0742857143,566997.0742857143,0.0,True
pp,8,profile_13_burstgpt_3_c2,mb16,prefill,42,238.0952380952381,285.7142857142857,47.61904761904762,0.16666666666666666,7864710095.238095,7864710095.238095,0.0,0.0,2.0,1.0,2.0,1.0,0.46422541010162893,0.02210597190960138,79837.57714285713,80075.67238095238,0.0029733779438346247,False
pp,8,profile_13_burstgpt_3_c2,mb16,decode,42,48380.95238095238,36285.71428571429,12095.238095238092,0.3333333333333332,913993142.8571428,913993142.8571429,1.1920928955078125e-07,1.3042689705322401e-16,0.7473753280839895,0.37368766404199477,0.8689714041826717,0.43448570209133586,0.4516547587991432,0.021507369466625865,251044.69333333333,190568.50285714288,0.3173462013369838,False
pp,8,profile_13_burstgpt_3_c2,mb4,prefill,42,523.8095238095239,857.1428571428571,333.33333333333326,0.38888888888888884,7864710095.238095,7864710095.238095,0.0,0.0,1.111111111111111,0.5555555555555555,0.2906601855066713,0.14533009275333564,1.4193975227890483,0.06759035822804992,81266.14857142858,82932.81523809524,0.02009658856849071,False
pp,8,profile_13_burstgpt_3_c2,mb4,decode,42,56190.47619047619,48047.619047619046,8142.857142857145,0.16947472745292375,913993142.8571429,913993142.8571429,0.0,0.0,0.2827501637802154,0.1413750818901077,0.31412718736662393,0.15706359368331196,0.21668209860755797,0.010318195171788475,290092.3123809524,249378.02666666667,0.16326332459397816,False
tp,2,profile_13_burstgpt_3_c2,balanced,total,42,1129761.9047619049,1129761.9047619049,0.0,0.0,320422668190.4762,320422668190.4762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8853036.205714285,8853036.205714285,0.0,True
tp,2,profile_13_burstgpt_3_c2,latency,total,42,2070071.4285714286,2070071.4285714286,0.0,0.0,320422668190.4762,320422668190.4762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13554583.824761907,13554583.824761907,0.0,True
