timestamp, index, pstate, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/08/12 04:49:38.289, 0, P0, 0 MiB, 0 %, 243.22 W
2026/08/12 04:49:38.291, 1, P0, 0 MiB, 0 %, 240.46 W
2026/08/12 04:49:38.293, 2, P0, 0 MiB, 0 %, 236.72 W
2026/08/12 04:49:38.295, 3, P0, 0 MiB, 0 %, 239.32 W
2026/08/12 04:49:38.297, 4, P0, 0 MiB, 0 %, 236.29 W
2026/08/12 04:49:38.298, 5, P0, 0 MiB, 0 %, 245.09 W
2026/08/12 04:49:38.300, 6, P0, 0 MiB, 0 %, 243.10 W
2026/08/12 04:49:38.302, 7, P0, 0 MiB, 0 %, 243.89 W
2026/08/12 04:49:39.303, 0, P0, 0 MiB, 0 %, 243.26 W
2026/08/12 04:49:39.303, 1, P0, 0 MiB, 0 %, 240.50 W
2026/08/12 04:49:39.303, 2, P0, 0 MiB, 0 %, 236.71 W
2026/08/12 04:49:39.303, 3, P0, 0 MiB, 0 %, 239.36 W
2026/08/12 04:49:39.303, 4, P0, 0 MiB, 0 %, 236.24 W
2026/08/12 04:49:39.304, 5, P0, 0 MiB, 0 %, 245.03 W
2026/08/12 04:49:39.304, 6, P0, 0 MiB, 0 %, 243.05 W
2026/08/12 04:49:39.304, 7, P0, 0 MiB, 0 %, 243.82 W
2026/08/12 04:49:40.304, 0, P0, 0 MiB, 0 %, 243.23 W
2026/08/12 04:49:40.304, 1, P0, 0 MiB, 0 %, 240.45 W
2026/08/12 04:49:40.304, 2, P0, 0 MiB, 0 %, 236.71 W
2026/08/12 04:49:40.304, 3, P0, 0 MiB, 0 %, 239.25 W
2026/08/12 04:49:40.304, 4, P0, 0 MiB, 0 %, 236.24 W
2026/08/12 04:49:40.304, 5, P0, 0 MiB, 0 %, 245.11 W
2026/08/12 04:49:40.304, 6, P0, 0 MiB, 0 %, 243.10 W
2026/08/12 04:49:40.304, 7, P0, 0 MiB, 0 %, 243.85 W
2026/08/12 04:49:41.304, 0, P0, 4 MiB, 0 %, 243.44 W
2026/08/12 04:49:41.304, 1, P0, 4 MiB, 0 %, 240.69 W
2026/08/12 04:49:41.304, 2, P0, 0 MiB, 0 %, 236.67 W
2026/08/12 04:49:41.304, 3, P0, 0 MiB, 0 %, 239.31 W
2026/08/12 04:49:41.304, 4, P0, 0 MiB, 0 %, 236.15 W
