profile_id,pp_size,microbatch,phase,check_request_count,check_total_calls,check_logical_bytes,check_calls_12bin,check_logical_bytes_12bin,check_exact_histogram
profile_14_burstgpt_3_c3,2,1,prefill,True,True,True,True,True,True
profile_14_burstgpt_3_c3,2,1,decode,True,True,True,True,True,True
profile_18_mooncake_conversation_c2,2,1,prefill,True,True,True,True,True,True
profile_18_mooncake_conversation_c2,2,1,decode,True,True,True,True,True,True
profile_14_burstgpt_3_c3,4,4,prefill,True,True,True,True,True,True
profile_14_burstgpt_3_c3,4,4,decode,True,True,True,True,True,True
profile_18_mooncake_conversation_c2,4,4,prefill,True,True,True,True,True,True
profile_18_mooncake_conversation_c2,4,4,decode,True,True,True,True,True,True
profile_14_burstgpt_3_c3,8,16,prefill,True,True,True,True,True,True
profile_14_burstgpt_3_c3,8,16,decode,True,True,True,True,True,True
profile_18_mooncake_conversation_c2,8,16,prefill,True,True,True,True,True,True
profile_18_mooncake_conversation_c2,8,16,decode,True,True,True,True,True,True
