timestamp, index, pstate, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/08/12 07:26:19.532, 0, P0, 0 MiB, 0 %, 243.51 W
2026/08/12 07:26:19.535, 1, P0, 0 MiB, 0 %, 240.47 W
2026/08/12 07:26:19.536, 2, P0, 0 MiB, 0 %, 236.84 W
2026/08/12 07:26:19.538, 3, P0, 0 MiB, 0 %, 239.40 W
2026/08/12 07:26:19.540, 4, P0, 0 MiB, 0 %, 236.41 W
2026/08/12 07:26:19.541, 5, P0, 0 MiB, 0 %, 245.22 W
2026/08/12 07:26:19.543, 6, P0, 0 MiB, 0 %, 243.12 W
2026/08/12 07:26:19.545, 7, P0, 0 MiB, 0 %, 243.96 W
2026/08/12 07:26:20.547, 0, P0, 0 MiB, 0 %, 243.46 W
2026/08/12 07:26:20.547, 1, P0, 0 MiB, 0 %, 240.48 W
2026/08/12 07:26:20.547, 2, P0, 0 MiB, 0 %, 236.80 W
2026/08/12 07:26:20.547, 3, P0, 0 MiB, 0 %, 239.39 W
2026/08/12 07:26:20.547, 4, P0, 0 MiB, 0 %, 236.43 W
2026/08/12 07:26:20.547, 5, P0, 0 MiB, 0 %, 245.18 W
2026/08/12 07:26:20.547, 6, P0, 0 MiB, 0 %, 243.12 W
2026/08/12 07:26:20.547, 7, P0, 0 MiB, 0 %, 243.96 W
2026/08/12 07:26:21.547, 0, P0, 0 MiB, 0 %, 243.49 W
2026/08/12 07:26:21.547, 1, P0, 0 MiB, 0 %, 240.48 W
2026/08/12 07:26:21.547, 2, P0, 0 MiB, 0 %, 236.75 W
2026/08/12 07:26:21.547, 3, P0, 0 MiB, 0 %, 239.52 W
2026/08/12 07:26:21.547, 4, P0, 0 MiB, 0 %, 236.41 W
2026/08/12 07:26:21.547, 5, P0, 0 MiB, 0 %, 245.21 W
2026/08/12 07:26:21.547, 6, P0, 0 MiB, 0 %, 243.13 W
2026/08/12 07:26:21.547, 7, P0, 0 MiB, 0 %, 243.98 W
2026/08/12 07:26:22.547, 0, P0, 4 MiB, 0 %, 243.73 W
2026/08/12 07:26:22.547, 1, P0, 4 MiB, 0 %, 240.69 W
2026/08/12 07:26:22.548, 2, P0, 4 MiB, 0 %, 237.05 W
2026/08/12 07:26:22.548, 3, P0, 4 MiB, 0 %, 239.57 W
2026/08/12 07:26:22.549, 4, P0, 0 MiB, 0 %, 236.33 W
2026/08/12 07:26:22.596, 5, P0, 0 MiB, 0 %, 245.15 W
2026/08/12 07:26:22.607, 6, P0, 0 MiB, 0 %, 243.10 W
2026/08/12 07:26:22.608, 7, P0, 0 MiB, 0 %, 243.99 W
2026/08/12 07:26:23.609, 0, P0, 4 MiB, 0 %, 243.51 W
2026/08/12 07:26:23.609, 1, P0, 4 MiB, 0 %, 240.55 W
2026/08/12 07:26:23.609, 2, P0, 4 MiB, 0 %, 236.95 W
2026/08/12 07:26:23.609, 3, P0, 4 MiB, 0 %, 239.63 W
2026/08/12 07:26:23.609, 4, P0, 0 MiB, 0 %, 236.26 W
