timestamp, index, pstate, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/08/12 07:44:20.530, 0, P0, 0 MiB, 0 %, 243.56 W
2026/08/12 07:44:20.532, 1, P0, 0 MiB, 0 %, 240.51 W
2026/08/12 07:44:20.534, 2, P0, 0 MiB, 0 %, 237.03 W
2026/08/12 07:44:20.536, 3, P0, 0 MiB, 0 %, 239.55 W
2026/08/12 07:44:20.538, 4, P0, 0 MiB, 0 %, 236.54 W
2026/08/12 07:44:20.539, 5, P0, 0 MiB, 0 %, 245.28 W
2026/08/12 07:44:20.541, 6, P0, 0 MiB, 0 %, 243.29 W
2026/08/12 07:44:20.543, 7, P0, 0 MiB, 0 %, 243.98 W
2026/08/12 07:44:21.545, 0, P0, 0 MiB, 0 %, 243.57 W
2026/08/12 07:44:21.545, 1, P0, 0 MiB, 0 %, 240.52 W
2026/08/12 07:44:21.545, 2, P0, 0 MiB, 0 %, 237.09 W
2026/08/12 07:44:21.545, 3, P0, 0 MiB, 0 %, 239.57 W
2026/08/12 07:44:21.545, 4, P0, 0 MiB, 0 %, 236.50 W
2026/08/12 07:44:21.545, 5, P0, 0 MiB, 0 %, 245.30 W
2026/08/12 07:44:21.545, 6, P0, 0 MiB, 0 %, 243.27 W
2026/08/12 07:44:21.545, 7, P0, 0 MiB, 0 %, 244.02 W
2026/08/12 07:44:22.545, 0, P0, 0 MiB, 0 %, 243.55 W
2026/08/12 07:44:22.545, 1, P0, 0 MiB, 0 %, 240.52 W
2026/08/12 07:44:22.545, 2, P0, 0 MiB, 0 %, 236.95 W
2026/08/12 07:44:22.545, 3, P0, 0 MiB, 0 %, 239.48 W
2026/08/12 07:44:22.545, 4, P0, 0 MiB, 0 %, 236.47 W
2026/08/12 07:44:22.545, 5, P0, 0 MiB, 0 %, 245.32 W
2026/08/12 07:44:22.545, 6, P0, 0 MiB, 0 %, 243.28 W
2026/08/12 07:44:22.545, 7, P0, 0 MiB, 0 %, 243.99 W
2026/08/12 07:44:23.545, 0, P0, 4 MiB, 0 %, 243.77 W
2026/08/12 07:44:23.554, 1, P0, 4 MiB, 0 %, 240.76 W
2026/08/12 07:44:23.565, 2, P0, 4 MiB, 0 %, 237.25 W
2026/08/12 07:44:23.566, 3, P0, 4 MiB, 0 %, 239.68 W
2026/08/12 07:44:23.566, 4, P0, 1 MiB, 0 %, 236.49 W
2026/08/12 07:44:23.567, 5, P0, 1 MiB, 0 %, 245.34 W
2026/08/12 07:44:23.568, 6, P0, 1 MiB, 0 %, 243.32 W
2026/08/12 07:44:23.615, 7, P0, 1 MiB, 0 %, 244.09 W
2026/08/12 07:44:24.627, 0, P0, 4 MiB, 0 %, 243.70 W
2026/08/12 07:44:24.627, 1, P0, 4 MiB, 0 %, 240.69 W
2026/08/12 07:44:24.638, 2, P0, 4 MiB, 0 %, 237.09 W
2026/08/12 07:44:24.639, 3, P0, 4 MiB, 0 %, 239.81 W
2026/08/12 07:44:24.640, 4, P0, 4 MiB, 0 %, 236.64 W
2026/08/12 07:44:24.640, 5, P0, 4 MiB, 0 %, 245.62 W
2026/08/12 07:44:24.641, 6, P0, 1 MiB, 0 %, 243.20 W
2026/08/12 07:44:24.677, 7, P0, 1 MiB, 0 %, 243.99 W
2026/08/12 07:44:25.688, 0, P0, 4 MiB, 0 %, 243.65 W
2026/08/12 07:44:25.692, 1, P0, 4 MiB, 0 %, 240.61 W
2026/08/12 07:44:25.693, 2, P0, 4 MiB, 0 %, 237.01 W
2026/08/12 07:44:25.694, 3, P0, 4 MiB, 0 %, 239.59 W
2026/08/12 07:44:25.705, 4, P0, 4 MiB, 0 %, 236.60 W
2026/08/12 07:44:25.716, 5, P0, 4 MiB, 0 %, 245.48 W
2026/08/12 07:44:25.717, 6, P0, 4 MiB, 0 %, 243.84 W
2026/08/12 07:44:25.717, 7, P0, 4 MiB, 0 %, 244.19 W
2026/08/12 07:44:26.718, 0, P0, 4 MiB, 0 %, 243.56 W
2026/08/12 07:44:26.718, 1, P0, 4 MiB, 0 %, 240.51 W
2026/08/12 07:44:26.718, 2, P0, 4 MiB, 0 %, 236.95 W
2026/08/12 07:44:26.718, 3, P0, 4 MiB, 0 %, 239.49 W
2026/08/12 07:44:26.718, 4, P0, 4 MiB, 0 %, 236.54 W
2026/08/12 07:44:26.718, 5, P0, 4 MiB, 0 %, 245.34 W
2026/08/12 07:44:26.718, 6, P0, 4 MiB, 0 %, 243.31 W
2026/08/12 07:44:26.718, 7, P0, 4 MiB, 0 %, 244.29 W
2026/08/12 07:44:27.718, 0, P0, 4 MiB, 0 %, 243.55 W
2026/08/12 07:44:27.718, 1, P0, 4 MiB, 0 %, 240.48 W
2026/08/12 07:44:27.718, 2, P0, 4 MiB, 0 %, 236.85 W
2026/08/12 07:44:27.718, 3, P0, 4 MiB, 0 %, 239.49 W
2026/08/12 07:44:27.718, 4, P0, 4 MiB, 0 %, 236.47 W
2026/08/12 07:44:27.718, 5, P0, 4 MiB, 0 %, 245.26 W
2026/08/12 07:44:27.718, 6, P0, 4 MiB, 0 %, 243.21 W
2026/08/12 07:44:27.718, 7, P0, 4 MiB, 0 %, 243.92 W
2026/08/12 07:44:28.719, 0, P0, 4 MiB, 0 %, 243.53 W
2026/08/12 07:44:28.719, 1, P0, 4 MiB, 0 %, 240.50 W
2026/08/12 07:44:28.719, 2, P0, 4 MiB, 0 %, 236.96 W
2026/08/12 07:44:28.719, 3, P0, 4 MiB, 0 %, 239.53 W
2026/08/12 07:44:28.719, 4, P0, 4 MiB, 0 %, 236.46 W
2026/08/12 07:44:28.719, 5, P0, 4 MiB, 0 %, 245.26 W
2026/08/12 07:44:28.719, 6, P0, 4 MiB, 0 %, 243.16 W
2026/08/12 07:44:28.719, 7, P0, 4 MiB, 0 %, 243.93 W
2026/08/12 07:44:29.719, 0, P0, 4 MiB, 0 %, 243.51 W
2026/08/12 07:44:29.719, 1, P0, 4 MiB, 0 %, 240.50 W
2026/08/12 07:44:29.719, 2, P0, 4 MiB, 0 %, 236.89 W
2026/08/12 07:44:29.719, 3, P0, 4 MiB, 0 %, 239.60 W
2026/08/12 07:44:29.719, 4, P0, 4 MiB, 0 %, 236.46 W
2026/08/12 07:44:29.719, 5, P0, 4 MiB, 0 %, 245.26 W
2026/08/12 07:44:29.719, 6, P0, 4 MiB, 0 %, 243.20 W
2026/08/12 07:44:29.719, 7, P0, 4 MiB, 0 %, 243.98 W
2026/08/12 07:44:30.719, 0, P0, 4 MiB, 0 %, 243.53 W
2026/08/12 07:44:30.719, 1, P0, 4 MiB, 0 %, 240.50 W
2026/08/12 07:44:30.719, 2, P0, 4 MiB, 0 %, 236.93 W
2026/08/12 07:44:30.719, 3, P0, 4 MiB, 0 %, 239.59 W
2026/08/12 07:44:30.719, 4, P0, 4 MiB, 0 %, 236.50 W
2026/08/12 07:44:30.719, 5, P0, 4 MiB, 0 %, 245.24 W
2026/08/12 07:44:30.719, 6, P0, 4 MiB, 0 %, 243.30 W
