parallelism,model,parallel_size,policy,phase,split,rows
pp,qwen3-8b,2,mb1,decode,external_synthetic,1
pp,qwen3-8b,2,mb1,decode,external_test,8
pp,qwen3-8b,2,mb1,decode,temporal_test,5
pp,qwen3-8b,2,mb1,decode,train,5
pp,qwen3-8b,2,mb1,decode,validation,5
pp,qwen3-8b,2,mb1,prefill,external_synthetic,1
pp,qwen3-8b,2,mb1,prefill,external_test,8
pp,qwen3-8b,2,mb1,prefill,temporal_test,5
pp,qwen3-8b,2,mb1,prefill,train,5
pp,qwen3-8b,2,mb1,prefill,validation,5
pp,qwen3-8b,2,mb16,decode,external_synthetic,1
pp,qwen3-8b,2,mb16,decode,external_test,8
pp,qwen3-8b,2,mb16,decode,temporal_test,5
pp,qwen3-8b,2,mb16,decode,train,5
pp,qwen3-8b,2,mb16,decode,validation,5
pp,qwen3-8b,2,mb16,prefill,external_synthetic,1
pp,qwen3-8b,2,mb16,prefill,external_test,8
pp,qwen3-8b,2,mb16,prefill,temporal_test,5
pp,qwen3-8b,2,mb16,prefill,train,5
pp,qwen3-8b,2,mb16,prefill,validation,5
pp,qwen3-8b,2,mb4,decode,external_synthetic,1
pp,qwen3-8b,2,mb4,decode,external_test,8
pp,qwen3-8b,2,mb4,decode,temporal_test,5
pp,qwen3-8b,2,mb4,decode,train,5
pp,qwen3-8b,2,mb4,decode,validation,5
pp,qwen3-8b,2,mb4,prefill,external_synthetic,1
pp,qwen3-8b,2,mb4,prefill,external_test,8
pp,qwen3-8b,2,mb4,prefill,temporal_test,5
pp,qwen3-8b,2,mb4,prefill,train,5
pp,qwen3-8b,2,mb4,prefill,validation,5
pp,qwen3-8b,4,mb1,decode,external_synthetic,1
pp,qwen3-8b,4,mb1,decode,external_test,8
pp,qwen3-8b,4,mb1,decode,temporal_test,5
pp,qwen3-8b,4,mb1,decode,train,5
pp,qwen3-8b,4,mb1,decode,validation,5
pp,qwen3-8b,4,mb1,prefill,external_synthetic,1
pp,qwen3-8b,4,mb1,prefill,external_test,8
pp,qwen3-8b,4,mb1,prefill,temporal_test,5
pp,qwen3-8b,4,mb1,prefill,train,5
pp,qwen3-8b,4,mb1,prefill,validation,5
pp,qwen3-8b,4,mb16,decode,external_synthetic,1
pp,qwen3-8b,4,mb16,decode,external_test,8
pp,qwen3-8b,4,mb16,decode,temporal_test,5
pp,qwen3-8b,4,mb16,decode,train,5
pp,qwen3-8b,4,mb16,decode,validation,5
pp,qwen3-8b,4,mb16,prefill,external_synthetic,1
pp,qwen3-8b,4,mb16,prefill,external_test,8
pp,qwen3-8b,4,mb16,prefill,temporal_test,5
pp,qwen3-8b,4,mb16,prefill,train,5
pp,qwen3-8b,4,mb16,prefill,validation,5
pp,qwen3-8b,4,mb4,decode,external_synthetic,1
pp,qwen3-8b,4,mb4,decode,external_test,8
pp,qwen3-8b,4,mb4,decode,temporal_test,5
pp,qwen3-8b,4,mb4,decode,train,5
pp,qwen3-8b,4,mb4,decode,validation,5
pp,qwen3-8b,4,mb4,prefill,external_synthetic,1
pp,qwen3-8b,4,mb4,prefill,external_test,8
pp,qwen3-8b,4,mb4,prefill,temporal_test,5
pp,qwen3-8b,4,mb4,prefill,train,5
pp,qwen3-8b,4,mb4,prefill,validation,5
pp,qwen3-8b,8,mb1,decode,external_synthetic,1
pp,qwen3-8b,8,mb1,decode,external_test,8
pp,qwen3-8b,8,mb1,decode,temporal_test,5
pp,qwen3-8b,8,mb1,decode,train,5
pp,qwen3-8b,8,mb1,decode,validation,5
pp,qwen3-8b,8,mb1,prefill,external_synthetic,1
pp,qwen3-8b,8,mb1,prefill,external_test,8
pp,qwen3-8b,8,mb1,prefill,temporal_test,5
pp,qwen3-8b,8,mb1,prefill,train,5
pp,qwen3-8b,8,mb1,prefill,validation,5
pp,qwen3-8b,8,mb16,decode,external_synthetic,1
pp,qwen3-8b,8,mb16,decode,external_test,8
pp,qwen3-8b,8,mb16,decode,temporal_test,5
pp,qwen3-8b,8,mb16,decode,train,5
pp,qwen3-8b,8,mb16,decode,validation,5
pp,qwen3-8b,8,mb16,prefill,external_synthetic,1
pp,qwen3-8b,8,mb16,prefill,external_test,8
pp,qwen3-8b,8,mb16,prefill,temporal_test,5
pp,qwen3-8b,8,mb16,prefill,train,5
pp,qwen3-8b,8,mb16,prefill,validation,5
pp,qwen3-8b,8,mb4,decode,external_synthetic,1
pp,qwen3-8b,8,mb4,decode,external_test,8
pp,qwen3-8b,8,mb4,decode,temporal_test,5
pp,qwen3-8b,8,mb4,decode,train,5
pp,qwen3-8b,8,mb4,decode,validation,5
pp,qwen3-8b,8,mb4,prefill,external_synthetic,1
pp,qwen3-8b,8,mb4,prefill,external_test,8
pp,qwen3-8b,8,mb4,prefill,temporal_test,5
pp,qwen3-8b,8,mb4,prefill,train,5
pp,qwen3-8b,8,mb4,prefill,validation,5
tp,deepseek-v2-lite,2,balanced,decode,external_synthetic,1
tp,deepseek-v2-lite,2,balanced,decode,external_test,8
tp,deepseek-v2-lite,2,balanced,decode,temporal_test,5
tp,deepseek-v2-lite,2,balanced,decode,train,5
tp,deepseek-v2-lite,2,balanced,decode,validation,5
tp,deepseek-v2-lite,2,balanced,prefill,external_synthetic,1
tp,deepseek-v2-lite,2,balanced,prefill,external_test,8
tp,deepseek-v2-lite,2,balanced,prefill,temporal_test,5
tp,deepseek-v2-lite,2,balanced,prefill,train,5
tp,deepseek-v2-lite,2,balanced,prefill,validation,5
tp,deepseek-v2-lite,2,latency,decode,external_synthetic,1
tp,deepseek-v2-lite,2,latency,decode,external_test,8
tp,deepseek-v2-lite,2,latency,decode,temporal_test,5
tp,deepseek-v2-lite,2,latency,decode,train,5
tp,deepseek-v2-lite,2,latency,decode,validation,5
tp,deepseek-v2-lite,2,latency,prefill,external_synthetic,1
tp,deepseek-v2-lite,2,latency,prefill,external_test,8
tp,deepseek-v2-lite,2,latency,prefill,temporal_test,5
tp,deepseek-v2-lite,2,latency,prefill,train,5
tp,deepseek-v2-lite,2,latency,prefill,validation,5
tp,deepseek-v2-lite,2,throughput,decode,external_synthetic,1
tp,deepseek-v2-lite,2,throughput,decode,external_test,8
tp,deepseek-v2-lite,2,throughput,decode,temporal_test,5
tp,deepseek-v2-lite,2,throughput,decode,train,5
tp,deepseek-v2-lite,2,throughput,decode,validation,5
tp,deepseek-v2-lite,2,throughput,prefill,external_synthetic,1
tp,deepseek-v2-lite,2,throughput,prefill,external_test,8
tp,deepseek-v2-lite,2,throughput,prefill,temporal_test,5
tp,deepseek-v2-lite,2,throughput,prefill,train,5
tp,deepseek-v2-lite,2,throughput,prefill,validation,5
tp,deepseek-v2-lite,4,balanced,decode,external_synthetic,1
tp,deepseek-v2-lite,4,balanced,decode,external_test,8
tp,deepseek-v2-lite,4,balanced,decode,temporal_test,5
tp,deepseek-v2-lite,4,balanced,decode,train,5
tp,deepseek-v2-lite,4,balanced,decode,validation,5
tp,deepseek-v2-lite,4,balanced,prefill,external_synthetic,1
tp,deepseek-v2-lite,4,balanced,prefill,external_test,8
tp,deepseek-v2-lite,4,balanced,prefill,temporal_test,5
tp,deepseek-v2-lite,4,balanced,prefill,train,5
tp,deepseek-v2-lite,4,balanced,prefill,validation,5
