parallelism,phase,policy,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape
pp,decode,all,216,0.8395649196733496,0.22775063848926735,0.02897687878127977,0.01856125258726456,0.8656228004497564,0.4328114002248782,0.03257027280551591,0.6889528533210567
pp,prefill,all,216,0.22851130453649127,0.17188636214052846,0.03582519333111007,0.013643878735604076,1.6756835241045798,0.8378417620522899,0.04144340007806332,0.0488390546350396
pp,total,all,216,0.6225250903413501,0.21069598108783977,0.03290307810812993,0.013324396696568543,0.896679649378124,0.448339824689062,0.04887730360493462,0.13853307574043075
pp,total,mb1,72,0.06542029502688153,0.050905005691916624,0.03290307810812994,0.013324396696568543,0.20664992405401983,0.10332496202700991,0.006687574016193635,0.030352504969250554
pp,total,mb16,72,1.4301923624367043,1.2028064985839046,0.03290307810812993,0.013324396696568541,1.5486356264038685,0.7743178132019343,0.09929218545541169,0.2542824313012843
pp,total,mb4,72,0.3719626135604641,0.3104939197800768,0.03290307810812994,0.013324396696568543,0.9347533976764841,0.46737669883824207,0.04065215134319853,0.13096429095075743
tp,decode,all,648,0.13275445679504713,0.11754441185452354,0.028976878781279764,0.01856125258726456,0.6921835776897853,0.34609178884489267,0.014999527983158194,0.1277107661702262
tp,prefill,all,648,0.050342062577777125,0.06959020908113786,0.03582519333111008,0.013643878735604083,1.9983832566969852,0.9991916283484926,0.015539831216138295,0.03365962213371468
tp,total,all,648,0.13135114703390702,0.11672206106834104,0.03290307810812993,0.013324396696568553,0.7083321583502921,0.35416607917514603,0.015664261722431922,0.08402669101831452
tp,total,balanced,216,0.12854145529960526,0.1136072482438389,0.03290307810812993,0.013324396696568553,0.734110764757245,0.3670553823786225,0.01736684658874433,0.07929338882080815
tp,total,latency,216,0.1271387669242803,0.11752367660779363,0.032903078108129924,0.013324396696568553,0.38208677574854344,0.19104338787427172,0.010300349810624094,0.09369046316386888
tp,total,throughput,216,0.13837321887783544,0.118898493046272,0.03290307810812993,0.013324396696568555,1.0087989345450878,0.5043994672725439,0.01932558876792734,0.07909622107026652
