profile_id,source,segment,phase16_split,phase26_evaluation_role,request_count,grouping_contract
profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,train,120,all rows for this profile stay in one split
profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,train,2433,all rows for this profile stay in one split
profile_03_burstgpt_1_c2,burstgpt,burstgpt_1,train,train,312,all rows for this profile stay in one split
profile_04_burstgpt_1_c3,burstgpt,burstgpt_1,train,train,92,all rows for this profile stay in one split
profile_05_burstgpt_1_c4,burstgpt,burstgpt_1,train,train,157,all rows for this profile stay in one split
profile_06_burstgpt_2_c0,burstgpt,burstgpt_2,validation,validation,931,all rows for this profile stay in one split
profile_07_burstgpt_2_c1,burstgpt,burstgpt_2,validation,validation,196,all rows for this profile stay in one split
profile_08_burstgpt_2_c2,burstgpt,burstgpt_2,validation,validation,44,all rows for this profile stay in one split
profile_09_burstgpt_2_c3,burstgpt,burstgpt_2,validation,validation,248,all rows for this profile stay in one split
profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,validation,validation,286,all rows for this profile stay in one split
profile_11_burstgpt_3_c0,burstgpt,burstgpt_3,temporal_test,test_temporal,73,all rows for this profile stay in one split
profile_12_burstgpt_3_c1,burstgpt,burstgpt_3,temporal_test,test_temporal,74,all rows for this profile stay in one split
profile_13_burstgpt_3_c2,burstgpt,burstgpt_3,temporal_test,test_temporal,42,all rows for this profile stay in one split
profile_14_burstgpt_3_c3,burstgpt,burstgpt_3,temporal_test,test_temporal,48,all rows for this profile stay in one split
profile_15_burstgpt_3_c4,burstgpt,burstgpt_3,temporal_test,test_temporal,193,all rows for this profile stay in one split
profile_16_mooncake_conversation_c0,mooncake,mooncake_conversation,external_test,test_external,1049,all rows for this profile stay in one split
profile_17_mooncake_conversation_c1,mooncake,mooncake_conversation,external_test,test_external,1089,all rows for this profile stay in one split
profile_18_mooncake_conversation_c2,mooncake,mooncake_conversation,external_test,test_external,930,all rows for this profile stay in one split
profile_19_mooncake_conversation_c3,mooncake,mooncake_conversation,external_test,test_external,886,all rows for this profile stay in one split
profile_20_mooncake_toolagent_c0,mooncake,mooncake_toolagent,external_test,test_external,2058,all rows for this profile stay in one split
profile_21_mooncake_toolagent_c1,mooncake,mooncake_toolagent,external_test,test_external,2069,all rows for this profile stay in one split
profile_22_mooncake_toolagent_c2,mooncake,mooncake_toolagent,external_test,test_external,1923,all rows for this profile stay in one split
profile_23_mooncake_toolagent_c3,mooncake,mooncake_toolagent,external_test,test_external,1845,all rows for this profile stay in one split
profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,external_synthetic,test_external_synthetic,1187,all rows for this profile stay in one split
