profile_id,role,window_id,source,segment,source_split,cutoff_ms,history_seconds,history_count,alignment_source
phase27_burstgpt_1_01,development_train,burstgpt_1-4729505000,burstgpt,burstgpt_1,train,4729505000,300,307,phase27_pp_contract
phase27_burstgpt_1_02,development_train,burstgpt_1-3675005000,burstgpt,burstgpt_1,train,3675005000,300,637,phase27_pp_contract
phase27_burstgpt_1_03,development_train,burstgpt_1-2490605000,burstgpt,burstgpt_1,train,2490605000,300,81,phase27_pp_contract
phase27_burstgpt_1_04,development_train,burstgpt_1-2904005000,burstgpt,burstgpt_1,train,2904005000,300,243,phase27_pp_contract
phase27_burstgpt_1_05,development_train,burstgpt_1-1763705000,burstgpt,burstgpt_1,train,1763705000,300,416,phase27_pp_contract
phase27_burstgpt_1_06,development_validation,burstgpt_1-2038205000,burstgpt,burstgpt_1,train,2038205000,300,109,phase27_pp_contract
phase27_burstgpt_1_07,development_validation,burstgpt_1-3705905000,burstgpt,burstgpt_1,train,3705905000,300,138,phase27_pp_contract
phase27_burstgpt_1_08,independent_confirmation,burstgpt_1-3515705000,burstgpt,burstgpt_1,train,3515705000,300,171,phase27_pp_contract
phase27_burstgpt_1_09,independent_confirmation,burstgpt_1-3710405000,burstgpt,burstgpt_1,train,3710405000,300,290,phase27_pp_contract
phase27_burstgpt_1_10,independent_confirmation,burstgpt_1-4531505000,burstgpt,burstgpt_1,train,4531505000,300,69,phase27_pp_contract
phase27_burstgpt_2_01,development_train,burstgpt_2-6373814000,burstgpt,burstgpt_2,validation,6373814000,300,642,phase27_pp_contract
phase27_burstgpt_2_02,development_train,burstgpt_2-7325414000,burstgpt,burstgpt_2,validation,7325414000,300,74,phase27_pp_contract
phase27_burstgpt_2_03,development_train,burstgpt_2-7606514000,burstgpt,burstgpt_2,validation,7606514000,300,44,phase27_pp_contract
phase27_burstgpt_2_04,development_train,burstgpt_2-7164014000,burstgpt,burstgpt_2,validation,7164014000,300,951,phase27_pp_contract
phase27_burstgpt_2_05,development_train,burstgpt_2-10297514000,burstgpt,burstgpt_2,test,10297514000,300,78,phase27_pp_contract
phase27_burstgpt_2_06,development_validation,burstgpt_2-10360214000,burstgpt,burstgpt_2,test,10360214000,300,81,phase27_pp_contract
phase27_burstgpt_2_07,development_validation,burstgpt_2-10256414000,burstgpt,burstgpt_2,test,10256414000,300,35,phase27_pp_contract
phase27_burstgpt_2_08,independent_confirmation,burstgpt_2-6603314000,burstgpt,burstgpt_2,validation,6603314000,300,53,phase27_pp_contract
phase27_burstgpt_2_09,independent_confirmation,burstgpt_2-9820214000,burstgpt,burstgpt_2,test,9820214000,300,43,phase27_pp_contract
phase27_burstgpt_2_10,independent_confirmation,burstgpt_2-6779714000,burstgpt,burstgpt_2,validation,6779714000,300,73,phase27_pp_contract
phase27_burstgpt_3_01,development_train,burstgpt_3-20410910000,burstgpt,burstgpt_3,temporal_test,20410910000,300,988,phase27_pp_contract
phase27_burstgpt_3_02,development_train,burstgpt_3-26603210000,burstgpt,burstgpt_3,temporal_test,26603210000,300,86,phase27_pp_contract
phase27_burstgpt_3_03,development_train,burstgpt_3-28547210000,burstgpt,burstgpt_3,temporal_test,28547210000,300,47,phase27_pp_contract
phase27_burstgpt_3_04,development_train,burstgpt_3-27657410000,burstgpt,burstgpt_3,temporal_test,27657410000,300,1054,phase27_pp_contract
phase27_burstgpt_3_05,development_train,burstgpt_3-28396610000,burstgpt,burstgpt_3,temporal_test,28396610000,300,61,phase27_pp_contract
phase27_burstgpt_3_06,development_validation,burstgpt_3-26509910000,burstgpt,burstgpt_3,temporal_test,26509910000,300,42,phase27_pp_contract
phase27_burstgpt_3_07,development_validation,burstgpt_3-27360110000,burstgpt,burstgpt_3,temporal_test,27360110000,300,53,phase27_pp_contract
phase27_burstgpt_3_08,independent_confirmation,burstgpt_3-20149610000,burstgpt,burstgpt_3,temporal_test,20149610000,300,53,phase27_pp_contract
