role,segment,profiles,requests_total,requests_min,requests_median,requests_max
development_train,burstgpt_1,5,1684,81,307,637
development_train,burstgpt_2,5,1789,44,78,951
development_train,burstgpt_3,5,2236,47,86,1054
development_train,mooncake_conversation,5,5003,840,1017,1123
development_train,mooncake_synthetic,5,5991,1163,1199,1229
development_train,mooncake_toolagent,5,9891,1774,1973,2184
development_validation,burstgpt_1,2,247,109,123.5,138
development_validation,burstgpt_2,2,116,35,58.0,81
development_validation,burstgpt_3,2,95,42,47.5,53
development_validation,mooncake_conversation,2,2132,1039,1066.0,1093
development_validation,mooncake_synthetic,2,2306,1091,1153.0,1215
development_validation,mooncake_toolagent,2,4148,2045,2074.0,2103
independent_confirmation,burstgpt_1,3,530,69,171,290
independent_confirmation,burstgpt_2,3,169,43,53,73
independent_confirmation,burstgpt_3,3,1623,53,350,1220
independent_confirmation,mooncake_conversation,3,3041,971,973,1097
independent_confirmation,mooncake_synthetic,3,3401,1118,1121,1162
independent_confirmation,mooncake_toolagent,3,5872,1704,2072,2096
second_independent_confirmation,burstgpt_1,3,219,38,63,118
second_independent_confirmation,burstgpt_2,3,1733,38,807,888
second_independent_confirmation,burstgpt_3,3,737,59,216,462
second_independent_confirmation,mooncake_conversation,4,3961,832,989.5,1150
second_independent_confirmation,mooncake_synthetic,1,1150,1150,1150,1150
second_independent_confirmation,mooncake_toolagent,4,7640,1697,1901.0,2141
