method,phase,model,parallel_size,policy,segment,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape
enhanced_bounded_residual,decode,all,2,all,all,162,0.12626618757306754,0.05870910424140219,0.027360966204729758,0.016278965184961112,0.39524825698704935,0.19762412849352468,0.020249423816717974,0.1209296340563054,0.05691965751123585
enhanced_bounded_residual,decode,all,2,all,burstgpt_1,27,0.3222532530564201,0.13117681771567935,0.08895042666356134,0.03847250009834034,0.5558567784995755,0.27792838924978774,0.025804898029664344,0.3162034496742446,0.12811758268509138
enhanced_bounded_residual,decode,all,2,all,burstgpt_2,27,0.036601653642465676,0.038221551289651476,0.019948496764342332,0.018889757332796853,0.3798846606185488,0.1899423303092744,0.01788053451446277,0.03431714571777874,0.036375320020891756
enhanced_bounded_residual,decode,all,2,all,burstgpt_3,27,0.2167811834774468,0.13872129262482727,0.014409249238511503,0.01365371452870033,0.5451681369573309,0.27258406847866545,0.031577276333256014,0.204819706322917,0.13194078093912923
enhanced_bounded_residual,decode,all,2,all,mooncake_conversation,27,0.04687246411847145,0.04496163447633575,0.008717629892769897,0.009013090584534816,0.19474840490317344,0.09737420245158672,0.00905505624942427,0.044379550299096716,0.04377240246679542
enhanced_bounded_residual,decode,all,2,all,mooncake_synthetic,27,0.10507837706251628,0.06723853068327151,0.022578879281630753,0.021552518959080516,0.5494179379145184,0.2747089689572592,0.02906355777923288,0.09709988522034468,0.06505924578805466
enhanced_bounded_residual,decode,all,2,all,mooncake_toolagent,27,0.03001019408108494,0.022449889179473853,0.009561115387562734,0.008491471650320577,0.14641362302914937,0.07320681151457469,0.00811521999426755,0.028758067103450618,0.021997234939824712
enhanced_bounded_residual,decode,all,2,balanced,all,54,0.12313740409921417,0.06917027776114282,0.02873224942884501,0.017625109002632536,0.38803409994371707,0.19401704997185854,0.01909358705928657,0.11890830260828601,0.06614820916413269
enhanced_bounded_residual,decode,all,2,balanced,burstgpt_1,9,0.33410684776360633,0.14925874399562147,0.09270461069059072,0.04627658785425119,0.6430921950608826,0.3215460975304413,0.029971866685534438,0.3273755244831553,0.1456664369490094
enhanced_bounded_residual,decode,all,2,balanced,burstgpt_2,9,0.037609665756446406,0.03811215002497853,0.014010008832860002,0.014227903382625636,0.342506805805163,0.1712534029025815,0.01717536002756923,0.035260810178010665,0.03578728065069482
enhanced_bounded_residual,decode,all,2,balanced,burstgpt_3,9,0.23497036814633487,0.1925161195968611,0.015431522524790665,0.013185612124746062,0.5674609945230635,0.28373049726153177,0.03179758183620726,0.22511213385912202,0.1820729659142651
enhanced_bounded_residual,decode,all,2,balanced,mooncake_conversation,9,0.05309008764249215,0.052776028156947534,0.0130073224375039,0.012826514848062045,0.30394210490233875,0.15197105245116937,0.015392003490461832,0.05050196337606117,0.05036576355630039
enhanced_bounded_residual,decode,all,2,balanced,mooncake_synthetic,9,0.0426522066861397,0.0418955837248931,0.028154137148884952,0.026690244935059962,0.3761294274728686,0.1880647137364343,0.01602698377466791,0.0399383379488126,0.03924292564159747
enhanced_bounded_residual,decode,all,2,balanced,mooncake_toolagent,9,0.036395248600265606,0.0366857510333375,0.009085894938439806,0.007940751270179881,0.09507307189798597,0.047536535948992986,0.0041977265412787785,0.035261045804554136,0.035506851336759106
enhanced_bounded_residual,decode,all,2,latency,all,54,0.10131907616931538,0.045215740468259914,0.028947222445895933,0.018832451427597357,0.2124621207596285,0.10623106037981425,0.009769054518826521,0.09944464570890076,0.04457273385676418
enhanced_bounded_residual,decode,all,2,latency,burstgpt_1,9,0.36956516066616196,0.13116020632316305,0.0807314083050456,0.03125306626035846,0.39398302998029605,0.19699151499014803,0.017540965803334838,0.36295135982466803,0.12906270084825192
enhanced_bounded_residual,decode,all,2,latency,burstgpt_2,9,0.03894024619132129,0.039420879209457624,0.02813392114383357,0.025000722576274448,0.31372662607801266,0.15686331303900633,0.013899274212712,0.0382411966970393,0.0386500117224589
enhanced_bounded_residual,decode,all,2,latency,burstgpt_3,9,0.08919640578274346,0.05847120913625962,0.01772493846889605,0.01988144672477621,0.2524359399241595,0.12621796996207976,0.013970445662341287,0.08654755165489238,0.05651789077395044
enhanced_bounded_residual,decode,all,2,latency,mooncake_conversation,9,0.042885593668371594,0.04285090717086545,0.0053585045396242785,0.006972860321115935,0.09231920941236522,0.04615960470618261,0.003940241963371209,0.042387148742143166,0.042317073161553975
enhanced_bounded_residual,decode,all,2,latency,mooncake_synthetic,9,0.05344419813271835,0.052568114417494614,0.026476460046540928,0.025749750227363716,0.18134919609074035,0.09067459804537017,0.0075564752632661224,0.05269291203044915,0.051848967210845136
enhanced_bounded_residual,decode,all,2,latency,mooncake_toolagent,9,0.013882852574575614,0.013127212245527526,0.015258102171435204,0.01299056312372292,0.04095872307219747,0.020479361536098736,0.001706924207933654,0.01384770530421251,0.013100983385137955
enhanced_bounded_residual,decode,all,2,throughput,all,54,0.15434208245067305,0.10770889889701497,0.02440342673944833,0.012379335124653447,0.5852485502578025,0.29262427512890127,0.03188562987204083,0.14443595385172942,0.09895486885528657
enhanced_bounded_residual,decode,all,2,throughput,burstgpt_1,9,0.2630877507394921,0.09924782767092599,0.09341526099504767,0.03788784618041137,0.6304951104575477,0.31524755522877385,0.029901861600123765,0.2582834647149103,0.09520931832537011
enhanced_bounded_residual,decode,all,2,throughput,burstgpt_2,9,0.03325504897962934,0.03427413551975294,0.017701560316333423,0.017440646039490474,0.48342054997247075,0.24171027498623537,0.022566969303107084,0.029449430278286264,0.03011496115015635
enhanced_bounded_residual,decode,all,2,throughput,burstgpt_3,9,0.32617677650326193,0.29299984566389725,0.010071286721847796,0.00789408473657872,0.8156074764247697,0.40780373821238486,0.04896380150121951,0.30279943345473664,0.26650264339298385
enhanced_bounded_residual,decode,all,2,throughput,mooncake_conversation,9,0.04464171104455059,0.04551115939169619,0.007787062701181515,0.00723989658442647,0.18798390039481622,0.09399195019740811,0.007832923294439766,0.04024953877908583,0.04132475320924924
enhanced_bounded_residual,decode,all,2,throughput,mooncake_synthetic,9,0.21913872636869078,0.21754197970114864,0.013106040649466383,0.012217561714817875,1.0907751901799463,0.5453875950899731,0.06360721429976463,0.19866840568177227,0.19759506413646472
enhanced_bounded_residual,decode,all,2,throughput,mooncake_toolagent,9,0.039752481068413614,0.03919422194695423,0.004339349052813191,0.004543100557058931,0.3032090741172646,0.1516045370586323,0.018441009233590218,0.03716545020158521,0.037005051438850196
enhanced_bounded_residual,decode,all,4,all,all,162,0.12635537717985892,0.058681413536459864,0.02739190916705117,0.01634673420916909,0.39561667508534026,0.19780833754267013,0.020275846848354484,0.12101390525183964,0.056894541599091394
enhanced_bounded_residual,decode,all,4,all,burstgpt_1,27,0.3225885112054532,0.13174203282355135,0.08887831959041327,0.03851077042509564,0.5560492606295199,0.27802463031475994,0.025816558620670164,0.3165240184804829,0.12866881279134468
enhanced_bounded_residual,decode,all,4,all,burstgpt_2,27,0.036315494372236294,0.03790974437212246,0.019981800735372264,0.018898249582030523,0.37969136575011886,0.18984568287505943,0.017882067209783352,0.03405960909860845,0.03608570228325524
enhanced_bounded_residual,decode,all,4,all,burstgpt_3,27,0.21720350828833,0.13904421580989235,0.014329651933085094,0.013602403843239063,0.545851183710826,0.272925591855413,0.03162685349323255,0.2052225308018836,0.1322441227262249
enhanced_bounded_residual,decode,all,4,all,mooncake_conversation,27,0.046925915002767174,0.04493165193398305,0.00891966556941606,0.009225955585906805,0.19492588576369932,0.09746294288184966,0.009066009882821045,0.044423453473677106,0.04374212804858152
