profile_id,role,source,segment,window_id,full_window_requests,models,tp_sizes,policies,target_phase_rows
phase28_burstgpt_1_01,second_independent_confirmation,burstgpt,burstgpt_1,burstgpt_1-4228505000,38,3,3,3,54
phase28_burstgpt_1_02,second_independent_confirmation,burstgpt,burstgpt_1,burstgpt_1-1861205000,63,3,3,3,54
phase28_burstgpt_1_03,second_independent_confirmation,burstgpt,burstgpt_1,burstgpt_1-1991405000,118,3,3,3,54
phase28_burstgpt_2_01,second_independent_confirmation,burstgpt,burstgpt_2,burstgpt_2-6627314000,888,3,3,3,54
phase28_burstgpt_2_02,second_independent_confirmation,burstgpt,burstgpt_2,burstgpt_2-6371414000,807,3,3,3,54
phase28_burstgpt_2_03,second_independent_confirmation,burstgpt,burstgpt_2,burstgpt_2-9846014000,38,3,3,3,54
phase28_burstgpt_3_01,second_independent_confirmation,burstgpt,burstgpt_3,burstgpt_3-23735210000,216,3,3,3,54
phase28_burstgpt_3_02,second_independent_confirmation,burstgpt,burstgpt_3,burstgpt_3-27629210000,59,3,3,3,54
phase28_burstgpt_3_03,second_independent_confirmation,burstgpt,burstgpt_3,burstgpt_3-20342810000,462,3,3,3,54
phase28_mooncake_conversation_01,second_independent_confirmation,mooncake,mooncake_conversation,mooncake_conversation-1800000,1054,3,3,3,54
phase28_mooncake_conversation_02,second_independent_confirmation,mooncake,mooncake_conversation,mooncake_conversation-600000,832,3,3,3,54
phase28_mooncake_conversation_03,second_independent_confirmation,mooncake,mooncake_conversation,mooncake_conversation-3180000,1150,3,3,3,54
phase28_mooncake_conversation_04,second_independent_confirmation,mooncake,mooncake_conversation,mooncake_conversation-1020000,925,3,3,3,54
phase28_mooncake_synthetic_01,second_independent_confirmation,mooncake,mooncake_synthetic,mooncake_synthetic-480000,1150,3,3,3,54
phase28_mooncake_toolagent_01,second_independent_confirmation,mooncake,mooncake_toolagent,mooncake_toolagent-1620000,2004,3,3,3,54
phase28_mooncake_toolagent_02,second_independent_confirmation,mooncake,mooncake_toolagent,mooncake_toolagent-480000,1697,3,3,3,54
phase28_mooncake_toolagent_03,second_independent_confirmation,mooncake,mooncake_toolagent,mooncake_toolagent-1020000,1798,3,3,3,54
phase28_mooncake_toolagent_04,second_independent_confirmation,mooncake,mooncake_toolagent,mooncake_toolagent-2640000,2141,3,3,3,54
