split_role,segment,profiles,requests_total,requests_min,requests_median,requests_max
development_train,burstgpt_1,12,4612,32,121.5,2959
development_train,burstgpt_2,12,4607,49,362.5,944
development_train,burstgpt_3,12,3224,34,75.5,1319
development_train,mooncake_conversation,1,1093,1093,1093,1093
development_train,mooncake_synthetic,1,1215,1215,1215,1215
development_train,mooncake_toolagent,1,2178,2178,2178,2178
development_validation,burstgpt_1,3,2588,64,144,2380
development_validation,burstgpt_2,3,455,40,51,364
development_validation,burstgpt_3,3,168,47,57,64
development_validation,mooncake_conversation,1,918,918,918,918
fixed_prediction,burstgpt_1,3,723,141,217,365
fixed_prediction,burstgpt_2,3,684,68,124,492
fixed_prediction,burstgpt_3,3,340,45,59,236
fixed_prediction,mooncake_conversation,1,1039,1039,1039,1039
