parallelism,candidate_id,family,head_mode,gate_mode,engineered,calls_only,learning_rate,width,weight_decay,calls_weight,bytes_weight,shape_weight,bytes_shape_weight,cost_weight,tv_weight,screen_seed,alpha,score,calls_wape,bytes_wape,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_wape,gate_init
tp,tp32_c19_tp_split_total_shape_shared_lr0.001_w64,tp_split_total_shape,shared,none,False,False,0.001,64,0.0001,5,5,1,1,1,1,20260813,0.25,5.270914315101257,0.10722293883882693,0.026342248540061012,0.16382712970233881,0.01861302962921645,0.06589578330147929,
tp,tp32_c20_tp_split_total_shape_shared_lr0.003_w64,tp_split_total_shape,shared,none,False,False,0.003,64,0.0001,5,5,1,1,1,1,20260850,0.5,5.0045106212682064,0.09963090018749607,0.025811816361713178,0.15848044610063544,0.018099459800897357,0.06006150893842581,
tp,tp32_c21_tp_split_total_shape_policy_lr0.001_w64,tp_split_total_shape,policy,none,False,False,0.001,64,0.0001,5,5,1,1,1,1,20260887,0.5,5.044858158313289,0.1007570118913157,0.025736281655258937,0.16239381486625734,0.01860140549514262,0.059722433125009716,
tp,tp32_c22_tp_split_total_shape_policy_lr0.003_w64,tp_split_total_shape,policy,none,False,False,0.003,64,0.0001,5,5,1,1,1,1,20260924,0.5,4.960235863501741,0.09393817612369108,0.026812174423561427,0.16235338881699346,0.018419098507619885,0.05658572483484981,
tp,tp32_c23_tp_split_total_shape_model_lr0.001_w64,tp_split_total_shape,model,none,False,False,0.001,64,0.0001,5,5,1,1,1,1,20260961,0.5,4.918129840552557,0.10164248835783075,0.022684455703875214,0.16207487992216124,0.018478709398930683,0.06089796981062275,
tp,tp32_c24_tp_split_total_shape_model_lr0.003_w64,tp_split_total_shape,model,none,False,False,0.003,64,0.0001,5,5,1,1,1,1,20260998,0.25,5.20791382679533,0.10559867801763628,0.026200878935336718,0.16350922214574493,0.01858502338938131,0.06404680267740775,
tp,tp32_c25_tp_split_total_shape_model_policy_lr0.001_w64,tp_split_total_shape,model_policy,none,False,False,0.001,64,0.0001,5,5,1,1,1,1,20261035,0.25,5.113912352853401,0.10323729787121178,0.02482479226909787,0.16404828449545183,0.018706442345939957,0.0635900322185766,
tp,tp32_c26_tp_split_total_shape_model_policy_lr0.003_w64,tp_split_total_shape,model_policy,none,False,False,0.003,64,0.0001,5,5,1,1,1,1,20261072,0.5,4.923843357556805,0.10089740049712263,0.02331839916831245,0.16209258594658382,0.01836995665000783,0.06018440992183623,
tp,tp32_c27_tp_residual_gate_shared_lr0.001_w64,tp_residual_gate,shared,sample,True,False,0.001,64,0.0003,8,6,1,1,2,2,20261109,0.5,4.997015255714568,0.09232261108845032,0.02795350309653125,0.1641247134868445,0.0186981233279503,0.055378274472563396,
tp,tp32_c28_tp_residual_gate_shared_lr0.003_w64,tp_residual_gate,shared,sample,True,False,0.003,64,0.0003,8,6,1,1,2,2,20261146,0.5,4.885727246610073,0.09457345505271306,0.025528429341402047,0.16140698338392215,0.018351819553639775,0.05612317649738192,
tp,tp32_c29_tp_residual_gate_policy_lr0.001_w64,tp_residual_gate,policy,sample,True,False,0.001,64,0.0003,8,6,1,1,2,2,20261183,0.5,4.956813830295441,0.1000855978161866,0.024813119890039637,0.16120502637854164,0.018287753915773863,0.0588883284553965,
tp,tp32_c30_tp_residual_gate_policy_lr0.003_w64,tp_residual_gate,policy,sample,True,False,0.003,64,0.0003,8,6,1,1,2,2,20261220,0.5,4.9028404657723765,0.09520756832126576,0.02547339617002926,0.16231461399330688,0.01845815971607254,0.05635977577244101,
tp,tp32_c31_tp_residual_gate_model_lr0.001_w64,tp_residual_gate,model,sample,True,False,0.001,64,0.0003,8,6,1,1,2,2,20261257,0.5,4.913038747951848,0.09465785348998057,0.025820823820305098,0.160945955633249,0.0183759119027174,0.05678263838809235,
tp,tp32_c32_tp_residual_gate_model_lr0.003_w64,tp_residual_gate,model,sample,True,False,0.003,64,0.0003,8,6,1,1,2,2,20261294,0.5,4.9038134208366095,0.09920879123237496,0.024120565190711506,0.16183673456741016,0.018394178376484247,0.05803732205404322,
tp,tp32_c33_tp_residual_gate_model_policy_lr0.001_w64,tp_residual_gate,model_policy,sample,True,False,0.001,64,0.0003,8,6,1,1,2,2,20261331,0.5,5.071862103280337,0.09555457879886596,0.027756014159184994,0.16310399724882388,0.01847687103767794,0.05869603897905953,
tp,tp32_c34_tp_residual_gate_model_policy_lr0.003_w64,tp_residual_gate,model_policy,sample,True,False,0.003,64,0.0003,8,6,1,1,2,2,20261368,0.5,5.109020179629189,0.09768217276447129,0.028283969700034717,0.16230770928882646,0.018451381363759393,0.058420308299411645,
tp,tp32_c35_tp_lowdim_sequence_shape_shared_lr0.001_w32,tp_lowdim_sequence_shape,shared,sample,True,False,0.001,32,0.001,10,8,2,2,3,3,20261405,0.25,5.196891023989365,0.1046674217430239,0.02593052048470554,0.16531779698749421,0.018854244338386218,0.06364660119254648,
tp,tp32_c36_tp_lowdim_sequence_shape_shared_lr0.001_w64,tp_lowdim_sequence_shape,shared,sample,True,False,0.001,64,0.001,10,8,2,2,3,3,20261442,0.5,4.919338833994632,0.09777282746385037,0.025214515590749918,0.16127939319039847,0.018121956635321356,0.05748047742268932,
tp,tp32_c37_tp_lowdim_sequence_shape_shared_lr0.001_w32,tp_lowdim_sequence_shape,shared,sample,True,True,0.001,32,0.001,10,8,2,2,3,3,20261479,0.75,4.786106411355417,0.09511793463766116,0.02391672900326103,0.15962903564691683,0.01812716956910883,0.05579293269084081,
tp,tp32_c38_tp_lowdim_sequence_shape_shared_lr0.001_w64,tp_lowdim_sequence_shape,shared,sample,True,True,0.001,64,0.001,10,8,2,2,3,3,20261516,0.75,4.670078780684631,0.08778291742295759,0.02391672900326103,0.16248526658345547,0.018672899094804053,0.05185354297912819,
tp,tp32_c39_tp_lowdim_sequence_shape_policy_lr0.001_w32,tp_lowdim_sequence_shape,policy,sample,True,False,0.001,32,0.001,10,8,2,2,3,3,20261553,0.5,4.92167836029574,0.10099538527062038,0.023185197825037182,0.16387165786531216,0.01864053304011759,0.05937425027032063,
tp,tp32_c40_tp_lowdim_sequence_shape_policy_lr0.001_w64,tp_lowdim_sequence_shape,policy,sample,True,False,0.001,64,0.001,10,8,2,2,3,3,20261590,0.5,4.972883383471956,0.0956436046402761,0.02571500541087179,0.16391921971301987,0.018606213897341697,0.058342620603341916,
tp,tp32_c41_tp_lowdim_sequence_shape_policy_lr0.001_w32,tp_lowdim_sequence_shape,policy,sample,True,True,0.001,32,0.001,10,8,2,2,3,3,20261627,0.75,4.860678384354341,0.09647769156280442,0.02391672900326103,0.16316623607589387,0.018574335886069007,0.05706302013705081,
tp,tp32_c42_tp_lowdim_sequence_shape_policy_lr0.001_w64,tp_lowdim_sequence_shape,policy,sample,True,True,0.001,64,0.001,10,8,2,2,3,3,20261664,0.5,4.81727531481374,0.09518677532935592,0.02391672900326103,0.16099041387069066,0.01837486480497007,0.05648122249024364,
pp,pp32_c13_pp_bytes_cost_protection_policy_lr0.001_w64,pp_bytes_cost_protection,policy,none,True,False,0.001,64,0.0003,8,6,2,2,4,3,20260813,0.5,4.092864683319317,0.07024359923833036,0.031213818807266088,0.19053476697222893,0.027413847812668497,0.051635003845191284,
pp,pp32_c14_pp_bytes_cost_protection_policy_lr0.003_w64,pp_bytes_cost_protection,policy,none,True,False,0.003,64,0.0003,8,6,2,2,4,3,20260850,0.75,3.7289414462757042,0.06347745398898885,0.02814892440269852,0.1765924616029627,0.024772308526260632,0.04727301095748924,
pp,pp32_c15_pp_bytes_cost_protection_policy_lr0.001_w64,pp_bytes_cost_protection,policy,none,True,False,0.001,64,0.0003,8,10,2,2,4,3,20260887,0.75,3.948309351377734,0.06140584682485752,0.036395656523833295,0.17410886384774119,0.02458450260724858,0.04598659983278589,
pp,pp32_c16_pp_bytes_cost_protection_policy_lr0.003_w64,pp_bytes_cost_protection,policy,none,True,False,0.003,64,0.0003,8,10,2,2,4,3,20260924,0.5,4.1769821465222785,0.06757574147775242,0.035061533178351076,0.1904170889607387,0.027082419859152506,0.05075833558489673,
pp,pp32_c17_pp_bytes_cost_protection_policy_lr0.001_w64,pp_bytes_cost_protection,policy,none,True,False,0.001,64,0.0003,8,16,2,2,4,3,20260961,0.75,3.811745470475286,0.061336784192733494,0.0334497098628874,0.16921789097729506,0.02403400953146732,0.04589103885462444,
pp,pp32_c18_pp_bytes_cost_protection_policy_lr0.003_w64,pp_bytes_cost_protection,policy,none,True,False,0.003,64,0.0003,8,16,2,2,4,3,20260998,0.75,3.788838239087889,0.060628015155528306,0.0337562966199237,0.1671686362973163,0.023552780070784624,0.04553823222844438,
pp,pp32_c19_pp_bytes_cost_protection_model_policy_lr0.001_w64,pp_bytes_cost_protection,model_policy,none,True,False,0.001,64,0.0003,8,6,2,2,4,3,20261035,0.75,4.014564651418225,0.06612564458062005,0.035123485022142964,0.17655996894245538,0.02507107671188529,0.048681097781869825,
pp,pp32_c20_pp_bytes_cost_protection_model_policy_lr0.003_w64,pp_bytes_cost_protection,model_policy,none,True,False,0.003,64,0.0003,8,6,2,2,4,3,20261072,0.75,3.957583198008916,0.05998376596563353,0.03662855914804382,0.17568746324594567,0.024838924975167032,0.04585934752666969,
pp,pp32_c21_pp_bytes_cost_protection_model_policy_lr0.001_w64,pp_bytes_cost_protection,model_policy,none,True,False,0.001,64,0.0003,8,10,2,2,4,3,20261109,0.5,4.386754167814501,0.07358515597925575,0.036795192625399556,0.19087099812441247,0.02756255546954839,0.055651035384035534,
pp,pp32_c22_pp_bytes_cost_protection_model_policy_lr0.003_w64,pp_bytes_cost_protection,model_policy,none,True,False,0.003,64,0.0003,8,10,2,2,4,3,20261146,0.75,3.955481028922854,0.06310834203147646,0.03627341190290007,0.1694333463284357,0.023766945167833477,0.048065990760017135,
pp,pp32_c23_pp_bytes_cost_protection_model_policy_lr0.001_w64,pp_bytes_cost_protection,model_policy,none,True,False,0.001,64,0.0003,8,16,2,2,4,3,20261183,0.75,3.920642288277156,0.0629193209438103,0.03580495284817127,0.16981532527577442,0.02388530314397308,0.046933064980872005,
pp,pp32_c24_pp_bytes_cost_protection_model_policy_lr0.003_w64,pp_bytes_cost_protection,model_policy,none,True,False,0.003,64,0.0003,8,16,2,2,4,3,20261220,0.75,3.9039514375433004,0.06343136024113655,0.03440985075530689,0.16978064683887215,0.02394211264989419,0.04818988241370873,
pp,pp32_c25_pp_mb_independent_gate_policy_lr0.001_w64,pp_mb_independent_gate,policy,policy,True,False,0.001,64,0.0005,10,8,2,2,5,3,20261257,0.5,4.223162018219145,0.06975390982468771,0.03361239340165955,0.2007915030990598,0.02892162372504872,0.050099679787804254,0.0
pp,pp32_c26_pp_mb_independent_gate_policy_lr0.003_w64,pp_mb_independent_gate,policy,policy,True,False,0.003,64,0.0005,10,8,2,2,5,3,20261294,0.5,4.103255009069247,0.06932342210817463,0.032036209825298846,0.19142767393233961,0.027464887748565085,0.05082386082612248,0.0
pp,pp32_c27_pp_mb_independent_gate_policy_lr0.001_w64,pp_mb_independent_gate,policy,policy,True,False,0.001,64,0.0005,10,12,2,2,5,3,20261331,0.5,4.130523318327832,0.07185739442969769,0.030554899970522836,0.191596299606853,0.02780713798107705,0.0533453317989293,0.0
pp,pp32_c28_pp_mb_independent_gate_policy_lr0.003_w64,pp_mb_independent_gate,policy,policy,True,False,0.003,64,0.0005,10,12,2,2,5,3,20261368,0.75,3.8478539711656747,0.06244341587787816,0.033860446116831075,0.171337674255306,0.024004541858996364,0.04619809190129089,0.0
pp,pp32_c29_pp_mb_independent_gate_policy_lr0.001_w64,pp_mb_independent_gate,policy,policy,True,False,0.001,64,0.0005,10,16,2,2,5,3,20261405,0.5,4.216855374578269,0.07457105157238782,0.03033872932710213,0.19280004251340202,0.02802789132693197,0.05656814702063034,0.0
pp,pp32_c30_pp_mb_independent_gate_policy_lr0.003_w64,pp_mb_independent_gate,policy,policy,True,False,0.003,64,0.0005,10,16,2,2,5,3,20261442,0.75,3.878103717631691,0.06259669491858319,0.034168662917998846,0.17285806932816417,0.024557884009526833,0.04610856951950682,0.0
