evidence_set,parallelism,slice_type,slice_value,method,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape,calls_wape_relative_improvement_vs_h0,cost_wape_relative_improvement_vs_h0
new_confirmation_repeated_after_rescue,tp,model,deepseek-v2-lite,h0,81,0.21597103241200058,0.16412130401536001,0.02734984015103233,0.026316162747407414,0.20323804922914598,0.01892740167554759,0.15361888467906343,0.1227152222828631,,
new_confirmation_repeated_after_rescue,tp,model,deepseek-v2-lite,h0_plus_dnn_residual,81,0.15230646089008654,0.12039502998275083,0.02734986864204637,0.026316170548630245,0.19777060357754211,0.018552427813450345,0.10914277775655283,0.09102120306806469,0.26642655744751376,0.2582729234824881
new_confirmation_repeated_after_rescue,tp,model,qwen3-30b-a3b,h0,81,0.21597103241200058,0.16412130401536004,0.02734984015103228,0.026316162747407376,0.20323804922914598,0.018927401675547583,0.15361888467906346,0.12271522228286316,,
new_confirmation_repeated_after_rescue,tp,model,qwen3-30b-a3b,h0_plus_dnn_residual,81,0.1541880672097408,0.1224393812264506,0.027349873886865547,0.026316139679326462,0.19752347387397937,0.018552104253101043,0.11050901152516818,0.09250283881473652,0.25397021452503477,0.2461991504076485
new_confirmation_repeated_after_rescue,tp,model,qwen3-8b,h0,81,0.21597103241200055,0.16412130401536,0.02734984015103231,0.02631616274740739,0.23570374030784064,0.026390665079711204,0.12145740075815824,0.09918348469106605,,
new_confirmation_repeated_after_rescue,tp,model,qwen3-8b,h0_plus_dnn_residual,81,0.15420997758040175,0.12227523160693339,0.02734989843769866,0.026316195251665477,0.21806631527862844,0.024635266345102845,0.08780424370691649,0.07539619163729253,0.25497038705292185,0.23983118891079014
new_confirmation_once,pp,model,deepseek-v2-lite,h0,81,0.36524967274895714,0.06978268703435764,0.027349840151032274,0.026316162747407352,0.23828316264314556,0.03139341066979651,0.17418147561915454,0.05949228687815087,,
new_confirmation_once,pp,model,deepseek-v2-lite,h0_plus_dnn_residual,81,0.17572158896144152,0.04540971965319267,0.042459113147762746,0.039458420509106716,0.1630565797569639,0.019934777342457563,0.08234222387054091,0.03659905394878959,0.34926954545566424,0.3848101011186552
new_confirmation_once,pp,model,qwen3-30b-a3b,h0,81,0.36524967274895714,0.06978268703435764,0.027349840151032274,0.026316162747407352,0.23828316264314556,0.03139341066979651,0.17418147561915454,0.05949228687815087,,
new_confirmation_once,pp,model,qwen3-30b-a3b,h0_plus_dnn_residual,81,0.1757215934252695,0.0454097197963881,0.04245911726531653,0.03945842214012356,0.16282404436448644,0.019914772198348314,0.08234222396783236,0.03659905411425736,0.3492695434036448,0.3848100983373237
new_confirmation_once,pp,model,qwen3-8b,h0,81,0.36524967274895714,0.06978268703435765,0.02734984015103229,0.026316162747407376,0.17322815116370502,0.025775955460851725,0.121327789364139,0.05249404633363543,,
new_confirmation_once,pp,model,qwen3-8b,h0_plus_dnn_residual,81,0.17341689000586713,0.044620328742583745,0.04267179627599763,0.04006810762230039,0.10178288754503396,0.015107340915332952,0.056798787006956855,0.031551979085660736,0.36058167664689045,0.3989417602688424
