window_id,source,segment,source_split,cutoff_ms,history_seconds,history_count,normality_distance,normality_pool_quantile,selection_cluster,selection_cluster_members,selection_distance_to_medoid_mean,role_order_sha256,role,profile_id
burstgpt_1-1259105000,burstgpt,burstgpt_1,train,1259105000,300,2619,8.845432705168296,0.95,4,30,579.4397331664014,672f4c3f3d354b164839aabffea4b80e69bf9721cbb35d1d4c0e1754d8e1e3f8,development_train,phase33_burstgpt_1_development_train_10
burstgpt_1-1683605000,burstgpt,burstgpt_1,train,1683605000,300,319,0.6468443184894186,0.95,1,155,174.3840621014938,bf35caee748855a1608f731b379ad097daf4de131d17791666bbde1d51fda99e,development_validation,phase33_burstgpt_1_development_validation_02
burstgpt_1-1728905000,burstgpt,burstgpt_1,train,1728905000,300,159,6.1648379450980055,0.95,3,3,2332.7685371337216,1a89dd8af4b7c68841691ccd721a46d17f6960af01b073cc38480b98257e0a11,development_train,phase33_burstgpt_1_development_train_03
burstgpt_1-1730705000,burstgpt,burstgpt_1,train,1730705000,300,494,1.733104499449056,0.95,7,22,1078.5399155520222,55d9a68670b4c2114c6cc55c4b7a206b0ccbaa2600db2c70356f2061488c3ab8,development_train,phase33_burstgpt_1_development_train_08
burstgpt_1-1732205000,burstgpt,burstgpt_1,train,1732205000,300,153,8.05028486543254,0.95,5,35,298.73626357223714,adf24964b53b5c4aa989db85c8f8595bb18da46c5e0635e37db11fac3250cf1f,development_validation,phase33_burstgpt_1_development_validation_01
burstgpt_1-1811705000,burstgpt,burstgpt_1,train,1811705000,300,390,2.564574229605273,0.95,8,224,422.03281379072024,e860c56ed30d90c1bac8c2ef89dcafdd3140fb2eb26a3a0713168171af03406d,development_validation,phase33_burstgpt_1_development_validation_03
burstgpt_1-1814105000,burstgpt,burstgpt_1,train,1814105000,300,152,5.618317742706293,0.95,16,48,441.5509882976159,51ee636833cdc16773a0714b4b3840d9f6f10e28262879d2f65a5d0b69801b2c,development_train,phase33_burstgpt_1_development_train_07
burstgpt_1-1957805000,burstgpt,burstgpt_1,train,1957805000,300,47,10.601488962141904,0.95,11,42,337.41125468650955,f18e84e64f299a9957211a07ad5faa1eb1cdeb2aeef37e691f24f04157675682,blind_confirmation,phase33_burstgpt_1_blind_confirmation_01
burstgpt_1-1960205000,burstgpt,burstgpt_1,train,1960205000,300,63,12.763687521816253,0.95,2,74,218.68253531904998,f30c7758248bc5be80562dff0136fca38729fd2412b29784e9c32d5d8cb34869,blind_confirmation,phase33_burstgpt_1_blind_confirmation_02
burstgpt_1-1960505000,burstgpt,burstgpt_1,train,1960505000,300,44,8.675977455163864,0.95,9,3,435.9398922493142,1a007bcb1db33ca6a4167be533b2c976b802651066a892ad4dd64e1b66a051b3,development_train,phase33_burstgpt_1_development_train_02
burstgpt_1-2237405000,burstgpt,burstgpt_1,train,2237405000,300,160,8.114105147513985,0.95,10,22,268.53576822058005,37a74a2c00441710844c17ad7da460158cd1fa7fbac19156bb83d0f22a6c5041,development_train,phase33_burstgpt_1_development_train_04
burstgpt_1-2459405000,burstgpt,burstgpt_1,train,2459405000,300,104,0.7912458149907166,0.95,0,2946,192.57115325057595,7dc53f6ce4e33a0cba08bdbb2c8503e6e0847a26576c1607bc4e2d038469a183,development_train,phase33_burstgpt_1_development_train_11
burstgpt_1-2562905000,burstgpt,burstgpt_1,train,2562905000,300,308,0.4931251717363689,0.95,14,221,348.30867530558953,512419ebc001a379019d2cafd2f7838d174412073fda6e732b12eea0a0da9257,development_train,phase33_burstgpt_1_development_train_06
burstgpt_1-2980805000,burstgpt,burstgpt_1,train,2980805000,300,471,0.6434932480019575,0.95,6,139,453.38348554760273,3ea81aad2e6295d8e5f2bbfde16a215face8313b74d936525d30aed8aea5af5a,development_train,phase33_burstgpt_1_development_train_05
burstgpt_1-3708305000,burstgpt,burstgpt_1,train,3708305000,300,320,0.48027632765451134,0.95,12,115,406.4436663393504,0fccc6b45505355010131b1eaaa072bc685601b91bfd95fe1766b588e27665cb,development_train,phase33_burstgpt_1_development_train_01
burstgpt_1-4719305000,burstgpt,burstgpt_1,train,4719305000,300,223,0.8749904581411697,0.95,13,119,199.2301533692469,5e7c065e15904f1c84cb4ecb4e7d6fe38c3ccda9bc26c84bdf2231f3c9526943,development_train,phase33_burstgpt_1_development_train_09
burstgpt_1-4733105000,burstgpt,burstgpt_1,train,4733105000,300,322,0.8181256577924094,0.95,17,89,322.06450613667363,999bdd0859342c45d8448f6bca572c2b75577bcf21ae61f721183293c158b39a,development_train,phase33_burstgpt_1_development_train_12
burstgpt_1-4914905000,burstgpt,burstgpt_1,train,4914905000,300,596,8.456982056002035,0.95,15,468,126.60344980362309,fb0bb9a35b853d220365c18030fa627dbcd2f6c340e4950b93af08efe875da30,blind_confirmation,phase33_burstgpt_1_blind_confirmation_03
burstgpt_2-5325014000,burstgpt,burstgpt_2,validation,5325014000,300,123,3.1782229829328905,0.95,7,35,199.97167127228008,adf118cee422af39eb96fdc9ed42cdcc5de902dcb896427d37da2ae5f8ab4f70,development_validation,phase33_burstgpt_2_development_validation_03
burstgpt_2-5496014000,burstgpt,burstgpt_2,validation,5496014000,300,115,4.969780069908295,0.95,1,9,263.663893861354,167528541561ab4ef8575f81c234eac9f7047cbd3e2c78a248308c030ad38102,development_train,phase33_burstgpt_2_development_train_02
burstgpt_2-5525714000,burstgpt,burstgpt_2,validation,5525714000,300,833,1.9212036842352278,0.95,3,178,137.6854441915855,3cde74d5f12467d0582f21fe99d27fe06573dff8d4609cce4a68d2c3060ae819,development_train,phase33_burstgpt_2_development_train_06
burstgpt_2-5539514000,burstgpt,burstgpt_2,validation,5539514000,300,599,3.889201009653704,0.95,8,15,290.66420146566753,60f7d70e99214b1561749ab0062025bd56e00ef39ddc1481c54219b97a6c2b06,development_train,phase33_burstgpt_2_development_train_10
burstgpt_2-6392114000,burstgpt,burstgpt_2,validation,6392114000,300,1174,2.512396118801612,0.95,13,27,168.93189358059828,11e917ef2e0410d132c1446b485b529538cd9676c45af1190e09c5e86b3edcb5,development_train,phase33_burstgpt_2_development_train_01
burstgpt_2-6477914000,burstgpt,burstgpt_2,validation,6477914000,300,403,3.38211300499269,0.95,16,97,152.19520325917892,e1ef7e8b258452e2fad30b8048e0af24f5ef89904b0770d04a69f51e294735c4,blind_confirmation,phase33_burstgpt_2_blind_confirmation_02
burstgpt_2-6798014000,burstgpt,burstgpt_2,validation,6798014000,300,147,2.437685680697689,0.95,17,90,173.82259639501183,8b3571bdde54fa5008b45429277b0de5bbedb348fec889c09b830c05ddae829c,development_validation,phase33_burstgpt_2_development_validation_01
burstgpt_2-7121414000,burstgpt,burstgpt_2,validation,7121414000,300,178,3.663612925357234,0.95,14,56,154.93981597557922,426e4b801d4aa452f22f3681f083eaf3fd976d699feede4319144d512ece2f00,development_train,phase33_burstgpt_2_development_train_07
burstgpt_2-7134614000,burstgpt,burstgpt_2,validation,7134614000,300,492,3.312478216493887,0.95,10,541,51.81372575801266,1de7130e2c1dcc8c66020a674c6e6caad9e58f514ea1bd254ffc9fcdde52e488,development_train,phase33_burstgpt_2_development_train_04
burstgpt_2-7165214000,burstgpt,burstgpt_2,validation,7165214000,300,1470,0.3585295395231694,0.95,0,4878,45.52800884703225,56f78b8713e3d44c647a32fb4eb1d7f3bb79797d5d21270fc571d7149bb7f784,development_train,phase33_burstgpt_2_development_train_09
burstgpt_2-7335914000,burstgpt,burstgpt_2,validation,7335914000,300,37,2.960137053740901,0.95,5,26,213.6958800175084,480648e3d3adc38bb4834b90aa076262db9f30d925bc8f66ca74b8b713f38bba,development_train,phase33_burstgpt_2_development_train_08
burstgpt_2-7350914000,burstgpt,burstgpt_2,validation,7350914000,300,69,4.614366545662862,0.95,15,11,203.47237065256166,f3688e7ccbf6afd215356b60b00823849371f6e0564098b7c9c8e89d44ff4286,blind_confirmation,phase33_burstgpt_2_blind_confirmation_03
burstgpt_2-10081814000,burstgpt,burstgpt_2,test,10081814000,300,280,3.77327578699655,0.95,4,92,103.25851094428405,7d1f41f41411e4e7be917d967db9fd07c36ebf457822c672e16e955db7975e4b,development_train,phase33_burstgpt_2_development_train_12
