candidate_id,family,head_mode,gate_mode,engineered,calls_only,learning_rate,width,weight_decay,calls_weight,shape_weight,wape_weight,mape_weight,tv_weight,emd_weight,cost_weight,screen_seed,alpha,score,calls_wape,bytes_wape,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_wape,parallelism,mode,parameter_json
tp33_c01_split_total_shape_shared_lr0.001_w64,split_total_shape,shared,none,True,True,0.001,64,0.0003,7.0,2.0,3.0,0.25,2.0,1.0,3.0,20260850,0.75,3.595316121170487,0.08460400824645221,1.4170554897212447e-16,0.18196022281538002,0.020703895332599427,0.05056595556625403,,,
tp33_c02_split_total_shape_shared_lr0.003_w64,split_total_shape,shared,none,True,True,0.003,64,0.0003,7.0,2.0,3.0,0.25,2.0,1.0,3.0,20260887,0.75,3.6317533298750195,0.08654982292551808,1.4170554897212447e-16,0.18061486413252156,0.020715056389983125,0.051728926217894954,,,
tp33_c03_split_total_shape_policy_lr0.001_w64,split_total_shape,policy,none,True,True,0.001,64,0.0003,7.0,2.0,3.0,0.25,2.0,1.0,3.0,20260924,0.75,3.5912978974139604,0.08416009924326205,1.4170554897212447e-16,0.18331628538109834,0.02067756649432614,0.0503006409151398,,,
tp33_c04_split_total_shape_policy_lr0.003_w64,split_total_shape,policy,none,True,True,0.003,64,0.0003,7.0,2.0,3.0,0.25,2.0,1.0,3.0,20260961,0.75,3.6341898887225863,0.08582402195889398,1.4170554897212447e-16,0.18243115637651644,0.020947281712221797,0.05129513093810927,,,
tp33_c05_split_total_shape_model_lr0.001_w64,split_total_shape,model,none,True,True,0.001,64,0.0003,7.0,2.0,3.0,0.25,2.0,1.0,3.0,20260998,0.75,3.629180307411701,0.08590262679826802,1.4170554897212447e-16,0.18309805307946153,0.020695538689621464,0.051342111322342385,,,
tp33_c06_split_total_shape_model_lr0.003_w64,split_total_shape,model,none,True,True,0.003,64,0.0003,7.0,2.0,3.0,0.25,2.0,1.0,3.0,20261035,0.75,3.570480984433427,0.08408238846761613,1.4170554897212447e-16,0.17956910883479726,0.020668191443012084,0.05025419489313947,,,
tp33_c07_shared_trunk_small_heads_shared_lr0.001_w64,shared_trunk_small_heads,shared,sample,True,True,0.001,64,0.0007,9.0,2.0,4.0,0.5,2.0,1.0,4.0,20261072,0.75,3.5940534062171174,0.08520100175954505,1.4170554897212447e-16,0.18132247305975194,0.020424392851515292,0.050922765463114444,,,
tp33_c08_shared_trunk_small_heads_shared_lr0.003_w64,shared_trunk_small_heads,shared,sample,True,True,0.003,64,0.0007,9.0,2.0,4.0,0.5,2.0,1.0,4.0,20261109,0.75,3.590684934754156,0.08548814763966335,1.4170554897212447e-16,0.18005271447017543,0.020341304029030033,0.05109438624227184,,,
tp33_c09_shared_trunk_small_heads_policy_lr0.001_w64,shared_trunk_small_heads,policy,sample,True,True,0.001,64,0.0007,9.0,2.0,4.0,0.5,2.0,1.0,4.0,20261146,1.0,3.5307118326008173,0.08136652164720276,1.4170554897212447e-16,0.18335678710594228,0.02069107651121786,0.04863098100751786,,,
tp33_c10_shared_trunk_small_heads_policy_lr0.003_w64,shared_trunk_small_heads,policy,sample,True,True,0.003,64,0.0007,9.0,2.0,4.0,0.5,2.0,1.0,4.0,20261183,0.75,3.5519381983588514,0.08077842369370053,1.4170554897212447e-16,0.1862632082819481,0.021181204104782077,0.048279487791040784,,,
tp33_c11_shared_trunk_small_heads_model_policy_lr0.001_w64,shared_trunk_small_heads,model_policy,sample,True,True,0.001,64,0.0007,9.0,2.0,4.0,0.5,2.0,1.0,4.0,20261220,1.0,3.6268231723461244,0.08505430636863227,1.4170554897212447e-16,0.1848096932270769,0.0208882466364538,0.05083508885331291,,,
tp33_c12_shared_trunk_small_heads_model_policy_lr0.003_w64,shared_trunk_small_heads,model_policy,sample,True,True,0.003,64,0.0007,9.0,2.0,4.0,0.5,2.0,1.0,4.0,20261257,0.75,3.6110549862479275,0.08434407584024227,1.4170554897212447e-16,0.18545806336738718,0.020802797934155414,0.05041059968211728,,,
tp33_c13_lowdim_cost_protected_gate_shared_lr0.001_w32,lowdim_cost_protected_gate,shared,sample,True,True,0.001,32,0.001,10.0,3.0,5.0,0.75,3.0,2.0,5.0,20261294,1.0,3.58583616685489,0.0848749787994828,1.4170554897212447e-16,0.18056567353928543,0.020492495925064136,0.05072790870805311,,,
tp33_c14_lowdim_cost_protected_gate_shared_lr0.001_w64,lowdim_cost_protected_gate,shared,sample,True,True,0.001,64,0.001,10.0,3.0,5.0,0.75,3.0,2.0,5.0,20261331,1.0,3.6092593025977844,0.08466529192997867,1.4170554897212447e-16,0.18262154617369583,0.020936174572501777,0.05060258347647204,,,
tp33_c15_lowdim_cost_protected_gate_policy_lr0.001_w32,lowdim_cost_protected_gate,policy,sample,True,True,0.001,32,0.001,10.0,3.0,5.0,0.75,3.0,2.0,5.0,20261368,0.75,3.6627563114965063,0.08644924159760516,1.4170554897212447e-16,0.18351215584341973,0.021183172422757468,0.05166881096965252,,,
tp33_c16_lowdim_cost_protected_gate_policy_lr0.001_w64,lowdim_cost_protected_gate,policy,sample,True,True,0.001,64,0.001,10.0,3.0,5.0,0.75,3.0,2.0,5.0,20261405,0.75,3.56864383843964,0.08329719109267975,1.4170554897212447e-16,0.1828344761255868,0.02064503882910437,0.04978489968603635,,,
tp33_c17_lowdim_cost_protected_gate_model_policy_lr0.001_w32,lowdim_cost_protected_gate,model_policy,sample,True,True,0.001,32,0.001,10.0,3.0,5.0,0.75,3.0,2.0,5.0,20261442,0.75,3.6279310725193774,0.08591105075112962,1.4170554897212447e-16,0.18363530626793886,0.020592527774833055,0.051347146133752894,,,
tp33_c18_lowdim_cost_protected_gate_model_policy_lr0.001_w64,lowdim_cost_protected_gate,model_policy,sample,True,True,0.001,64,0.001,10.0,3.0,5.0,0.75,3.0,2.0,5.0,20261479,0.75,3.5949135140444324,0.08509809908604087,1.4170554897212447e-16,0.1821133215835913,0.020403516482826085,0.050861262797650846,,,
pp33_anchor_blend_1,anchor_blend,,,,,,,,,,,,,,,,,2.044573682298315,0.03987643143293742,1.3749082282689439e-16,0.14905263032888244,0.018747368628028248,0.03162673171688234,pp,anchor,"{""strength"":1.0}"
pp33_anchor_blend_0.75,anchor_blend,,,,,,,,,,,,,,,,,2.346792229648936,0.03987643143293742,0.00893208416380744,0.14905263032888244,0.018747368628028248,0.031850852144734564,pp,anchor,"{""strength"":0.75}"
pp33_anchor_blend_0.5,anchor_blend,,,,,,,,,,,,,,,,,2.6537318871639757,0.03987643143293742,0.017864168327614827,0.14905263032888244,0.018747368628028248,0.032311028080807554,pp,anchor,"{""strength"":0.5}"
pp33_anchor_blend_0.25,anchor_blend,,,,,,,,,,,,,,,,,2.9652060732606,0.03987643143293742,0.02679625249142227,0.14905263032888244,0.018747368628028248,0.0329979304459597,pp,anchor,"{""strength"":0.25}"
pp33_train_scale_model_policy,train_scale,,,,,,,,,,,,,,,,,3.078233553427299,0.03987643143293742,0.03003418353656597,0.14905263032888244,0.018747368628028248,0.03325275271238848,pp,model_policy,"{""mode"":""model_policy"",""scales"":{""deepseek-v2-lite::mb1"":0.9892807801462072,""deepseek-v2-lite::mb16"":0.9829740562409377,""deepseek-v2-lite::mb4"":0.9860770822773468,""qwen3-30b-a3b::mb1"":0.9892806450075537,""qwen3-30b-a3b::mb16"":0.9829740360175381,""qwen3-30b-a3b::mb4"":0.9860770727707981,""qwen3-8b::mb1"":0.9905568748536964,""qwen3-8b::mb16"":0.9869667639366881,""qwen3-8b::mb4"":0.9873587470310045}}"
pp33_train_scale_policy,train_scale,,,,,,,,,,,,,,,,,3.08309516996209,0.03987643143293742,0.03017231413750073,0.14905263032888244,0.018747368628028248,0.033265615870903424,pp,policy,"{""mode"":""policy"",""scales"":{""mb1"":0.989898850381346,""mb16"":0.985626109197291,""mb4"":0.9873587470310045}}"
pp33_train_scale_global,train_scale,,,,,,,,,,,,,,,,,3.0887781600518096,0.03987643143293742,0.03030776052025737,0.14905263032888244,0.018747368628028248,0.03332402140412834,pp,global,"{""mode"":""global"",""scales"":{""global"":0.9879223608891737}}"
pp33_train_scale_model,train_scale,,,,,,,,,,,,,,,,,3.0914479553800387,0.03987643143293742,0.030375323505714945,0.14905263032888244,0.018747368628028248,0.03334490619477716,pp,model,"{""mode"":""model"",""scales"":{""deepseek-v2-lite"":0.987257853818947,""qwen3-30b-a3b"":0.9872578026123486,""qwen3-8b"":0.9889714231868024}}"
